title,DAO Quiz 7 (Summer 2017),dao,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
From which of the views does the mandibular second premolar most resemble to mandibular first premolar?,Occlusal,Mesial,Distal,Buccal,,D,
Which of the following characteristics of the mandibular first premolar is similar to that of the mandibular canine?,"Contact areas, mesial and distal, are near the same level",Root length,Mesiobuccal cusp ridge is shorter than the distobuccal cusp ridge,Curvatures of the cervical lines on the mesial and distal,,C,
Which of the following represents the number and location of cusps on the U-type mandibular secondpremolar?,One lingual and two facial,One lingual and one facial,Two lingual and two facial,No lingual and one facial,Two lingual and one facial,B,
"All teeth taper lingually except two, which two?",2nd mandibular premolar (3 cusp) and the maxillary 1st molar,Maxillary central incisor and the maxillary 1st molar,Maxillary central incisor and the mandibular 1st molar,2nd mandibular premolar (3 cusp type) and mandibular 2nd molar,,A,
"Occlusal pattern of the mandibular 2nd premolar, 2 cusp variety is:",“U”,“H”,“Y”,Two of the above,All of the above,D,
"Regarding a mandibular 2nd premolar the 2 cusp variety, the buccal half is larger because it tapers to lingual.",True,False,,,,A,
"Which of the following statements is true, regarding the temporomandibular joint?",The superior articular cavity is responsible for hinge motion.,The inferior articular cavity is responsible for hinge motion.,The inferior articular cavity is responsible for translation.,The superior and inferior articular cavities are both responsible for translation.,The superior and inferior articular cavities are both responsible for hinge motion.,B,
Which muscle has an attachment directly to the articular disc of the temporomandibular joint?,Lateral pterygoid muscle,Medial pterygoid muscle,Masseter muscle,Temporalis muscle,,A,
Depression of the mandible is primarily the result of the action of:,Medial pterygoid muscle,Masseter muscle,Lateral pterygoid muscle,Temporalis muscle,Gravity,E,
Proper function of the temporomandibular joint relies primarily on the relationship of the head of the mandible and articular disc moving along which boney structure?,The lateral pterygoid plate of the sphenoid bone,The medial pterygoid plate of the sphenoid bone.,The articular eminence of the temporal bone.,The styloid process of the temporal bone.,The mandibular fossa of the temporal bone.,C,
"During the action of mandibular protrusion, the head of the mandible moves:",Anteriorly only,Superiorly only,Inferiorly only,Both anteriorly and superiorly,Both anteriorly and inferiorly,E,
The lateral pterygoid and medial pterygoid muscles have an attachment to which of the following?,Greater wing of sphenoid bone,Lateral pterygoid plate of sphenoid bone,Medial pterygoid plate of sphenoid bone,Zygomatic process of temporal bone,Temporal process of zygomatic bone,B,
