title,PCOD I Quiz 3 (Fall 2017),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
When preparing the dentin prior to placing the bonding agent:,the acid etchant should be placed for 30 seconds,the dentin should be thoroughly dried immediately before placing the bonding agent,"the mineral portion of the dentin surface is removed, exposing collagen",a and c,all of the above,C,
The reason(s) for bonding a composite restoration to a cavity preparation is:,to increase esthetics,to reduce dentin sensitivity,to seal the interface between the restoration and tooth structure,b and c,all of the above,E,
The bonding mechanism of dental bonding agents is:,micro mechanical bonding to the dentin and enamel; chemical bonding to the composite,chemical bonding to the dentin and enamel; micromechanical bonding to the composite,"chemical bonding to the dentin, enamel, and composite","chemical bonding to the enamel, micromechanical to the dentin; chemical bonding to the composite",none of the above,A,
The layer of dentin that has been etched and infiltrated with bonding agent is called:,the smear layer,the dentin-resin junction,the isomer layer,the resin rich layer,the hybrid layer,E,
The bond strength of a properly bonded composite restoration to a tooth (without adding any additional internal mechanical retention) is:,equivalent to the compressive strength of the tooth,about 1/3 of the compressive strength of the tooth,equivalent to the tensile strength of the tooth,about 75% of the tensile strength of the tooth,none of the above,E,
The superficial layer of dentin created by a carbide fissure bur when cutting a cavity preparation is called:,the smear layer,the dentin-rich layer,the isomer layer,the resin rich layer,the hybrid layer,A,
The researcher noted for studying dentin permeability and dentin bonding is:,Dr. Michael Buonocore,Dr. David Pashley,Dr. Stanley Freeman,Dr. Larry Farkas,all of the above,B,
Etching of dentin is performed using:,35% hydrofluoric acid for 15 seconds,10% hydrofluoric acid for 35 seconds,35% phosphoric acid for 30 seconds,10% phosphoric acid for 35 seconds,none of the above,E,
"When using bonding agents for composite restorations, the bond strength can be greatly diminished by:",improper etching of enamel and dentin,improper washing and drying of dentin and enamel,improper application and curing of the bonding agent,imperfect isolation throughout the procedure,all of the above,E,
"When performing the bonding procedure prior to placing a Class II composite restoration, saliva is present on the enamel and dentin surfaces in the proximal box. This can result in:",a gap between the restoration and the tooth structure,recurrent decay beneath the restoration,shrinkage of the composite away from the gingival floor,a and b,all of the above,E,
"In a Class II preparation, the reverse curve is placed on the ________ wall(s) of the proximal box:",lingual,both buccal and lingual,gingival,a and b,none of the above,E,
A Class II preparation should have the following characteristics:,Buccal and lingual walls should be slightly divergent.,Wall of unaffected marginal ridge should be slightly convergent.,Axial wall should be slightly convex.,Pulpal floor should be slightly tilted toward the unaffected marginal ridge.,none of the above,C,
The reason for placing a reverse curve in a Class II preparation is:,to produce a 90° angle with the external surface,to avoid creating unsupported enamel rods at the cavosurface margin,to avoid falling off the chair,a and b,all of the above,D,
"In preparing a tooth for bonding, the etching time required for enamel can be affected by:",the location of the tooth (maxillary or mandibular),fluoride in the diet when the patient was a child,the amount of decay removed during preparation of the tooth for a composite restoration,all the above,none of the above,B,
The placement of the composite restoration for a Class II preparation includes which of the following steps?,"The composite must be applied into the cavity preparation in layers, and each layer is cured for 20 seconds.",The first layer is less than 1 mm thick (on the gingival floor).,Each new increment of material should be added slanting toward the walls of the preparation in layers no greater than 2 mm thick.,a and c,all of the above,E,
