title,DAO Midterm Exam (Summer 2016),dao,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
If a posterior tooth has a faciolingual crown dimension greater than its mesiodistal crown dimension. In addition it has two roots. This tooth is MOST likely a,maxillary first premolar,mandibular first premolar,mandibular second premolar,mandibular first molar,maxillary second molar,A,
Which of the following anterior teeth exhibit the MOST deviation in crown morphology?,maxillary central incisor,maxillary canine,maxillary lateral incisor,mandibular lateral incisor,mandibular canine,C,
Which of the following ranks the roots of tooth #14 in order from LARGEST to SMALLEST?,"palatal, mesiobuccal, distobuccal","palatal, distobuccal, mesiobuccal","mesiobuccal, palatal, distobuccal","distobuccal, mesiobuccal, palatal",,A,
Which axial surface of the crown of a mandibular canine is almost parallel to the long axis of the tooth?,distal,facial,mesial,lingual,,C,
"The INTERNATIONAL system for tooth numbering, for the maxillary right second premolar is?",15,14,24,25,,A,
Which of the following is TRUE for tooth #25?,The tooth is wider mesiodistally than tooth #26,Has a very prominent cingulum,it is the narrowest tooth in the arch,the crown is wider mesiodistally than faciolingually,,C,
Which of the following teeth is likely to exhibit a LINGUAL GROOVE that extends from the enamel onto the cementum?,maxillary canine,maxillary central incisor,maxillary lateral,maxillary first premolar,,C,
The largest cusp of all the posterior teeth is the?,mesiolingual of the maxillary first molar,mesiobuccal of the maxillary first molar,mesiobuccal of the mandibular first molar,lingual cusp of the maxillary first premolar,,A,
The first and second mandibular molars erupt respectively at:,5 and 10 years of age,6 and 12 years of age,8 and 16 years of age,at the same time,,B,
The first succedaneous tooth to erupt is?,maxillary central incisor,mandibular first molar,mandibular central incisor,,,C,
An anterior tooth that is viewed from the proximal has a geometric form of a?,rhomboid,square,trapezoid,triangle,,D,
Which teeth usually have bifurcated roots?,maxillary first and second molars,mandibular canines,mandibular second premolars,mandibular molars and maxillary first premolars,,D,
The ANATOMICAL crown is:,The portion of the crown that is visible in the mouth,the portion of the crown covered by enamel,the portion of the crown not covered by the soft tissue,the portion of the tooth covered by cementum,,B,
The lingual cusp of the maxillary first premolar is?,twisted towards the distal,"not twisted, but centered",twisted towards the mesial,,,C,
Which of the following teeth usually has the steepest cusp incline?,maxillary first premolar,mandibular second premolar,mandibular first premolar,maxillary second premolar,,C,
Which of the following teeth has a mesiodistal measurement greater lingually than buccally?,. maxillary canine,maxillary first premolar,maxillary first molar,mandibular first molar,,C,
The anatomy of the mesial surface of which of the following teeth is most likely to cause difficulty is restorative dentistry?,mandibular first molar,maxillary first premolar,maxillary second premolar,mandibular first premolar,,B,
"When two proximal surfaces diverge from an area of contact, an embrasure is formed:",lingually only,lingually and facially only,lingually and occlusally only,"lingually, facially, occlusally and gingivally",,D,
Which of the following sketches illustrates the facial view of the mandibular right canine?,1,2,3,4,,A,images/dao-midterm-summer-2016/fig19.jpeg
The root of the mandibular canine may bifurcate into:,mesial and distal roots,will have only one root,facial and lingual roots,,,C,
mamelons will be found on the incisal of?,maxillary central incisors only,mandibular central incisors only,All incisor teeth,maxillary central and lateral incisors only,,C,
"Which of the following teeth has a mesial marginal, ridge that is located more cervical than the distal marginal ridge?",maxillary first premolar,mandibular first premolar,maxillary first molar,mandibular first molar,,B,
"If tooth #3 is to have a 4th root canal, it would be located in:",palatal,mesiobuccal,distobuccal,cannot have a 4th canal,,B,
Which tooth in the sketch below represents the occlusal view of tooth #12?,1,2,3,4,5,A,images/dao-midterm-summer-2016/fig24.jpeg
Tooth #30 differs from #31 is the number of:,roots,cusps,marginal ridges,lingual developmental grooves,,B,
On the maxillary central incisor the :,The distoincisal angle is 90 degrees,The mesioincisal angle is 90 degrees,both mesioincisal and distoincisal angles are 90 degrees,,,B,
