title,Ethics Final Exam (Summer 2018),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"A dentist must obtain informed consent from a patient before performing a procedure. The discussion should include the indications for the procedure, any alternative treatments, the risks and benefits of the procedure, as well as those for the alternative treatments, and the likelihood of success of any and all of the options. Providing the patient with all of this information gives them the opportunity to select the best of their treatment options. Which of the following ethical principles best applies to this statement?",Autonomy,Beneficence,Non-maleficence,Justice,Veracity,,,A,
"All of the following are important behaviors or accomplishments that a dentist should exhibit to be considered a true “professional”, EXCEPT:",Considering the dentist's and patient's interests equally when making treatment decisions,Fulfillment of all legal and ethical obligations,Maintenance of competence and skill throughout one's career,Ability to communicate effectively,“Giving back” to the public,,,A,
"Dentists are granted the privilege to practice dentistry. In return for this privilege, they have an implied social contract with the public. Which of the following statements regarding this contract and dentists' fiduciary relationship with the public are NOT TRUE?",Dentists have the freedom to decide who they want to treat based on any criteria they choose,Dentists should participate in the monitoring and self-regulation of their profession,Dentists should report impaired or incompetent professionals,Dentists should self-monitor their own practices,Dentists should “serve society”,,,A,
Ozar and Sokol have defined several models for Dentist-Patient Interactions. Which of the following statements regarding the Agent Model is TRUE?,The dentist is the agent of the patient and thus does whatever the patient wants.,The dentist tells the patient the treatment plan with little or no discussion.,This model is based on the concept that the “dentist knows best”,The patient is an “agent” through which the dentist can maximize his financial gain,The dentist strictly follows her/his professional values to best serve the patient,,,A,
Which of the following statements regarding the American Dental Association Principles of Ethics and Code of Professional Conduct is TRUE?,"The Code includes general ethical principles and specific examples of these principles, as well as advisory opinions that provide guidance as to how to apply these principles in different situations.",The Code has stood the “test of time” as it has not been updated since it was first developed over 150 years ago and remains pertinent today.,"If a patient insists on receiving treatment that would be considered malpractice, the dentist must provide it as long as she/he documents that it was done at the patient's insistence.","Although a dentist has an obligation to be honest and communicate truthfully, he/she may lie to protect the reputation of another dentist as long as a patient is not directly harmed.","Although the dentist has a duty to inform a patient of their treatment options, the dentist must insist that the patient receives the ideal treatment.",,,A,
The principles that dentists should consider in ethical decision making include:,"Autonomy, Beneficence, Non-Maleficence, Justice, Veracity","Autocracy, Beneficence, Non-Maleficence, Justice, Veracity","Autocracy, Benevolence, Non-Maleficence, Justice, Veracity","Autonomy, Benevolence, Non-Maleficence, Verapamil","Autonomy, Beneficence, Non-Maleficence, Justice, Verapamil",,,A,
Which of the following does NOT describe a dentist with a normative ethical view?,Financial success is considered on an equal par with patient care.,"Primary motivation is altruism, compassion, service, and “doing good”",The dentist functions as a “public servant”,Patients are seen as “family” whose oral health care is of primary importance,Decision making involves considering whether a given action is right or wrong.,,,A,
Which of the following statements is TRUE regarding ethical vs. legal obligations?,Legal obligations always supersede ethical obligations,Ethical obligations and legal obligations are always consistent with one another,"If you can justify making an illegal action based on your ethical beliefs, you cannot be prosecuted for that action","If an action you take is legal, it has to be ethical too.",None of the above.,,,E,
"A patient presents to your office with a large carious lesion (“cavity”) of their lower left first molar and requests that you do a “filling”. You advise the patient that due to the size of the lesion, a “filling” is not a good option and that a crown is necessary. The patient tells you that they cannot afford a crown and you should just do the “filling” and they understand that it may not last for long. You do the filling as they request. One month later the patient posts an online review complaining that you are “incompetent and a thief” because you did a “filling” for them and “it broke in less than a month”. Which of the following statements is TRUE?",You and/or your staff cannot respond online to the post as that would constitute a HIPAA violation,You can post a response to their review explaining the circumstances as described above. This is not a HIPAA violation as the patient made the original post and you are just responding to what they said.,You can have your office manager post a response to their review explaining the circumstances as described above. This is not a HIPAA violation because HIPAA regulations only apply to the licensed practitioner but not the non-licensed staff,"You can post a response to their review explaining the circumstances as described above, as long as you use your personal computer. HIPAA does not apply as long as you do not use a work computer",The patient can be charged with a HIPAA violation because they posted protected health information without the consent of the doctor,,,A,
Consider the following actions in the “Protocol for Ethical Decision Making.” a. Confer and agree on the facts b. Consider the judgement of others c. Identify all possible alternatives for action d. Identify the ethical principles associated with each alternative for action e. Rank your alternatives and choose a course for action f. Determine if there is any missing information and acquire that information if possible In which of the following choices are these steps in the correct order?,"a, f, c, d, b, e","f, a, d, b, c, e","a, b, c, f, d, e","f, a, c, d, e, b","c, e, a, f, b",,,A,
