title,DAO Midterm Exam (Summer 2020),dao,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements concerning the dental curvatures within the permanent dentition is considered correct?,Anteroposterior curvature is the curvature of Wilson,Curve of Spee is especially evident when viewing posterior teeth from the lingual view,Curve of Wilson is especially evident when viewing posterior teeth from the lingual view,Anteroposterior curvature is the curve of Spee,,D,
Where is the temporomandiblar joint palpated upon examination of the structure?,At the angles to each mandible,Just anterior to each ear,Directly inferior to each orbit,Superior to each zygomatic arch,,B,
Which of the following bones of the head are involved in the articulation of the TMJ joint?,Maxilla and mandible,Temporal bone and frontal bone,Frontal bone and maxilla,Temporal bone and mandible,,D,
Which of the following completely encloses the TMJ?,Postglenoid process,Joint capsule,Growth center,Periosteum,,B,
Which of the following permanent teeth are usually the first to erupt into the oral cavity?,Mandibular first molars,Maxillary central incisors,Maxillary first premolars,Mandibular central incisors,,A,
The permanent dentition has only ___ type of molars; the primary dentition has only two.,Three,Two,One,Four,,A,
Which of the following features are located on the lingual surfaces of all permanent anterior teeth?,Imbrication lines and the cingulum,Marginal ridges and cingulum,Imbrication lines and cusp,Mamelons and marginal ridges,,B,
Permanent anterior teeth have ___ developmental lobes and are ___ when viewed from the proximal surfaces,4; triangular,4; trapezoidal,3; trapezoidal,3; triangular,,A,
The function of the permanent incisors is,Biting,Grinding,Cutting,2 of the answer choices,,D,
Which of the following features is a result of the greater development of the middle labial lobe on both tooth #6 and tooth #11?,Incisal ridge,Labial ridge,Mamelon,Imbrication lines,,B,
The completion of the root of the permanent maxillary central incisor occurs at age ____ years,10,6,12,7 to 8,,A,
The lingual ridge is located on the lingual surface of permanent maxillary canines,Incisocervically,Obliquely,Cevically,Mesiodistally,,A,
Which of the following features is noted on a newly erupted permanent mandibular canine?,Well demarcated marginal ridges,Mesial cusp slope shorter than distal,Mesial height of contour in cervical 1/3,Cingulum is offset to mesial,,B,
A cingulum in varying developmental levels within the permanent dentition can be found on the lingual surfaces of,Only canines,All anterior teeth,All posterior teeth,Only incisors,,B,
Which of the following helps to distinguish right mandibular lateral incisor from the left?,Mesioincisal angle of the incisal ridge is sharper than the distoincisal,Greater height of the CEJ curvature noted more on the occlusal than on the distal,Both mesial marginal ridge and the distal marginal ridge are more developed,Rounder appearance is noted both labially and lingually from incisal view,,A,
The incisal ridge of the permanent mandibular central incisors is usually at ____ degrees to the labiolingual axis of the crown.,60,90,20,45,,B,
Which of the following is correct concerning the permanent mandibular canines and their eruption timetable?,Eruption may continue until 14 years of age,Erupt before maxillary canines,Eruption may start at 12 years of age,Erupt before most of incisors,,B,
"When viewed from the labial or lingual, the crown outline of the permanent canine appears",Pentagonal,Cuboidal,Rhomboidal,Triangular,,A,
The number of cusps on the masticatory surface of a permanent canine is,Two,Four,Three,One,,D,
"The permanent mandibular canine, when compared to the maxillary canine has a",More developed lingual surface,More developed cingulum,Wider labiolingual dimension,Narrower mesiodistal dimension,,D,
Which tooth has the longest anatomic crown in the mouth?,Maxillary canine,Mandibular canine,Maxillary central incisor,Mandibular central incisor,,B,
"When viewed from the incisal, the cusp tip of the maxillary canine is located:",Mesial and facial to the midline of the tooth,Mesial and lingual to the midline of the tooth,Distal and facial to the midline of the tooth,Distal and lingual to the midline of the tooth,,A,
Canines are the most stable teeth in the mouth due to:,Their shape,The length of the root,Their location in the mouth,"""Their shape"" AND ""The length of the root""",All of the answer choices,D,
"On the facial surface of the maxillary canine, there is a distinct developmental depression. On which surface is that depression?",Mesial of the crown,Distal of the crown,Both mesial and distal of the crown,,,B,
Canines usually erupt _________ mandibular first molars.,Before,After,At the same time as,,,B,
A. The mandibular canine is narrower M-D than the maxillary canine. B. The mandibular canine has the longest anatomic root of all the teeth in the mouth.,A is True and B is False,A is False and B is True,Both A and B are True,Both A and B are False,,A,
"If a mandibular canine has 2 roots, they will be located:",Mesial and distal,Facial and lingual,Mesial and facial,Distal and lingual,,B,
The clinical crown is:,The part of the crown that is seen in the mouth,The part of the crown that is covered by enamel,The part of the crown that is covered by bone,The part of the crown covered by gingiva,,A,
The anatomical root is:,The part of the root seen in the mouth,The part of the root covered by cementum,The part of the root that is covered by bone,The part of the root covered by gingiva,,B,
How many primary and permanent teeth in the human dentition?,"24, 32","20, 28","22, 30","20, 32",,D,
The height of contour of all anterior teeth is located in the:,Incisal 1/3,Middle 1/3,Gingival 1/3,,,C,
The maxillary lateral incisor has all the following characteristics except:,Has a unique lingual developmental groove,The deepest lingual fossa,One of the most variable shapes,Longest crown of all anterior teeth,,D,
The cingulum of the maxillary lateral incisor is different than the cingulum of the mandibular lateral incisor in that the cingulum on the maxillary lateral is ______ and the cingulum on the mandibular lateral is ________.,Offset toward the distal; centered,Centered; offset to distal,Centered; offset to mesial,Offset to mesial; centered,,B,
Which of the following Universal;FDI pairs represents the proper nomenclature?,12; 22,25; 31,8; 11,31; 36,,C,
True/False: All primary teeth are succedaneous.,True,False,,,,B,
At what age does the mixed dentition begin?,4 years,6 years,10 years,12 years,,B,
Which teeth are not seen in the primary dentition?,Premolars,Molars,Laterals,Canines,,A,
True/False: The midline is always between the two centrals?,True,False,,,,A,
The cementoenamel junction is located at he border of the _____third of the root:,Middle,Horizontal,Apical,Cervical,,D,
Which of the following terms describes an area of the crown where three surfaces join?,Point angle,Height of contour,Proximal surface,Line angle,,A,
The tooth surface that is toward the midline of the oral cavity is the,Distal,Mesial,Buccal,Lingual,,B,
Which system is used by orthodontists?,Universal Numbering system,Palmer Numbering system,International Numbering System,,,B,
"When two teeth in the same arch come into contact, the curvatures next to the contact areas form spaces considered.",Embrasures,Line angles,Point angles,Height of contours,,A,
Which term is used to describe the method by which the teeth in the mandibular arch come into contact with those of the maxillary arch?,Occlusion,Embrasures,Palmer Notation Method,Ridges or Cusps,,A,
Which of the following is NOT included in the periodontium,Gingiva,Dentin,Cementum,Alveolar bone,,B,
"Usually, the last permanent incisors to erupt are the",Maxillary central incisors,Maxillary lateral incisors,Mandibular central incisors,Mandibular lateral incisors,,B,
A tubercle:,May be found on a tooth,Is an elevation of tissue always found lingual to the maxillary central incisors,Is a nodule of tissue found on the upper lip,Is an indentation found on the upper lip,"Both ""May be found on a tooth"" and ""Is a nodule of tissue found on the upper lip""",E,
On the dorsal surface of the tongue one finds:,The filliform papillae,Lingual varicosities,Foliate papillae,The sublingual caruncle,The lingual frenum,A,
All of the following structures are found in the vestibule except:,Mucobuccal fold,Labial frenum,Parotid papilla,Fungiform papillae,Buccal frenum,D,
The palatine rugae:,Are found only on the soft palate,Are found only on the uvula,Are found only on the hard palate,Are muscle tissue covered by mucosa,Extend from the incisive papilla to the uvula,C,
