title,Lasers in Dentistry Final Exam (Summer 2019),lasers,
question,option_a,option_b,option_c,option_d,option_e,correct,image
"A 1.0 Watt laser emits 1,000 mJ at 1 Hz (pulses per second). How many mJ will be emitted in each pulse at 10 Hz at the same power setting?",500 mJ per pulse,250 mJ per pulse,100 mJ per pulse,10 mJ per pulse,,C,
A diode dental laser can be used to prepare a Class IV cavity preparation in about the same amount of time as a high speed rotary handpiece.,True,False,,,,B,
"A laser is operating in pulsed mode at a 25% duty cycle (ON 25%, OFF 75%), If 6.0 Watts is the peak power, what is the average power?",6.0 Watts,4.5 Watts,1.5 Watts,Cannot be determined from the information given,,C,
A photon is to light what an atom is to matter.,True,False,,,,A,
Active media are where the photons are generated for laser beams. Which of the following is NOT an example of an active medium?,Photosensitizers,Gases,Crystals,Liquid Dyes,,A,
"After ten seconds of firing, a 2.0 W continuous wave (CW) laser delivers more energy to the tissue than the same laser set at 4.0 W at a duty cycle of 33% for ten seconds.",True,False,,,,A,
An erbium laser does not have the ability to ablate soft tissue unless the fiber is initiated,True,False,,,,B,
"Assuming two laser beams of the same wavelength have equal power, the NARROWER fiber (smaller spot size) will have:",Lower power density,Equal power density,Higher power density,Cannot be determined from the information provided,,C,
"By definition, which of the following is NOT a property of lasers?",Contrafocality,Collimation,Coherence,Monochromaticity,,A,
Dental lasers used for soft tissue ablation fall under the category of:,Class I,Class II,Class III,Class IV,,D,
"During Photobiomodulation (PBM) therapy, as long as you know the total energy to be delivered to a site, how fast or slow the energy is delivered is not important",True,False,,,,B,
Epithelial cells regenerate at a rate of approximately,2.0 mm per day,1.0 mm per day,0.5 mm per day,0.05 mm per day,,C,
Erbium and diode lasers have approximately the same penetration depth into tissue,True,False,,,,B,
"Erbium lasers can ablate all the following: Gingiva, Enamel, Amalgam, Bone and Dentin",True,False,,,,B,
Examples of IONIZING radiation include all of the following EXCEPT,Microwave Radiation,Ultraviolet Radiation,X-ray Radiation,Gamma Radiation,,A,
In which part of the electromagnetic spectrum do dental lasers operate (ablation and PBM)?,In the visible portion,In the infrared (IR) portion,In the ultraviolet (UV) portion,a &b,a &c,D,
In which part of the electromagnetic spectrum do DENTAL lasers operate?,In both the visible and ultraviolet (UV) portions,In the visible portion,In the infrared (IR) portion,In the ultraviolet (UV) portion,,C,
"Laser peak power and average power can never be identical, no matter the mode of operation.",True,False,,,,B,
Laser plume is safe to breathe since the laser energy used to create it is bactericidal.,True,False,,,,B,
Nominal Ocular Hazard Distance (NOHD) is the distance from a dental laser unit to the patient.,True,False,,,,B,
Photodynamic therapy (PDT) is a medical treatment that uses light to activate:,Photosensitizer,Bleach,EDTA,Hydrogen peroxide,,A,
Power density equals,Watts/cm2,Watts/mm2,Watts/mJ2,Watts/sec2,,A,
Selective absorption is the principle that makes white light passing through a green filter appear:,Red,Green,Blue,Yellow,,B,
Stimulated Emission of Radiation was first presented by?,Niels Bohr,Albert Einstein,Thomas Edison,Ted Maiman,Leon Goldman,B,
The advantages of using a radial firing laser tip include all the following EXCEPT:,Laser energy is directed apically to access the deepest areas of the root anatomy,Laser energy is directed laterally rather than apically,Bubbles created are significantly larger than those created with end-firing tips,The smear layer created by instrumentation is easily removed,,A,
"The Arndt-Schulz law tells us that as long as you reach the optimum power output, using more energy will only improve the results",True,False,,,,B,
The most potentially dangerous aspect of lasers used in dentistry are the effects from the ionizing radiation produced.,True,False,,,,B,
"This is a phenomenon in which rapid changes of pressure in a liquid lead to the formation of small vapor-filled cavities or bubbles. When subjected to higher pressure, these bubbles collapse and can generate an intense shock wave.",Inversion,Pressure Wave,Electrophoresis,Cavitation,,D,
What do the letters in LASER stand for?,Light Absorption through Spectrally Emitted Radiation,Light Amplification through Simultaneous Electronic Reduction,Light Activated by Spontaneous Energy Radiation,Light Amplification by Stimulated Emission of Radiation,,D,
"When a laser hits target tissue, several things can happen. Which of the following is not a normal occurrence?",Restoration,Scattering,Transmission,Absorption,,A,
Which of the following is the worst (least helpful) application of using a diode laser?,Excision of soft tissue,Incision into soft tissue,Gingivectomy,Fibroma removal,,B,
Which of the following is not currently being used as a laser delivery system in dental devices?,Ruby rods,Optical fibers,Articulating arms,Hollow wave guides,,A,
Who wrote the two papers in the Reading Assignments and Resources section of Canvas?,Maiman and Johnson,Coluzzi and Parker,Maiman and Coluzzi,Goldman and Parker,,B,
