title,GDA Quiz 2 (Summer 2017),gda,quiz
question,option_a,option_b,option_c,option_d,correct,image
During fetal development the first tooth buds appear in the anterior maxillary region.,True,False,,,B,
The thickening of the oral epithelium that occurs around week 6 of fetal development is known as the:,Dental lamina,Horizontal bands,Accessional teeth,Dental follicle,A,
Ameloblasts produce predentin which will eventually calcify and become dentin.,True,False,,,B,
Statement 1: Enamel is the hardest tissue in the body. Statement 2: The color of the teeth is mostly determined by the thickness and color of the enamel.,Both statements are true.,Both statments are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,C,
Choose the statement that is incorrect regarding eruption patterns.,Primary teeth generally erupt between 6 and 24 months.,A child has 20 decidous teeth that usually erupt by the first birthday.,Delayed eruption can be a result of a systemic issue.,None of the above statments are incorrect.,B,
Which of the following is not a function of the periodontal ligament?,Attaches the tooth to the alveolar bone,Supplies blood from the dental arteries,Supplies nerve endings that are receptors for pressure and pain,Production of ameloblasts,D,
The dental papilla is the primordium of the dentin and pulp.,True,False,,,A,
Which of the following permanent teeth is not the successor (or replacement) for a primary tooth?,Central incisor,Canine,Premolar,Second molar,D,
During which stage of tooth development does the dental lamina that connects the tooth to the oral epithelium obliterate?,Bud stage,Bell stage,Cap stage,,B,
Enamel and dentin formation begins at the root of the tooth and progresses toward the cusp tip.,True,False,,,B,
Statement 1:Cranial Nerve II is the Optic Nerve and is involved in olfactory function. Statement 2: Cranial Nerve VIII is the Vestibulocochlear Nerve and is involved with hearing and balance.,Both statements are True.,Both statements are False.,Statement 1 is True. Statement 2 is False.,Statement 1 is False. Statement 2 is True.,D,
