title,Fixed Prosthodontics Final Exam (Fall 2020),fixedpros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
"Ms. Jones presents to your office with a large, fractured MOD amalgam on tooth # 3 with clear evidence of marginal breakdown and decay. The tooth has completed endodontic therapy, is asymptomatic and ready for restoration. She has poor oral hygiene, and you find moderate gingivitis. The ideal restoration for this tooth would be:",All ceramic crown.,Ceramic or Gold Onlay.,Replace MOD Amalgam.,Any of the answer choices.,,B,
"The most common complication associated with active, screw type posts is:",Loosening of the post.,Poor retention of core.,Root fracture.,None of the answer choices,,C,
Amy is a nine-year-old girl who presents to your office with her mother in mild discomfort.  Tooth S had a pulpotomy and placement of a stainless steel crown. The tooth has developed a fistula and needs to be extracted. The ideal treatment plan is:,Implant Tooth S after healing.,Fixed Prosthesis Tooth T – Tooth 27.,Extract S with no treatment.,Place a space maintainer.,,D,
"Mrs. Washington presents to your office as a new patient. You are completing her comprehensive exam and the last item is making physical study models using irreversible hydrocolloid. She has mentioned in your patient interview that she has a pronounced gag reflex and this has been a problem in past dental visits. You, of course, want to keep Mrs. Washington comfortable so you would alter your procedure by:",Impression material setting time.,Change manufacturers recommended liquid:powder ratio.,Alter water temperature.,"Impression material setting time, and alter water temperature.",,D,
"When preparing an MODBL Ceramic Onlay on Tooth # 14, the preparation should have a gingival bevel on all prepared margins:",True.,False.,,,,B,
"Tabatha Thompson presents to your office with a Fixed Prosthesis # 6 - # 8 placed 20 years ago. Tooth # 6 and # 8 are abutments and have gradually, developed dark bands at the gingival margins which Tabatha finds unsightly. The most likely type of restoration that would create these bands would be:",All Ceramic Crown.,All Metal Crown.,Porcelain fused to Metal Crown.,"All Ceramic Crown, and porcelain fused to Metal Crown.",,C,
Polymethylmethacrylate (PMMA) is known as an “unfilled resin”:,True.,False.,,,,A,
"Ms. Franklin was referred to your office because she was told how excellent Touro graduates are. She presents with chipped and malposed teeth # 7 - # 10 with numerous older, stained composite restorations. She would like to have crowns placed. Upon examination you discover that she has limited inter occlusal space between arches. The ideal restoration of choice would be:",All Porcelain Crowns.,All Metal Crowns.,Porcelain fused to Metal Crowns with a metal palatal surface.,Any of the answer choice.,,C,
"When treatment planning a fixed prosthesis on teeth # 3 - # 6, you have noted in your clinical examination that the mandibular occlusal plane is not ideal. When treating this patient with the ideal result in mind you should:",Fabricate the prosthesis and then adjust mandibular plane.,Adjust occlusal plane prior to preparing Maxillary teeth.,Fabricate the prosthesis to accommodate the existing occlusal plane.,Any of the answer choice.,,B,
"When preparing a post-core preparation, you would use a Peeso reamer   before using a Gates- Glidden drill to remove Gutta Percha:",True.,False.,,,,B,
"If the Elastic Recovery of an impression material is 98%, then the Permanent Deformation is also 98%:",True.,False.,,,,B,
An example of a Thixotropic impression material would be:,Polyvinylsiloxane (PVS).,Reversible Hydrocolloid.,Polyether.,Irreversible Hydrocolloid.,None of the answer choice.,C,
The least common ridge deformity is:,Class I.,Class III.,Class V.,None of the answer choice.,,D,
Mr. Hogan presents to your office with very extensive composite restorations on all surfaces of teeth # 7 - # 10. He is requesting laminate restorations to be placed on all these teeth. You inform him the ideal esthetic restorations considering his existing condition would be:,All ceramic crowns.,Laminate restorations.,Porcelain fused to Metal Crowns.,Any of the answer choice.,,A,
Hydrophobic impression materials will “wet” intraoral structures better than Hydrophillic impression materials:,True.,False.,,,,B,
You have made a final impression for a Ceramic crown on tooth # 14 using PVS impression material. You send all necessary items to the lab with your lab prescription. The lab will fabricate:,Master cast.,Die.,Counter model.,Mount on articulator.,All of the answer choice.,E,
A Saddle pontic is the most easily cleansable pontic:,True.,False.,,,,B,
"Mrs. Pennywhistle is wearing a 3 unit PMMA provisional on abutment teeth # 3 and # 5, with # 4 as a pontic. Three weeks after insertion she presents with a fractured provisional between # 3 and # 4. To properly repair this provisional you would: 1) Clean the provisional in an ultrasonic cleaner 2) Roughen the broken surfaces with a green stone. 3) Clean the surfaces with an alcohol swab and dry. 4) Place Flowable Composite on both surfaces, place in the mouth and cure. 5) Adjust, repolish, check occlusion and recement.",True.,False.,,,,B,
When fabricating Ceramic Crowns on teeth # 6- # 11 you inform the lab technician that optimal esthetics and emergence profile are most important. The lab technician should ideally fabricate:,Master cast.,Soft tissue model.,Reduction coping.,None of the above.,,B,
Statement One: A Working cast is mounted to an articulator to fabricate a prosthesis. Statement Two: A Master cast is mounted to an articulator to fabricate a prosthesis.,"Statement One is true, Statement two is false.","Statement One is false, Statement two is true.",Both Statements are true.,Both statements are false.,,C,
“Brush Heap” structure refers to the physical setting property of which impression material:,Reversible Hydrocolloid.,Polyvinylsiloxane.,Polyether.,None of the answer choice.,,D,
"Mr. Greenjeans presents with a missing tooth # 30. Tooth # 31 is tipped mesially, and tooth # 29 is tipped distally. The ideal treatment plan would include:",Prepare teeth #29 and #30 as you normally prepare teeth.,Extract teeth # 29 and # 30 and place 3 implants.,Inform him that you are unable to provide treatment.,Orthodontically upright # 29 and # 30.,None of the answer choice.,D,
When preparing the interproximal margins of a Ceramic Laminate we want the interproximal margin to be 45 degrees to the adjacent teeth:,True.,False.,,,,B,
The relationship of one axial wall of a crown preparation to the long axis of that tooth is known as:,Cavosurface margin.,Taper.,Inclination.,Taper and inclination.,,D,
The thickness of remaining dentin following crown preparation is inversely proportional to adverse pulpal responses:,True.,False.,,,,A,
Statement One; An Inlay restoration uses opposing external walls for retention. Statement Two: An Onlay restoration uses opposing internal walls for retention.,"Statement One is true, Statement two is false.","Statement One is false, Statement two is true.",Both Statements are True.,Both Statements are false.,,D,
A Functional Cusp Bevel is placed on the lingual cusp of a mandibular molar:,True.,False.,,,,B,
