title,Oral Pathology Final Exam (Spring 2021),oralpath,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which is true of the following statements: Statement 1: Palatal cysts of the newborn require surgical excision Statement 2: The majority of newborns are born with a palatal cyst of the newborn,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,D,
Which of the following structures are removed during a Sistrunk procedure?,Portion of the hyoid bone,Skeletal muscle,Thyroglossal duct cyst,Thyroglossal duct tract,All of the options,,E,
Which is true of the following statements: Statement 1: Epidermoid cysts are associated with Gardner syndrome Statement 2: Osteomas are associated with Gardner syndrome,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,A,
What is the most common location for a dermoid cyst?,Midline floor of mouth,Buccal mucosa,Lower labial mucosa,Alveolus,Hard palate,,A,
Which term is correctly matched to its definition?,Fistula- sessile papule/nodule on the alveolar mucosa that drains purulent exudate,Parulis- connection between two open spaces,Cutaneous sinus- infection spreading diffusely through the overlying soft tissues,Symptomatic apical periodontitis- periapical abscess,,,D,
Where is the correct position of a dentigerous cyst?,Periapical to a tooth,Coronal to a developing/erupting tooth,Posterior mandible unrelated to teeth,Within the nasopalatine canal,,,B,
What age group would be most likely present with an eruption cyst,0-10 years,20-30 years,40-50 years,50-60 years,70-80 years,,A,
Which is true of the following statements: Statement 1: Orthokeratinized odontogenic cysts are less likely to recur  than the odontogenic keratocyst Statement 2: Lateral periodontal cysts are most often associated with the mandibular first molar,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,C,
Which of the following is NOT associated with Nevoid Basal Cell Carcinoma Syndrome (Gorlin Syndrome)?,Odontogenic keratocyst,Calcified falx cerebri,Mandibular osteomas,Palmar and plantar pits,All of the answers are associated with nevoid basal cell carcinoma syndrome,,C,
Which tooth is most likely to present with a buccal bifurcation cyst?,Tooth #5,Tooth #8,Tooth #19,Tooth #25,Tooth #28,,C,
Which of the following is an odontogenic neoplasm derived from ectomesenchyme?,Ameloblastoma,Odontogenic keratocyst,Adenomatoid odontogenic tumor,Odontogenic myxoma,Clear cell odontogenic carcinoma,,D,
Which of the following is true of ameloblastoma?,Ameloblastomas never transform into a malignancy,Ameloblastomas are not associated with erupting teeth,Maxillary ameloblastomas behave more aggressively,Curettage is the definitive treatment,,,C,
Which of the following is true of the adenomatoid odontogenic tumor?,Occurs more often in female,Occurs more often in the maxilla,Occurs more often in patients younger than 20,Occurs more often in the anterior jaw,All of the answers are true of adenomatoid odontogenic tumor,,E,
Which of the following teeth is most likely to present with a cementoblastoma?,Tooth #5,Tooth #8,Tooth #19,Tooth #25,Tooth #28,,C,
