title,Intro to Clinical Dentistry Exam 3 (Spring 2019),icd,exam3
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What is the SECOND most important factor in the management of medical emergencies?,Prevention,Preparation,Emergency Planning,Emergency Medications and Equipment,,,B,
What is the most important item that should be available in all dental offices?,Oxygen,Suction,AMBU Bag,Handpiece,,,A,
Your patient is experiencing chest pain and has a history of taking nitroglycerin to relieve this pain. They have brought their nitroglycerin to their appointment. Your patients' current vital signs are BP: 89/60; HR: 90; SpO2: 96%. Would you allow your patient to take one of their nitroglycerin tablets?,True,False,,,,,B,
"Statement #1: A patient with a diminished gag reflex due to intravenous moderate sedation, improves the safety of the dental procedure.Statement #2: gastric juices (pH: 6.0) in the pulmonary system poses minimal risk to pulmonary tissues.",Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,D,
Which of the following is (are) true regarding vasovagal syncope:,It is the most common cause of loss of consciousness in dental offices,It is the vagally mediated tachycardia that eventually leads to syncope,You will see an increase in blood pressure due to blood pooling to the periphery,It causes an increase in peripheral vascular resistance,All of the above,"(a), (b), (c)",A,
Aromatic ammonia salts result in reflex stimulation of medullary respiratory and vasomotor centers by irritating trigeminal nerve sensory endings.,True,False,,,,,A,
"You work in a large group practice and your dentist colleague calls you into their operatory. The dentist has already provided profound local anesthesia in order to extract #30. The patient has no significant past medical history. Currently, the patient presents with slurred speech, tremors, blurred vision and you notice nystagmus of the eyes. What could be occurring?",Local Anesthesia Toxicity,Tonic-Clonic Seizure,Grand-Mal Seizure,Hypoglycemia,,,A,
Statement #1: a patient taking at least 10mg of cortisol daily for 2 weeks during the last year is at risk for acute adrenal insufficiency. Statement #2: exogenous steroid medications can enhance normal release of endogenous glucocorticoids in amounts necessary for the body when stressed with a surgical procedure.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,D,
Cerebral blood flow can be compromised by:,Embolization of particulate matter,Thrombus formation in a cerebral vessel,Rupture of a cerebral vessel,All of the above,,,D,
What position is the patient in?,Trendelenberg,Reverse Trendelenberg,Supine,Prone,,,A,images/icd-exam3-spring-2019/fig10.jpg
Patient's with COPD have which of the following:,A high arterial CO2 and a low level of blood oxygen,A low arterial CO2 and a high level of blood oxygen,A high arterial CO2 and a high level of blood oxygen,A low arterial CO2 and a low level of blood oxygen,,,A,
Information on a Medication prescription that does not need to be included is;,the form of medication,the refill information,how much medication is to be given,the name of pharmacy,,,D,
The term Sig on a RX form directs,the information on how the medication is taken,the information on how much medication to dispense,the information on the prescribing doctor,the information on the patient,,,A,
