title,Oral Pathology Exam 4 (Spring 2018),oralpath,exam4
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Please see case 1. What histopathological features would be most characteristic of the entity in the attached image in the case that a biopsy was performed?,Blood vessels,Keratin-filled cysts lined by stratified squamous epithelium,Skeletal muscle,Lymphoid aggregates lined by mucous cells,Cyst lined by mucous cells,,,,B,images/oralpath-exam4-spring-2018/fig1.jpeg
All of the following are systemic signs and symptoms of inflammation EXCEPT one. Which one is the EXCEPTION?,Fever,Lymphadenopathy (LAD),Elevated C-reactive protein (CRP),Leukopenia,Malaise,Left shift,,,D,
Statement 1: A periapical abscess could develop into a periapical cyst. Statement 2: A periapical cyst could develop into squamous cell carcinoma.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,,A,
The term for the epithelial remnants of tooth development entrapped within the gingiva is:,Rests of Seres,Rests of Malassez,Dental follicle,Dental lamina,Mesenchymal cells,,,,A,
"Statement 1: Epidermoid cysts of the skin are common lesions. Statement 2: They typically present as a subcutaneous, non-painful nodule.",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,,A,
The main theory regarding branchial cleft cysts is that they develop from remnants of the branchial arches. The majority of branchial cleft cysts are thought to develop from remnants of the:,First branchial arch,Second branchial arch,Third branchial arch,Fourth branchial arch,,,,,B,
The Sistrunk procedure is utilized for the management of the thyroglossal duct cyst. All of the following structures are excised when this procedure is employed EXCEPT one. Which one is the EXCEPTION?,Cyst,Tract,Muscle along the tract,Portion of the hyoid bone,Portion of the thyroid cartilage,,,,E,
At which anatomic location does the nasopalatine duct cyst generally present?,Center of anterior palate,Between the maxillary lateral incisor and the canine,Between the mandibular lateral incisor and the canine,Posterior mandible,Posterior maxilla,,,,A,
All of the following are appropriate actions in the treatment of a periapical abscess EXCEPT one. Which one is the EXCEPTION?,"Drainage and elimination of the infectious focus (exodontia, pulpectomy, and incision and drainage)",Administration of non-steroidal anti-inflammatory drugs (NSAIDs),Antibiotics if signs and symptoms of systemic inflammation are present,Reduction of occlusion,The above list has no exceptions,,,,E,
Please see the attached image. The epithelial source from which this cyst is derived is odontogenic in origin.,True,False,,,,,,,B,images/oralpath-exam4-spring-2018/fig10.jpeg
Please see the attached image. What is the name of this disease entity that is comprised of three words?,NASOPALATINE DUCT CYST,,,,,,,,FILL,
Please see the attached image. What is the appropriate treatment for this disease entity?,Excision,Cautery,Antibiotics,No treatment,,,,,A,images/oralpath-exam4-spring-2018/fig12.jpeg
Please see the attached image. What is the appropriate treatment?,Incisional biopsy,Excisional biopsy,Cautery,No treatment,Resection,,,,D,images/oralpath-exam4-spring-2018/fig13.jpeg
Please see the attached image. What is the most likely diagnosis?,PALATAL CYSTS OF THE NEWBORN|PALATAL CYST OF THE NEWBORN,,,,,,,,FILL,
"Please see the attached image. This periapical radiograph is from a 66-year-old-male. Two years ago root canal therapy was performed on #13. He presented today and reported that he experienced pain two weeks ago, but it has since subsided. Percussion, palpation and bite stick tests are all negative (i.e. no pain is elicited with these tests). There is no draining sinus. What is the most likely diagnosis based on the patient's history, the clinical information and the attached radiographic image?",PERIAPICAL GRANULOMA,DENTIGEROUS CYST,PERIAPICAL ABSCESS,LATERAL PERIODONTAL CYST,,,,,A,images/oralpath-exam4-spring-2018/fig15.jpeg
Please see the attached image. Which of the following is the most likely diagnosis for the swelling of this patient's left neck?,NASOLABIAL CYST,BRANCHIAL CLEFT CYST,THYROGLOSSAL DUCT CYST,,,,,,B,images/oralpath-exam4-spring-2018/fig16.jpeg
"Please see the attached image. This periapical radiograph is from a 78-year-old male. He reports no pain on the mandibular incisor teeth. There is no evidence of a draining sinus. The mandibular incisor teeth are negative to electric pulp testing, endo ice, percussion, palpation and the bite stick test (i.e. no pain is elicited from any of the tests performed). True or false, it is possible that a perapical abscess was present at tooth #23 at some point in the past.",True,False,,,,,,,A,images/oralpath-exam4-spring-2018/fig17.jpeg
