title,Periodontics I Midterm Exam (Spring 2018),perio1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
The boundaries of the attached gingiva are:,The mucogingival junction and the free gingival groove,The gingival margin and mucogingival junction,The gingival margin and free gingival groove,The mucogingival junction and the vestibule,Always the same as the boundaries of keratinized gingiva,A,
The mucogingival junction is:,Present facially and palatally in the maxillary arch,Absent facially but present palatally in the maxillary arch,Present facially but absent lingually in the mandible,Absent facially and palatally in the maxillary arch,Present facially and but absent palatally in the maxillary arch,E,
What is true regarding the Width of the Attached Gingiva?,The least amount of attached gingiva is in the mandibular anterior sextant,The mandibular Anterior facial aspect has largest average width of attached gingiva,The anterior palate has the least amount of attached gingiva,The maxillary anterior facial has 3.5-4.5mm of attached gingiva,None of the above,D,
Which is a characteristic of the interdental “col”?,It exists only in health,It exists when a diastema is present,Composed of alveolar bone only,It is located outside the gingival embrasure,The shape is a function of the contact point,E,
Which statement is incorrect with respect to a healthy gingival sulcus?,The marginal gingiva may be inflamed,May bleed upon gentle probing,The depth of the sulcus is measured with a periodontal probe,Interproximally its depth is up to 3mm,,B,
Which of the following is a biologic risk factor for periodontitis?,Smoking cigarettes,Genetics,Stress,Oral Hygiene,All of the above are biologic risk factors,B,
Which statement regarding the Free Gingival Groove is true?,It is the demarcation between “Free Gingiva” and the Alveolar Mucosa,It is found in the sulcular epithelium,It is approximately 3mm wide,It is seen in about 50% of cases,,D,
Which of the following is/are characteristic(s) of biofilms?,They do not have a circulatory system,They have no metabolic cooperativity,They protect bacteria from antimicrobial agents or phagocytosis,All of the above are characteristics of biofilms,,C,
Plaque accumulation has a direct effect on:,The severity of gingivitis,The degree of tooth mobility,The degree of attachment loss,All of the above,,A,
Which of the following is first to form on a recently polished tooth?,Bacterial Plaque,Food Debris,Materia Alba,Acquired Pellicle,,D,
Which is not true regarding collagen in the PDL?,Type XIII occurs in the PDL when the ligament is not in function,Types I and III make up 95% of the collagen,Type I is uniformly distributed,"Type III is involved with collagen turnover, tooth mobility, &collagen fibril diameter",Types IV and VII are associated with epithelial cell rests and blood vessels,A,
Which statement is true?,The anatomic and clinical crown is covered by enamel,The anatomic root is covered by cementum while the clinical root is covered by periodontal tissue,The clinical crown is 1/3 of the anatomic crown,With active eruption teeth are exposed by apical migration of gingiva,,B,
The main blood supply to the free gingiva is supplied from,PDL arterioles,Interdental arterioles,Supraperiosteal arterioles,Cementum arterioles,,C,
Which of the following is true regarding the texture of the gingiva?,Stippling is always present,In health free gingiva may be stippled,Stippling is produced by protuberances and depressions in the gingiva,Does not vary with age,,C,
Which of the following statements is/are characteristic of healthy gingiva?,There is an absence of Junctional Epithelium rete pegs,The depth of the gingival sulcus is less than 3mm,There is an increase in gingival crevicular fluid flow rate,There are large numbers of PMNs in the Junctional Epithelium,,B,
Which of the following statements is characteristic of the Periodontal Ligament?,There are three groups of principal fibers,There is a decrease in width with increasing age,Has an average width of 1.0mm,Is more narrow at the crest of bone,,B,
The cortical plate of mandibular bone is?,Thinnest along the anterior labial surface,Thinnest along the lingual surface,Thinnest along the posterior buccal surface,Always of uniform thickness,,A,
What is true regarding Oral Sulcular Epithelium?,There is no cornification,It has no permeability barrier function,It is poorly stratified,All of the above,,D,
The mature tooth precementoblasts are derived from:,The Epithelial Restz of Mallassez,Stem cells in the PDL and/or bone marrow,Bone marrow only,Osteoblasts,,B,
Which of the following statements about gingival CT is not true?,It is derived from neural crest ectomesenchyme,"It contains well organized, functionally oriented collagen bundles","It contains Types I, III, IV, V, VI, and VII collagen",It has a high rate of turnover,,A,
What is true regarding Keratinization of the Gingiva?,When no nuclei can be seen the epithelium is “parakeratinized.”,The surface texture is unrelated to the degree of Keratinization,The underlying connective tissue determines if the epithelial surface is keratinized,Fibroblasts produce Keratin which protects against friction and microbial invasion,All of the above,C,
