title,Orthodontics Midterm Exam (Spring 2023),ortho,midterm
question,option_a,option_b,option_c,option_d,correct,image
A line tangent to the mandible intersects the head within the cranium. Which of the following is not consistent with this presentation?,Hyperdivdergent,High angle,More downward and backward grower,Deep bite,D,
Which of the following typically DOES NOT result in a midline shift?,Different classifications of occlusion in the same case,Missing teeth,Crowding,Impacted molars,D,
Leveling and aligning of a case occurs in which stage of orthodontic treatment?,Stage 2,Stage 3,Stage 4,Stage 1,D,
Which of the following is true about a crossbite?,Is always anterior only,Is always posterior only,Can present both anterior and posterior,Is always bilateral,C,
"In a typical class II patient, one may find, as compared to the norm:",Larger SNA,Smaller SNA,Larger SNB,Negative ANB,A,
A Negative ANB is typical of which type of malocclusion?,Class 1,Class 2,Class 3,Class 2 division 2,C,
E-space refers to :,a line drawn from the nose to the chin,a way to determine facial balance,Space that becomes available when deciduous second molars exfoliate,Crowding in adults,C,
In a well balanced face:,Lower face height is roughly equal to upper face height,Lower face height is longer than upper face height,Lower face height is shorter than upper face height,Upper and lower face heights are not equal,A,
which of the following is TRUE about crowding:,Crowding is always treated by extraction,Facial balance plays a role in determining resolution of crowding,IPR is never an option to treat crowing,Leeway space has no effect on crowding,B,
What is typically seen in someone with lip incompetence?,Flat profile,Lip closure with strain,Lip closure without strain,Speech issues,B,
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 Division 2,A,images/ortho-midterm-spring-2023/fig11.jpg
The overbite is considered:,Open,Shallow,Moderate,Deep,A,images/ortho-midterm-spring-2023/fig12.jpg
Maxillary central incisors are:,Normal inclination,Proclined,Retroclined,Typical of class 3,A,images/ortho-midterm-spring-2023/fig13.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate crowding,Severe crowding,Moderate spacing,A,images/ortho-midterm-spring-2023/fig14.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Long upper face height,B,images/ortho-midterm-spring-2023/fig15.jpg
Which best describes the Angle Classification?,Class 1,Class 2 subdivision right,Class 3,Class 2 Division 2,A,images/ortho-midterm-spring-2023/fig16.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-midterm-spring-2023/fig17.jpg
"The overjet, at 8 mm, is considered:",Mild,Moderate,Severe,Negative,C,images/ortho-midterm-spring-2023/fig18.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-midterm-spring-2023/fig19.jpg
Maxillary central incisors are:,Normal inclination,Proclined,Retroclined,Typical of class 3,B,images/ortho-midterm-spring-2023/fig20.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate crowding,Has leeway space available,Moderate spacing,B,images/ortho-midterm-spring-2023/fig21.jpg
Which best describes the Angle Classification?,Class 1,Class 2 subdivision right,Class 3,Class 2 Division 2,A,images/ortho-midterm-spring-2023/fig22.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-midterm-spring-2023/fig23.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2023/fig24.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-midterm-spring-2023/fig25.jpg
Which of the following is responsible for the midline shift in this case?,Different classifications of occlusion in the same case,Missing teeth,Crowding,Differential spacing,B,images/ortho-midterm-spring-2023/fig26.jpg
Which of the following best describes alignment of the teeth?,No crowding,Mild crowding,Has leeway space available,Moderate spacing,B,images/ortho-midterm-spring-2023/fig27.jpg
Which best describes the Angle Classification?,"Class 2 molar, class 1 canine","Class 2 molar, class 2 canine",Class 1,Class 2 Division 2,A,images/ortho-midterm-spring-2023/fig28.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-midterm-spring-2023/fig29.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2023/fig30.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-midterm-spring-2023/fig31.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Long upper face height,C,images/ortho-midterm-spring-2023/fig32.jpg
Which of the following best describes alignment of the teeth?,No crowding,Mild crowding,Has leeway space available,Moderate spacing,B,images/ortho-midterm-spring-2023/fig33.jpg
Which best describes the Angle Classification?,Class 1,Class 2 division 1,Class 3,Class 2 Division 2,D,images/ortho-midterm-spring-2023/fig34.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-midterm-spring-2023/fig35.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2023/fig36.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Right side posterior crossbite only,A,images/ortho-midterm-spring-2023/fig37.jpg
Incisor inclination would best be described as:,Maxillary central incisors proclined,Maxillary central incisors retroclined,Maxillary lateral incisors retroclined,All Maxillary incisors proclined,B,images/ortho-midterm-spring-2023/fig38.jpg
Which of the following best describes alignment of the lower teeth?,No crowding,Mild crowding,Moderate crowding,Moderate spacing,D,images/ortho-midterm-spring-2023/fig39.jpg
Which best describes the Angle Classification?,Class 1,Class 2 division 1,Class 3,Class 2 subdivision left,D,images/ortho-midterm-spring-2023/fig40.jpg
The overbite is considered:,Openbite,Shallow,Deep,Normal,C,images/ortho-midterm-spring-2023/fig41.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2023/fig42.jpg
