title,PCOD I Quiz 4 (Fall 2017),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The powder component in an unmixed amalgam capsule contains:,Ag-Sn and Cu-Sn,Ag-Sn and Ag-Zn,Ag-Cu and Cu-Sn,Ag-Hg and Cu-Sn,none of the above,E,
What is the most predominant element in dental amalgam?,Silver,Copper,Tin,Mercury,Zinc,D,
Excess mercury in a hardened dental amalgam causes:,the formation of gamma-2 phase in the restoration,the formation of a Cu-Sn component in the initial state,a higher compressive strength of the restoration,higher resistance to corrosion,none of the above,A,
The primary reason for overfilling a cavity preparation with amalgam prior to carving is:,to avoid creating flash at the margins,to allow the amalgam to completely harden before carving.,to eliminate the excess mercury in the restoration while carving the anatomical form,so that burnishing can be performed immediately after anatomical carving,all of the above,C,
Statement 1: Neuological changes in humans are not detected below urine levels of mercury of 500 mg/L. Statement 2: Placing an amalgam restoration can cause urine levels of mercury in the patient as high as 2.5 mg/L.,"The first statement is true, the second statement is false.","The first statement is true, the second statement is true.","The first statement is false, the second statement is true.","The first statement is false, the second statement is false.",,B,
Dr. G. V. Black's first name is:,Bert,George,Green,Gray,Guillermo,C,
The ADA Recommendations to reduce risks of mercury to the dentist and personnel include:,Keep the operatory sealed to prevent cross contamination with other rooms in the office.,Use high volume suction when removing amalgam.,No carpeting in operatory.,b and c,All of the above,D,
The ADA's position on the use of amalgam as a restorative material is:,amalgam is safe to use in patients not allergic to mercury,there is no toxicological reason for removing a serviceable amalgam restoration,amalgam is superior to composite as a restorative material for posterior teeth,a and b only,all of the above,D,
Toxic levels of mercury in the body can cause:,insomnia,neuromuscular dysfunction,“Mad Hatter” sudden unintentional movements,b and c,all of the above,E,
A slot (or box) composite preparation can be used when,decay is present only on the proximal surface,there is no radiographic evidence of occlusal decay,there are no existing restorations on the occlusal surface adjacent to the preparation,a and b,all of the above,E,
Following the placement of a composite restoration for a slot preparation:,the restoration should be polished with a diamond bur,the rest of the occlusal surface should be sealed,the restoration should be left to completely harden for 24 hours,all of the above,none of the above,B,
"In 1845, the American Society of Dental Surgeons issued a proclamation stating that:",dental amalgam is safe to be used in patients not allergic to mercury,dental amalgam is superior to composites for the restoration of teeth,dental amalgam is unfit and dangerous for the restoration of teeth,the use of dental amalgam should be limited to the occlusal surfaces of posterior teeth,a and d only,C,
Which of the following would expose a patient to the highest level of mercury or mercury compounds?,placing an amalgam restoration,removing an amalgam restoration,eating seafood once a week,a and b,none of the above,C,
