title,PCOD I Midterm Exam (Fall 2017),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
The parts of the carbide bur include:,"the shank, blade and neck","the cutting head, neck and shank","the handle, cutting head and blade","the cutting blade, shank and mandrel",none of the above,B,
The pear shaped bur is designated as:,56,8,35,669,none of the above,E,
The difference between a standard carbide bur and a finishing bur is:,the shape of the bur,the amount of flutes on the bur,the rake angle of the blades,all of the above,none of the above,B,
The shape of the cut surface of a tooth is determined by:,the shape of the bur used,the angle that the handpiece is held relative to the tooth,the speed of rotation of the bur,a and c,a and b,E,
"A bur speed of rotation of 20,000 RPM is considered:",hyper high speed,high speed,medium speed,low speed,hypo low speed,D,
Which depth demarcations are not present on the standard (Williams) periodontal probe?,"3, 6 and 12 mm","4, 6 and 15 mm","5, 8 and 10 mm","3, 8 and 12 mm",none of the above,B,
The hand instrument that is used to remove soft carious dentin is a (an):,elevator,spade,excavator,binangle,rasp,C,
Proper ergonomic position for an operative procedure on tooth #19 include:,operator sits with thighs parallel to the floor and forearms at a 45 degree angle to the chair,patient is in a complete supine position with head tilted back as far as is comfortable,operator sits at the 5 o'clock position (if right handed),the patient's head is at a 45 degree angle relative to the floor,none of the above,D,
What is the correct focal distance for improved posture of the operator?,8 - 10 inches,12 - 14 inches,18 - 24 inches,14 - 18 inches,the length of the operator's fore arm,D,
"When performing a Class I operative procedure on a mandibular tooth, the patient should be positioned so that with his/her mouth open the mandibular occlusal plane is:",almost 90 degrees to the floor,almost parallel to the floor,almost 45 degrees to the floor,almost 180 degrees to the floor,none of the above,B,
The cavosurface margin is defined as:,the junction of any two walls of the preparation,the internal margin closest to the axial wall of the preparation,the internal margin in closest to the carious lesion,the junction of the internal walls of the preparation with the external surface of the tooth,the junction of the internal walls of the preparation with the pulpal floor of the tooth,D,
The shape of the tooth preparation that insures that the remaining tooth structure is protected from fracturing during function is referred to as:,resistance form,retention form,convenience form,outline form,protection form,A,
The removal of unsupported enamel during the preparation of a tooth is part of:,resistance form,retention form,convenience form,outline form,none of the above,D,
Etching and bonding procedures are considered to be part of:,primary retention form,secondary retention and resistance form,primary convenience form,secondary convenience form,a and c,B,
"The aspect of the tooth preparation which provides accessibility for complete caries removal, adequate vision, instrumentation, placement and finishing of the restoration is referred to as:",resistance form,retention form,convenience form,outline form,none of the above,C,
The depth if the pulpal floor for an ideal classic Class I cavity preparation on a natural molar is ______ into dentin (beyond the DEJ).,2.0 mm,2.5 mm,0.5 mm,1.0 mm,1.5 mm,C,
The depth of the pulpal floor for an ideal classic Class I preparation of a typodont molar as measured from the lowest point on the cavosurface margin is:,3.0 mm,2.0 mm,1.0 mm,0.5 mm,1.5 mm,B,
Which of the following is (are) true for a classic Class I preparation for a mandibular first molar?,The mesial and distal walls are convergent.,The buccal and lingual walls are divergent,The pulpal floor is 2.0 mm deep from the cavosurface margin throughout the preparation,all of the above,none of the above,E,
The O/O preparation is indicated for a lower first premolar when:,there are carious lesions in both occlusal pits,the carious lesion does not undermine the transverse ridge,the mesial and distal walls of the preparation are convergent,a and b,all of the above,D,
