title,Practice Management II Exam 2 (Fall 2022),pmgmt2,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
What is a rule or order issued by an executive authority of a government used to interpret an existing law?,statute,by-law,regulation,violation,none of the answer choices,C,
"A law enacted by the legislative branch of a government (i.e., state legislature) is called a:",rule,regulation,statute,by-law,none of these answer choices,C,
The agency that is responsible for monitoring the disposal of Regulated Medical Waste generated in a Dental Office is?,Board of Dentistry,Department of Environmental Protection,OSHA,Office of the Attorney General,None of the answer choices,B,
The NPI number on a dental claim form is used to identify:,the services rendered,the date of the procedure,the provider of the service,None of these,All of these,C,
The chief law office of a state that holds the law-executing power to protect the citizen of that state is the:,Board of Dentistry,Chief Prosecutors' office,Office of the Attorney General,Department of Human Services,None of the answer choices,A,
The following State Agencies have an impact on the practice of Dentistry except:,Department of Labor,Department of Taxation,Workers Compensation and Disability,Department of Environmental Protection,None of the answer choices,E,
The agency responsible for taking disciplinary action against a dentist engaging in misconduct is.,Board of Dentistry,Department of Environmental Protection,OSHA,Office of the Attorney General,None of the answer choices,A,
A rule or order issued by an executive authority or regulatory agency of a government is called a?,Law,Order,Regulation,Statute,None of these,D,
Opportunities in Dentistry differ from Medicine in that,Medicine is consolidated,Most medical doctors will soon become W2 employees,A and B are correct,Neither A nor B are correct,,C,
Advantages of the solo dental practitioner are?,Able to provide personal customer service,Good skilled Dentist are hard to find to work in DSOs,Private practitioners could provide a better patient experience,All the above,None of these,D,
"According to the lecture, one of the most important factors in buying a practice is:",Equipment,Patients,Location,Age of the Practice,Age of the practicing Dentist,B,
Factors involved in the evaluation of a practice are.,Parking,Visibility,Curb appeal,All of these,,D,
The most important item to request to evaluate a practice is,Lease,Age of the Practice,Production report by ADA Codes,Reason the Dentist is selling,None of these,C,
"When purchasing a practice, a critical factor in maintaining the office in the same location is",Number of operatories,Assignment of the existing lease,Age of the building,Location of the building,Equipment in the office,B,
"According to the lecture, what percent of the population needs periodontal procedures?",25%,40%,50%,70%,None of these,D,
When evaluating a practice that has many patients and is taking very few x-rays may be an indication of,Patients with excellent home care,A practice mainly of adolescents,A well-run operation,An indication of a good opportunity for growth,None of these,D,
If a doctor is not taking full mouth radiographs is an indication that the dentist is underdiagnosing.,True,False,,,,A,
What document should be in sync with the Collection Report,Insurance report,Hygiene Recall Report,Tax return,Patient cancellation report,None of these,C,
The production report may differ from the collection report because you don’t always collect what you produce.,True,False,,,,A,
The general profit margin for a practice is what percent?,10%,20%,60%,75%,None of these,B,
"In a densely populated urban area, the rent cost should be approximately what percentage of the gross of the practice?",7%,15%,20%,25%,50%,A,
A tremendous advantage of purchasing an existing practice is the number of loyal patients.,True,False,,,,A,
What items of an office can be verified by a tax return?,The gross of the office,The collection of the office,Rent,Salaries,All the above,E,
The largest cost for the dental practice is?,Laboratory,Personnel,Rent,Equipment,None of these,B,
A pre-construction checklist involves all the following except,Equipment list,Contractor,Office Manual C. Office Design D. None of these,,,C,
