title,Pathomedicine Exam 4 (Fall 2021),patho,exam4
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which disease is characterized by the presence of a persistent productive cough for at least 3 consecutive months in at least 2 consecutive years?,Emphysema,COPD,Chronic Bronchitis,Asthma,,,C,
What are the potential sequelae of chronic bronchitis?,"Clubbing, splinter hemorrhages","Pulmonary hypertension, cor pulmonale","Pulmonary hypotension, bronchiolar wall fibrosis","Peripheral edema, telangiectasias",,,B,
Which disease is characterized by abnormal permanent enlargement of air spaces?,Emphysema,COPD,Chronic Bronchitis,Asthma,,,A,
Which subtype of emphysema occurs in patients with alpha-1-antitrypsin deficiency?,Centriacinar,Panacinar,Distal acinar,Irregular,,,B,
Which subtype of asthma is characterized by exacerbation with use of NSAIDs?,Atopic asthma,Occupational asthma,Drug induced asthma,Hyposensitivity asthma,,,C,
Which of the following is true regarding status asthmaticus?,Responds to therapy,May result in alkylosis,Lasts hours to days,May result in severe hypoxia,,,D,
Patients who have FEV1 greater than or equal to 80% of predicted value are classified as which type of asthmatics?,Intermittent,Mild persistent,Moderate persistent,Severe persistent,,,B,
Which lifestyle modification will NOT benefit an asthmatic?,Achieve a healthy BMI,Increase consistency of routine dental care,Elevated use of smoked tobacco products,Avoid pets,,,C,
When should a Beta-2-adrenergic agonist be administered? Choose the BEST response.,At the first sign of an asthma attack,Prior to a dental visit,"Prior to dental treatment, repeat every 20 minutes","Prior to dental treatment, at the first sign of an asthma attack, and every 20 minutes after the attack, as needed",,,D,
Which medical history response indicates a higher likelihood of an asthma attack?,>1.5 cannisters of beta-adrenergic agonist use,<1.5 cannisters of beta-adrenergic agonist use,Carries an epi pen,Uses an oxygen tank,,,A,
What is the primary site of gas exchange in the lungs?,Bronchi,Epiglottis,Bronchioles,Trachea,Alveoli,,E,
Which cells in the lungs produce surfactant?,Type 1 pneumocytes,Type 2 pneumocytes,Alveolar macrophages,Interstitial cells,A and B,,B,
What inflammatory cell is mostly responsibly for mediating damage to the alveoli in acute respiratory distress syndrome (ARDS)?,Plasma cell,Mast cell,Macrophage,Neutrophil,Eosinophil,,D,
All of the following may cause acute respiratory distress syndrome (ARDS) except:,Sepsis,Severe trauma,Chronic cigarette smoking,Gastric aspiration,Diffuse pulmonary infection,,C,
Neonatal respiratory distress syndrome (NRDS) is associated with which of the following?,Female gender,Male gender,Paternal diabetes,Premature birth,D and B,C and D,E,
NRDS is caused by a deficiency in:,Alveolar macrophages,Alveolar type 1 pneumocytes,Surfactant,Neutrophils,Plasma cells,,C,
Community acquired acute pneumonia is most commonly caused by,Streptococcus pneumoniae,Staphylococcus aureus,Streptococcus pyogenes,Histoplasmosis,Candida,,A,
What microscopic finding of biopsied tissue is most characteristic of tuberculosis?,Necrotizing (caseating) granulomas,Naked granulomas,Granulation tissue,Asteroid bodies,Hyperparakeratosis,,A,
Which of the following could represent oral manifestations of tuberculosis?,"Irregular, non-healing ulcer","Red and white, granular mucosal plaque","Blue, fluid-filled submucosal mass","White, finger-like mucosal projection",A and B,"A, B, D",E,
Which is true of the following statements: Statement 1: Tuberculosis is caused by a fungus. Statement 2: Approximately one third of the world's population is infected with tuberculosis.,Both statements are true,Both statements are false,Statement 1 is true; statement 2 is false,Statement 1 is false; statement 2 is true,,,D,
Which is true of the following statements: Statement 1: Most esophageal varices are as a result of alcoholism Statement 2: Rupture of esophageal varices is a medical emergency,Both statements are true,Both statements are false,Statement 1 is true; statement 2 is false,Statement 1 is false; statement 2 is true,,,A,
T or F: Barret's esophagitis confers an increased risk of esophageal squamous cell carcinoma.,True,False,,,,,B,
Which cell is the target of autoimmune gastritis?,Goblet cell,Squamous cell,Parietal cell,Surfactant cell,Lymphocyte,,C,
"Which of the following is impaired by antacids, which are commonly used in patients with peptic ulcer disease?",Fluoride,Erythromycin,Tetracycline,Oral iron,All of the options,,E,
Which of the following is true of patients with Crohn's disease?,Entire length of gastrointestinal system is always involved without interruption,Never observed in the oral cavity,Is not a risk factor for developing malignancies,Can impair the absorption of fats and vitamins,Bowel appears thin with flattening of the villi,,D,
Which is true of the following statements: Statement 1: Granulomas are the hallmark histopathologic finding in ulcerative colitis Statement 2: Ulcerative colitis frequently recurs after surgery,Both statements are true,Both statements are false,Statement 1 is true; statement 2 is false,Statement 1 is false; statement 2 is true,,,B,
Which of the following is the causative etiology for Hirchsprung disease?,Missing Meissner and Auerbach nerve plexuses,Food impaction secondary cystic fibrosis,Infection with Giardia lamblia,Granulomatous inflammation,,,A,
Infected choleliths (gall stones) appear what color?,Yellow,Green,Black,Brown,Gray,,D,
Which of the following is the most common cause of acute pancreatitis in the US?,Malignancy,Gallstones,Azathioprine use,SPINK-1 mutation,Alcoholism,,B,
Which of the following is a possible oral manifestation of Crohn's disease?,Linear ulcerations,Cobble stoning of the buccal vestibule,Enlargement of orofacial tissues,Aphthous ulcers,All of the options,,E,
