title,Periodontics I Final Exam (Fall 2019),perio1,final
question,option_a,option_b,option_c,option_d,correct,image
A new toothbrush removes 60% more plaque than a 3-month-old toothbrush.,True,False,,,B,
A patient has Gingivitis where the inflammatory infiltrate occupies from 5% to 10% of the connective tissue. This patient has which of the following Gingivitis lesions?,The Established Lesion,A lesion that appears within 7 days of plaque accumulation,The Early Lesion,None of the above,D,
A patient presents with benign gingival enlargement which is caused by moderate hyperplasia of the epithelium with hyperkeratosis. Enlargement begins with eruption of the primary teeth. The diagnosis for this patient is:,Hypophosphatasia,Hereditary Gingival Fibromatosis,Vincent Infection,Eruption Gingivitis,B,
According to Lindhe (1982) what is the average critical probing depth for loss of attachment when performing Modified Widman Surgery?,4.2mm,2.1mm,5.5mm,2.9mm,A,
According to Proye (1982) what is true regarding pocket depth following one visit of scaling and root planning?,Recession was not noticed until after three weeks,There was a gain in attachment after two weeks,The average attachment gain was 0.52mm,All of the above,C,
According to Ritz (1991) which method removed the greatest amount of root substance after 12 strokes?,Manual Curette,Sonic Scaler,Ultrasonic Scaler,Rotating diamond bur,D,
According to the Specific Plaque Hypothesis microscopic examination of plaque revealed that different bacterial morphotypes were found in healthy versus periodontally diseased sites.,True,False,,,A,
Electrosurgery devices have the highest potential for electromagnetic interference in a dental operatory.,True,False,,,A,
Factors that are used to determine a periodontal diagnosis is/are:,Rate of progression,Presence of certain signs and symptoms,Patient's age of onset,All of the above,D,
"Generalized Aggressive Periodontitis usually affects people under 30 years old, affecting at least two permanent teeth other than 1st molars and incisors.",True,False,,,B,
How does the Gingiva of the Adult differ histologically from that of a Child?,Gingiva of a Child has a thicker Junctional Epithelium than that of an Adult,The Oral Epithelium of the Adult is thicker than that of a child,The Gingiva of Child has a lower collagen fiber density,All of the above are true,A,
How many days does it usually take for the Early Lesion of Gingivitis to be detected?,Up to four days,From four to seven days,From seven to twenty-one days,None of the above,B,
Hypophosphatasia is characterized by:,Increased levels of serum alkaline phosphatase and decreased levels of urinary phosophoethanolamine,Decreased levels of serum alkaline phosphatase and increased levels of urinary phosphoethanolamine,Decreased levels of serum alkaline phosphatase and decreased levels of urinary phosphoethanolamine,Increased levels of serum alkaline phosphatase and increased levels of urinary phosphoethanolamine,B,
"Localized Aggressive Periodontitis is characterized by rapid and severe bone loss on at least two permanent teeth, one of which is a first molar, and involving no more that two teeth other than first molars and incisors.",True,False,,,A,
Magnetostrictive scalers may be safer than Piezoelectric scalers for patients with implanted cardiac devices.,True,False,,,B,
"Multiple tiny vesicles presenting on the perioral skin, vermillion border of the lips and the oral mucosa that rupture into large, painful ulcerated areas is a sign of:",Papillon-LeFevre Syndrome,Acute Necrotizing Ulcerative Gingivitis,Acute Primary Herpetic Gingivostomatitis,Candidiasis,C,
Phagocytosis of bacteria and their products is a role of Macrophages in the role of Gingivitis.,True,False,,,B,
Plaque Induced Gingivitis may occur on a periodontium with attachment loss which is stable and non-progressing.,True,False,,,A,
Plaque reorganizes on the teeth and subgingivally within 2 hours.,True,False,,,B,
The Continuous Paradigm theory of Periodontal Disease Progression is that localized sites show progressive loss of attachment over time while other sites show no loss. Sites vary with time and extent of destruction.,True,False,,,A,
What are features of the Established Lesion of Gingivitis?,There is decreased formation of rete pegs,There are low numbers of Plasma Cells in the connective tissue,There is increased destruction of collagen fibers,None of the above,C,
What are the benefits of Ultrasonic Scaling?,There is more tissue distension,There is more tactile sense,Water delivery clears the clinical field,None of the above,C,
What is the rationale for removing calculus?,Calculus allows plaque to be more easily removed,Calculus acts as a mechanical irritant against the sulcular lining,a. and b.,None of the above,B,
What is true regarding the cell wall of many Gram-negative bacteria?,There is a lipopolysaccharide that is cytotoxic to fibroblasts,The cell wall causes stimulation of bone deposition,It has endotoxin that is not heat stable,All of the above,A,
What is true regarding cementum?,Cementum is thickest near the CEJ,Width of coronal cementum is 500 microns,Cervical cementum is too thick to be removed,None of the above,D,
"When comparing the effects of Manual vs Sonic/Ultrasonic scalers, which of the following is/are true?",The degree of plaque removal is greater with Sonic/Ultrasonic scalers,The amount of pocket depth reduction is similar,Manual curettes give better access to Class II and III furcations,None of the above,B,
When probing depths are >6mm what percentage of the time are the roots clean after Scaling/Root Planing?,43%,32%,25%,90%,B,
Which of the following is/are true of Gingival Crevicular Fluid (GCF)?,It possesses antimicrobial properties,It improves adhesion of the epithelium to the tooth,It increases when there is inflammation,All of the above,D,
Which of the following is/are true regarding Aggressive Periodontitis?,The Generalized form shows a poor antibody response to the infecting agent,It is considered Severe when there is 3-4mm of attachment loss,It is prevalent in adults but may occur in children,All of the above are true,A,
Which of the following is/are true regarding Chronic Periodontitis?,Rate of progression is usually slow to moderate,Subgingival calculus is usually present,Amount of destruction is commensurate with home care and plaque levels,All of the above,D,
"Which of the following sonic and ultrasonic scaling units works at 18,000-45,000 cycles/second?",Sonic Scaler,Magnetostrictive Scaler,Piezoelectric Scaler,None of the above,B,
Which of the following scaling units has low heat production?,Sonic Scaler,Magnetostrictive Scaler,Piezoelectric Scaler,All of the above,A,
Which of the following criteria are used to re-evaluate the efficacy of Scaling and Root Planing?,Root smoothness,Soft-tissue response,Re-epithelialization,All of the above,D,
Which of the following are features of the Pocket Wall in Periodontal Disease?,Epithelium is highly infiltrated with PMN's and lymphocytes,There is decreased formation of rete pegs,There is a decrease in the amount of blood vessels,All of the above are features of the pocket wall,A,
Which Theory of Periodontal Disease Progression occurs when a patient has tissue destruction that occurs at a definite period of time and then goes into remission?,Asynchronous Multiple Burst,Continuous Paradigm,Random Burst,None of the above,A,
