title,Pathomedicine Exam 3 (Fall 2021),patho,exam3
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which organ monitors the blood oxygen level and can release erythropoietin?,Liver,Lungs,Bone Marrow,Kidney,Spleen,D,
Which of the following is most likely to include cleft lip and palate as a clinical feature?,Down Syndrome,Edward's Syndrome,Patau Syndrome,Klinefelter Syndrome,Turner Syndrome,C,
Which of the following accumulates in organs in Gaucher Disease?,GM2 gangliosides,Glucocerebroside,Sphingomyelin,Mucopolysaccharides,,B,
Which of the following is most likely to present with progressive deterioration over time?,Marfan Syndrome,Ehlers-Danlos Syndrome,Klinefelter Syndrome,Tay-Sachs Disease,Down Syndrome,D,
"Which of the following is characterized by a tall, thin stature, long limbs and digits, flexible joints, and an increased incidence of mitral valve prolapse?",Marfan Syndrome,Ehlers-Danlos Syndrome,Alkaptonuria,Cystic Fibrosis,Phenylketonuria,A,
Which of the following genes is the most common target for genetic alteration in tumors and found in nearly every type of cancer?,MYC,RAS,BRAF,TP53,BCL-2,D,
Which of the following conditions will present with an increase in red blood cells?,Diffuse Large B-Cell Lymphoma,Acute Lymphoblastic Leukemia,Chronic Myelogenous Leukemia,Mutliple Myeloma,Polycythemia vera,E,
Which of the following immune cells produce antibodies?,Neutrophils,B-Cells,T-Cells,Natural Killer Cells,Plasma cells,E,
Which of the following biopsy methods would be used to evaluate margins at the time of a cancer operation?,Incisional biopsy,Excisional biopsy,Fine Needle Aspirate,Frozen Section Biopsy,Flow Cytometry,D,
Which of the following is the most common tumor of the pelvis?,Breast duct carcinoma,Lobular carcinoma of the breast,Leiomyoma,Rhabdomyoma,Papillary thyroid carcinoma,C,
Which of the following brain tumors arises from the arachnoid matter?,Glioblastoma,Meningioma,Medulloblastoma,Ependymoma,Astrocytoma,B,
Which of the following is the most common cancer of the oral cavity?,Squamous Cell Carcinoma,Melanoma,Lymphoma,Multiple Myeloma,Basal Cell Carcinoma,A,
Which of the following is observed in Sjogren Syndrome?,Xerostomia,Xerophthalmia,Anti-SSA antibodies,Anti-La antibodies,All of the options can be observed in Sjogren Syndrome,E,
Which of the following syndromes is associated with opalescent teeth?,Osteogenesis Imperfecta,Fibrous Dysplasia,Behcets Syndrome,Lupus Erythematosus,McCune- Albright Syndrome,A,
Which of the following is a risk factor for gout?,Obesity,Heavy alcohol intake,Male gender,GLUT9 polymorphism,All are risk factors for gout,E,
Which malignancy would benefit from the use of flow cytometry?,Diffuse large b-cell lymphoma,Squamous cell carcinoma,Osteosarcoma,Hepatobiliary carcinoma,Colonic adenocarcinoma,A,
Which karyotype is associated with Klinefelter Syndrome?,45X,46XY,46XX,47XXY,47XYY,D,
Which is true of the following statements: Statement 1: Lung cancer is the most common cancer in women Statement 2: Breast cancer is the most common cause of cancer death in women,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is true of the following statements: Statement 1: Patients with sickle cell anemia receive penicillin prophylaxis for the first 5 years of life Statement 2: Dental treatment should be postponed in patients with hemoglobin less than 11 g/dL,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
Which is true of the following statements: Statement 1: A patient with an autoimmune disease is more likely to develop a second autoimmune disease Statement 2: A patient with an autoimmune disease is more likely to develop a lymphoma,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
"Which is true of the following statements: Statement 1: Reactive arthritis can involve conjunctivitis, urethritis, and arthritis Statement 2: Reactive arthritis occurs in all patients receiving head and neck radiation",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
"Which is true of the following statements: Statement 1: A decline in estrogen results in a decrease in IL-6, IL-1, and TNF which decreases RANK-RANKL activity Statement 2: Sufficient calcium during adolescence increases peak bone density",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Which is true of the following statements: Statement 1: Osteomyelitis and malignancy are easily distinguishable on radiographs Statement 2: Periosteal reaction is only seen in malignancy,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is true of the following statements: Statement 1: Functional neoplasms can be discovered by serology Statement 2: All functional neoplasms are benign,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
Which grade of neoplasm will look most like the tissue of origin?,G1,G2,G3,G4,,A,
What is the strongest risk factor for cytogenetic conditions affecting autosomes?,Tobacco use during pregnancy,Gestational diabetes,Lack of prenatal care,Increased maternal age,Increased paternal age,D,
What is the most important consequence and rationale for early diagnosis of temporal arteritis?,Patients may become blind,Patients may become deaf,Patients may become xerostomic,Patients may become anosmic,None of these options,A,
What is the most common primary malignant bone tumor?,Chondrosarcoma,Ewings sarcoma,Osteosarcoma,Chordoma,,C,
What is the correct term for “mole” or “beauty mark”?,Leiomeyoma,Dermatofibroma,Melanocytic/pigmented nevus,Acrochordon,Seborrheic keratosis,C,
What is the appropriate treatment for pernicious anemia?,Iron supplementation,Folate supplementation,Cyanocobalamin injection,Adding leafy green vegetables to the diet,Systemic corticosteroids,C,
Plummer-Vinson syndrome is associated with which of the following findings:,Sickle Cell Anemia,Increased risk of oral squamous cell carcinoma,Thalessemia,Lichen Planus,None of the options,B,
"Pemphigus vulgaris, which involves antibodies that attack the desmosomes of epithelial cells, is an example of which of the following hypersensitivities:",Type I,Type II,Type III,Type IV,Type V,B,
Neutrophils should comprise what percentage of white blood cells in “normal” patient blood values,0-7%,4-13%,14-46%,40-74%,45-63%,D,
"A nodule of the tongue that contains benign, dense, sclerotic bone is best described as:",Chondrosarcoma,Choristoma,Hamartoma,Osteosarcoma,,B,
A fracture of the bone that extends into overlying tissue is described as:,Compound fracture,Displaced fracture,Greenstick fracture,Incomplete fracture,,A,
