title,Pathomedicine Exam 2 (Fall 2023),patho,exam2
question,option_a,option_b,option_c,option_d,correct,image
Which of the following statements best differentiates between hyperemia and congestion?,Both hyperemia and congestion refer to a decreased blood flow to tissues,"Hyperemia is an active process resulting from increased arterial blood flow, while congestion is a passive process resulting from impaired venous outflow","Hyperemia is a pathological condition, while congestion is a physiological response to increased metabolic activity",Congestion and hyperemia both result from arterial dilation and increased blood flows,B,
How do hydrostatic pressure and colloid osmotic pressure influence fluid movement across the capillary wall?,"Hydrostatic pressure pushes fluid out of the capillary, while colloid osmotic pressure pulls (works to retain) fluid into the capillary",Hydrostatic pressure pulls fluid into the capillary while colloid osmotic pressure pushes fluid out of the capillary,Both hydrostatic pressure and colloid osmotic pressure push fluid out of the capillary,Both hydrostatic pressure and colloid osmotic pressure pull fluid into the capillary,A,
What is the primary stimulus for the release of renin from the juxtaglomerular cells of the kidney?,Elevated plasma sodium concentration,Elevated blood pressure,Decreased blood pressure,Elevated plasma potassium concentration,C,
"All of the following are direct effects of angiotensin II, EXCEPT one. Which one is the EXCEPTION?",Contraction of vascular smooth muscle,Release of aldosterone by the adrenal glands,Increased sodium resorption by the renal tubules,Release of insulin from the pancreas,D,
Which of the following terms refers to the largest size of hemorrhage?,Ecchymoses,Petechiae,Purpura,,A,
What is the primary role of thrombin in hemostasis?,Causes vasoconstriction at site of injury,Cleaves fibrinogen forming fibrin for clot formation,"Facilitates platelet adherence, activation, and aggregation",Prevents clot formation outside of injury,B,
Which statements correctly describe the effects of specific chemical mediators on platelet activity?,Prostacyclin (PGI2) and nitric oxide act as vasoconstrictors and promote the adhesion of activated platelets,"Adenosine diphosphatase degrades ADP, promoting platelet aggregation",Prostacyclin (PGI2) and nitric oxide act as vasodilators and inhibit platelet aggregation,"Adenosine diphosphatase increases ADP levels, promoting platelet aggregation",C,
Which of the following statements correctly describes the role of von Willebrand factor in hemostasis?,Functions as an anticoagulant by inhibiting clot formation,"Facilitates the degradation of fibrin, leading to clot dissolution",Promotes the conversion of prothrombin to thrombin in the clotting cascade,Mediates the adhesion of platelets to the subendothelial matrix at sites of vascular injury,D,
What glycoprotein on the platelet membrane binds von Willebrand factor?,Glycoprotein Ib (GPIb),Glycoprotein IIb/IIIa (GPIIb/IIIa),Glycoprotein VI (GPVI),Glycoprotein IX (GPIX),A,
Coumadin (Warfarin) antagonizes which of the following?,Vitamin K,Heparin,Fibrinogen,Platelet activating factor (PAF),A,
Which of the following is an example of non-traumatic endothelial injury?,Hypertension,Turbulent blood flow,Toxins from tobacco smoke,All of the above,D,
Which of the following is a primary (genetic) cause of a hypercoagulable state?,Heparin-induced thrombocytopenic syndrome,Antiphospholipid antibody syndrome,Factor V Leiden mutation,Disseminated intravascular coagulation,C,
Which of the following describes a mycotic aneurysm?,Arises due to a congenital defect in the tunica media of the vessel wall,Caused by the proliferation of fungal organisms within the vessel wall,Caused by the proliferation of bacterial organisms within the vessel wall,Predominantly occurs due to atherosclerotic plaque rupture,C,
What is the origin of 95% of pulmonary emboli?,Superficial venous thrombosis,Deep venous thrombosis,Arterial thrombosis,Cardiac thrombosis,B,
What is the leading cause of maternal death in developed countries?,Myocardial infarction,Hemorrhage,Amniotic fluid embolism,Cerebrovascular accident,C,
Which of the following can cause infarction?,Arterial thrombosis,Arterial embolism,Compression of a vessel by a tumor,All of the above,D,
How long can myocardial cells endure without oxygen before irreversible damage occurs?,Less than 5 minutes,20-30 minutes,45-60 minutes,2-3 hours,B,
Which of the following has the best prognosis when promptly and adequately treated?,Hypovolemic shock,Septic shock,Cardiogenic shock,Neurogenic shock,A,
Which of the following describes the mechanism of septic shock?,Myocardial pump failure,Blood or plasma volume loss,Arterial vasodilation and venous pooling,Systemic vasodilation and increased vascular permeability,C,
Which of the following statements correctly differentiates primary from secondary hemostasis?,"Primary hemostasis involves platelet aggregation, while secondary hemostasis focuses on the activation and aggregation of white blood cells","Primary hemostasis pertains to the clotting cascade involving various clotting factors, while secondary hemostasis involves the formation of the fibrin clot","Primary hemostasis involves the formation of a platelet plug, while secondary hemostasis involves the clotting cascade leading to formation of a fibrin meshwork","Primary hemostasis is responsible for degradation and removal of clots, while secondary hemostasis is responsible for clot initiation",C,
