title,PCOD I Final Exam (Fall 2022),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
How do you know that you have properly condensed your amalgam?,The surface looks dull,The surface looks shiny,There is no more amalgam in the amalgam well,It feels warm,,B,
The most common restorative dental material over the last 100 years has been,Amalgam,Composite,Glass Ionomer,Luminescence,,A,
Which statement is true?,It takes about an hour for the amalgam to fully set,The gamma two phase needs to remain inside the amalgam for an amalgam restoration to be successful,You want to overfill your amalgam restoration so that you can condense properly and get rid of excess mercury,Amalgam sets slowly and you can take your time working with it,,C,
What goes in the amalgam scrap container?,The amalgam,Pestle,Pillow,Capsule,All of the above,E,
"Why is it when carving an amalgam, you keep half the instrument on the tooth and half on the amalgam",It helps seal the margins,It helps contour the anatomy,It removes the gamma 2 layer,A and B,,D,
"Amalgam should have a paste like consistency, if it becomes brittle you should take a new one. WHY? Choose all that apply.","Practically, it wont adhere well to the prior amalgam","Chemically, it will have excess mercury trapped",You now need to start from the beginning,You can get a new one and add to the previously placed amalgam,,D,
"Whenever tooth structure is cut with a bur, residual organic and inorganic components form the",Chutzpah layer,Rubbish layer,Hybrid layer,Smear layer,,D,
The major constituent in composite is:,GIC and silicate,BIS-GMA and UDMA,Zinc Oxide,Glycol and Glycidine,,B,
All of the following are true for light cure composite except:,Use of orange glass shield for eye protection,Held at distance of 1mm from tooth,Curing cycle of 40-60 seconds,Adding increments of 1-2mm,,C,
Increased size of filler particle composite,Decrease viscosity,Increases exposure time,Decreases surface roughness,Increases strength,,D,
Final finishing of composite resin is usually done,24 hours after restoration is placed,After 1 week of placement,At the same time when restoration is placed,48 hours after restoration placement,,C,
"Interdental papilla protruding from the rubber dam, most common cause is:",Punch too far apart,Punch are placed too close,Inflammation of interdental papillae,Use of light weight rubber dam,,B,
"On a carbide bur, a great number cutting blades results in:",Less efficient cutting and smoother surface,Less efficient cutting and a rougher surface,More efficient cutting a smoother surface,More efficient cutting and a rougher surface,,A,
Acid Etching of enamel margins,Provides chemical retention,Provides mechanical retention,Is used as resistance form,IS used for pulp protection,,B,
"Self-etching primers,",Only bonds to enamel,Only removes the smear layer,Simultaneously etch and prime dentin and enamel,Etches enamel only,,C,
Microleakage would be seen more in restorations done with,Composite,Direct gold fillings,Amalgam,All of the above,,A,
"Peak Universal that we use here at TCDM, contains",Only hydrophobic component,Only hydrophilic component,Hydrophilic and hydrophobic components,Lyophilic and lyophobic components,,C,
The function of the coupling agent in a restorative resin is to allow,Adhesion of resin particles,Bonding between filler crystals,Bonding between filler and resin,Bonding between tooth and resin,,C,
The chemical used to etch enamel is,Zinc oxide,Methyl methacrylate,Phosphoric acid,Eugenol,,C,
Bonding of composite resins to a tooth structure is by,Covalent bonds,Ionic bonds,Mechanical bonds,Vander waal forces,,C,
The coupling agent used in composite resin,Colloidal silica,Urethane dimethacrylate,Diketones,Silanes,,D,
Which is NOT true of a Class III ideal preparation?,The cavosurface margin should always be beveled,It should be within the marginal ridge,It should be 2-3mm in length,Slightly beyond the midline of the tooth when viewed from the proximal,,A,
"When preparing a Class V amalgam restoration, where do you bevel?",Incisal,Gingival,Any surface that is on enamel,None of the above,,D,
"When preparing #19 for a Class V amalgam, you decide to place retention grooves. Where are you going to place retention grooves? Select all that apply.",Axio-ginigval line angle,Axio-incisal line angle,Axio-mesial line angle,Axio-disto line angle,All of the above,B,
A patient came in with class V lesion on multiple teeth. The patient is 24 year old dental student getting ready to take his boards. He reports high levels of stress and complaints from his partner that he is grinding his teeth. The MOST LIKELY reason that the patient needs restorations is,Erosion,Abrasion,Abfraction,Neglect,,C,
After doing a clinical exam you tell Ms. Johnson she needs some Class V lesions repaired. Ms. Johnson is concerned that you do not know what you are talking about since she does not have any pain. What may you reply to your patient?,"Explain to her that her smile is not pretty. Since you have a trained eye, you know what looks good and she certainly does not.",Explain to her that since she has an indent by her gums food may get trapped there and cause gum swelling and future decay.,Explain to her that it is okay not to get it done now and if it bothers her in the future she can get it done then,Explain to her that since she is young her pulp is so small that it will never hurt her and you can restore without anesthesia,,B,
