title,Ethics Final Exam (Summer 2022),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
The ethical dentist strives to do that which is right and good.,TRUE.,FALSE.,,,,,,A,
Which of the following actions a dentist can take are consistent with the principle of beneficence?,Performing community service.,Making the results and benefits of their investigative efforts available to all when they are useful in safeguarding or promoting the health of the public.,"Becoming familiar with signs of abuse and neglect and reporting suspected cases to the proper authorities, consistent with state laws.",Providing a workplace environment that supports respectful and collaborative relationships for all those involved in oral health care.,All of these actions are consistent with the principle of beneficence.,,,E,
Which of the five ethical principles discussed in the ADA's Principles of Ethics and Code of Professional Conduct is considered the most important?,Autonomy.,Beneficence.,Non-maleficence.,Jersey.,Veracity.,All of these principles are equally important.,,F,
We discussed a case in which a dentist's partner was practicing while abusing opioids. Consider the following two statements: I. Dentists with first-hand knowledge that a colleague is practicing dentistry when so impaired have an ethical responsibility to report such evidence to the professional assistance committee of a dental society. II. The impaired dentist is not obligated to disclose his impairment to patients but is obligated to effect change that will avoid placing patients at risk.,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,A,
"We discussed a case in which a recently graduated employee dentist had his treatment plans changed by the office manager spouse of the dentist who owned the practice. Consider the following two statements: I. The patient should be involved in a discussion regarding the risks and benefits of each treatment and then decide on the treatment so that the ethical principle of veracity is upheld. II. If the employee feels that the owner dentist is prescribing unnecessary treatment, he may be obligated to report the owner dentist to the local dental society or the state dental board.",I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,D,
"Which of the following statements is FALSE? I. Under the principle of patient autonomy, a dentist is obligated to allow a patient to make their own decisions about their healthcare. II. Under the principle of patient autonomy, a dentist is obligated to protect a patient's confidentiality and provide patients with their healthcare records if the patient desires those records.",I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,A,
Consider the following two statements: I. Beneficence means that a dentist has a duty to promote the patient's welfare. II. Non-maleficence has the same definition.,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,C,
"We discussed a case in which a student failed a course and narrowly missed the minimum grade she needed in order to remediate. She would have made the cutoff if she had done an extra credit assignment that was available for all the students. She asked the professor to let her do the extra credit and then be given the opportunity to remediate. If the professor let her do the extra credit but did not give other students the same opportunity, this would violate the ethical principle of:",Autonomy.,Beneficence.,Non-maleficence.,Justice.,Veracity.,,,D,
"We discussed a case in which two college students did not prepare for an examination. One student made a cheat sheet for the exam and the other used Adderall to help with their last-minute cramming. Consider the following two statements: I. If a TCDM student used a cheat sheet, this would be considered a violation of the Honor Code. II. If a TCDM student illegally obtained Adderall and used it to study, this would be considered a violation of the Honor Code, even though the student answered all examination questions with the information they had learned.",I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,A,
We discussed a case in which a dentist declined to provide services at an indigent care clinic and was told that they were not living up to their ethical responsibilities as a member of organized dentistry. Consider the following two statements: I. Dentists are obligated to provide free care to comply with the principle of beneficence. II. Dentists should promote access to care to uphold the principle of justice.,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,D,
We discussed a case in which a physician was obligated to inform the state that a patient had not stopped smoking. The patient would then be penalized by losing some of his state medical benefits. Consider the following two statements: I. A conflict exists for the physician between respecting the law and regarding their responsibility to the patient as paramount. II. Penalizing the patient is justified as they were clearly non-compliant in attempting to stop smoking.,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,C,
We discussed a case in which a patient wanted their dentist to perform substandard care. Consider the following two statements: I. It is ethical for the dentist to do this if the patient gives the dentist oral permission. II. It is ethical for the dentist to do this if the patient gives the dentist written permission.,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,B,
"We discussed a case in which a patient did not want his dentist to let his new dentist know about his medical situation. Consider the following two statements: I. If the dentist respects the patient's desires, this is consistent with the ethical principle of Patient Autonomy. II. If the dentist goes against the patient's desires, this is consistent with the ethical principle of non-maleficence.",I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,A,
Which of the following statements describes the Weathering Hypothesis?,African-Americans experience early health deterioration as a consequence of the cumulative impact of repeated experience with social or economic adversity and political marginalization.,African-Americans experience early health deterioration as a consequence of being affected more severely by weather because of poorer living conditions.,,,,,,A,
An example of a structural inequality in the United States is:,Residential Segregation/Housing Shelter,Income Inequality,Education,Food Insecurity,None of these are examples of structural inequality in the United States.,All of these are examples of structural inequality in the United States.,,F,
Which of the following is NOT a measure of Health Inequity?,Incidence/Prevalence of disease,Universal healthcare,Disability adjusted life years,Premature/Excessive Mortality,Quality of Life,,,B,
Which of the following statements is FALSE?,The focus of clinical ethics under normal circumstances is patient-centered duty of care.,The focus of public health ethics is to promote equality of persons and equity in the distribution of risks and benefits in society.,"Under emergency conditions, a shift must occur from patient-centered practice to patient care guided by public health considerations.",There is no difference between clinical ethics and public health ethics.,,,,D,
