title,DAO Quiz 3 (Summer 2018),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
Which of the following Universal:FDI pairs represents proper nomenclature?,15:47,24:31,31:24,9:11,B,
The incisal edge of the mandibular central incisor is _______________ to the long axis of the tooth,Lingual,Facial,Mesial,Distal,A,
"The cingulum of the MAXILLARY central incisor is different than the MANDIBULAR central incisor, since the cingulum on the maxillary is ____________ and the cingulum on the mandibular is___________.","Offset to the distal, centered","Centered, offset to the mesial","Offset to the mesial, offset to the distal","Centered, offset to the distal",A,
The way to tell the difference between tooth #24 and #25 is that:,The mesial view has a deep developmental depression,The cingulum is offset to the mesial,The mesial incisal edge is 90º and the distal incisal edge is rounded,Can not tell the difference out of the head since the tooth is bilaterally symmetric,D,
Which of the following teeth only contacts one tooth on the opposing arch?,Maxillary central incisor,Mandibular central incisor,Maxillary first premolar,Mandibular canine,B,
The defining feature of the mandibular lateral incisor is its:,Tapered distal root,Mesiolingual twist,Distolingual twist,Mesiodistal width is larger than its faciolingual width,C,
Calcification of the maxillary lateral incisor begins at:,3-4 months,10-12 months,10-12 years,"525,600 minutes",B,
What is the term used to describe a gap between teeth?,Diastema,Distolingual twist,Hyperdontia,The Michael Strahan Effect,A,
The _____________ is a depression or “valley” in the temporal bone in which the head of the mandibular condyle sits (articulates..,Articular eminence,Mandibular fossa,Maxilla,Patella,B,
Which of the following is a tooth defined position?,Centric Relation Contact,Maximum Intercuspation,All of the above,None of the above,B,
The incisal view of which tooth forms a triangle?,Maxillary central,Maxillary lateral,Mandibular central,Mandibular lateral,A,
