title,PCOD I Midterm Exam (Fall 2021),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
"When performing restorative dentistry, it is important to restore a patient’s tooth (or teeth) to normal function, health and esthetics",In the case of disease,In the case of trauma,In the case of abnormal development,All of the above,None of the above,D,
Direct restorations are restorations that,Utilize a lab for the restoration,Can be done chair side,Are always indicated,Always include amalgam,,B,
"In the case of disease, operative dentistry is only indicated when a lesion is",E1,E2,D2,D1,,D,
"Before preparing a tooth, a provider may visualize the extent of the occlusal caries. The provider is most likely visualizing his",Outline form,Retention form,Resistance form,Convenience form,,A,
"After doing a satisfactory Class I amalgam restoration on Mrs. Smith, she came back 6 months later with a retentive restoration but with an open margin on the buccal surface. Why may that be?",The buccal and lingual walls were too convergent,The buccal and lingual walls were parallel,The buccal and lingual walls were divergent,The open margins had nothing to do with the buccal or lingual walls,,A,
"When referring to decay located in the gingival 1/3 of the buccal and lingual surfaces of teeth, a dentist may refer to it as a",Class III,Class IV,Class V,Class VI,,C,
Class I caries would be classified as:,Pit and fissure caries,Smooth surface caries,Root surface caries,None of the above,,A,
Smooth surface caries are most likely to occur,At the contact point,Just cervical to the contact point,Just occlusal to the contact point,B and C are correct depending if it is a maxillary or mandibular tooth.,,B,
"In terms of the progression of decay, pit and fissure decay will start in the pit and will",Move parallel toward the pulp of the tooth,Converge steadily toward the DEJ,Move laterally toward the DEJ,Form a pattern based on the size of the decay,,C,
True/False: Dentin is more mineralized than enamel and therefore the caries process moves more rapidly in enamel,True,False,,,,B,
In order for dental caries to form you need all the following except:,A host,Bacteria,Substrate,Time,None of the above,E,
The bacteria responsible for the majority of tooth decay is:,Lactobacillus carious,Strep. dentinosis,Strep. Mutans,Lactobacillus arius,,C,
Which biproduct would cause the tooth structure to weaken and ultimately lead to decay?,Malic acid,Lactic acid,Pyruvic acid,Citric acid,,B,
The critical pH below which teeth demineralize is,7.5,6.5,5.5,4.5,,C,
Someone who has dry mouth and therefore lacks saliva may be:,More prone to caries,Less prone to caries,Saliva has no impact of this,,,A,
Fluoride is important because,It strengthens teeth,Helps remineralize teeth,Increases a tooth’s resistance to acid attack,All of the above,,D,
True/False: Rubberdam is the only method of isolation,True,False,,,,B,
Which is not a benefit of isolation,Decrease operating time,Control of moisture in the operating field,Better patient protection,Access and visibility,None of the above,E,
"When stamping and punching your rubber dam, you realize you punched the wrong quadrant. You are so annoyed since now you must start again.","This is correct, you must start again","This is incorrect, there is no reason to start again",,,,B,
The appropriate location to place a rubber dam clamp is:,On the tooth you are working on,One tooth posterior to the one you are working on,One tooth anterior to the one you are working on,The placement of the clamp does not matter as long as the rubberdam is secure,,B,
"When placing a rubberdam in clinic, it is important to clamp both sides of the arch.","True, this saves valuable clinical time","True, that way you can prepare teeth on both sides of the arch","True, clamping both sides of the arch gives extra security to the rubberdam","False, you only clamp one quadrant at a time","A, B and C are correct",D,
When looking at a Class II preparation which of the following floors or walls are considered internal walls?,Axial,Gingival,Pulpal,B and C,A and C,E,
The floor of a preparation must be smooth in order to maintain,Outline form,Resistance form,Retention form,Convenience form,,B,
"When creating an ideal preparation, you may have different depth measurements in different areas of the tooth.","False, the tooth must be 2.0mm deep throughout the preparation.","True, some areas may be different depending on the cusp heights","True, the tooth must be 2.5mm throughout the preparation","False, a successful prep has nothing to do with depth",,B,
"Ideally, The mesial and distal walls of a Class I amalgam preparation must be:",Divergent,Convergent,Parallel,Any of the above,,A,
Mary restored a Class I amalgam preparation last week in PCOD lab. The following week when Mary came into lab her amalgam carrier was not working. What do you think the problem was?,The D2 broke it,The carrier is old and needs to be replaced.,She forgot to empty the carrier and now amalgam is set in the opening,The mercury vapor corroded her carrier,,C,
Mercury is used in amalgam restorations because,Silver/Mercury was seen as esthetic to The Guild of Barbers,Mercury was the only element that can properly bind to teeth,Mercury is the only element that is liquid at room temperature,Mercury is the only element that would be retentive in a preparation,,C,
Condensing amalgam is important because,Condensing amalgam will reduce the excess mercury,Condensing the amalgam will make sure the restoration is packed accurately,Condensing the amalgam will allow us to see how much more restorative material we need to add.,All of the above,,D,
David took his amalgam out of the amalgamator and found that his amalgam was dry and crumbly. What is the most likely reason this happened?,David overmixed his amalgam,David undermixed his amalgam,David used old amalgam,David has bad luck,,B,
"True/ False: When disposing of your amalgam waste, only the actual amalgam scraps have to go into the amalgam waste container. The pestle and capsule can go into the garbage.",True,False,,,,B,
When using a high speed handpiece your speed is multiplied by:,Two,Five,Ten,Fifteen,One Hundred,B,
"When doing a Class II amalgam preparation, it is important to break buccal and lingual contact in order to:",Remove all the decay,Be able to clean up all cavosurface margins- preventing any flash,Easily slide in your matrix band,Have rounded line angles,,B,
"When preparing a Class II amalgam preparation, it is important not to leave unsupported enamel (lobster claws) because:",This can cause open margins later on,This is weakened tooth structure that can fracture off,It is unesthetic for the patient,A and B,B and C,D,
When setting up the tofflemire matrix system the most important item in your armamentarium to prevent overhang (specifically overhang) is:,Your matrix band,Your matrix band retainer,Your wedge,Your ability to carve your amalgam properly,,C,
"You are preparing your tofflemire band for use, and you have folded your tofflemire band in half. When looking at your tofflemire the wider side will go toward:",The gingival,The occlusal,The mesial,The distal,,B,
The large knob on the matrix band retainer is used to:,Lock the matrix band in place,Adjust the circumference of the tofflemire matrix band,To tighten the tofflemire matrix band,More than one answer is correct,,D,
"When placing the tofflemire matrix system in the patient’s mouth, Jenny cannot get it to seat all the way down. What did Jenny most likely do wrong?",The tofflemire system is sitting on the buccal aspect of the tooth,The tofflemire matrix system is sitting on the lingual aspect of the tooth,The tofflemire matrix system is old and outdated and does not work any more,Jenny is just a new student who is tired and needs to practice a little more to get it to seat,,B,
"When placing a wedge into a patient’s mouth, the proper way to place it in is:","From the buccal aspect, with the apex of the wedge toward the gingiva","From the buccal aspect, with the apex of the wedge toward the occlusal","From the lingual aspect, with the apex of the wedge toward the gingiva","From the lingual aspect, with the apex of the wedge toward the occlusal",,D,
What instrument is best for securing a wedge in place,The back of a mirror,The back of an explorer,The back of a periodontal probe,The back of a college pliers,,D,
The most important thing to do in order to prevent an open contact in a restoration is:,Burnish your band against the adjacent tooth,Tighten your band,Wedge your band,Use a curved band,,A,
"When you are restoring a Class II on #19, it is important that the tofflemire goes on",#19,#20,#18,Does not matter as long as the band is there,,A,
"Jasmine just completed her Class II amalgam restoration. However, when evaluating her work, she realizes that she had broken off her marginal ridge. What is the most likely cause of this?",Jasmine forgot to carve one,Jasmine was not careful in removing her matrix band,Jasmine did not wait for the amalgam to fully set,The marginal ridge is not necessary as long as all margins are sealed,,B,
"When concerned about keeping a restoration in place, we are really MOST concerned with:",Access form,Retention form,Outline form,Convenience form,,B,
The isthmus of a preparation should be wide enough to accommodate,The smallest end of the smallest plugger,The smallest end of the larger plugger,The larger end of the smallest plugger,The larger end of the largest plugger,,A,
"After completing your preparation, you decide to restore with amalgam. You place the prepared amalgam into something called a",Amalgam well,Amalgam capsule,Amalgam bowl,Amalgam amalgamator,,A,
The cavosurface margin is defined as:,the junction of the internal walls of the preparation with the external surface of the tooth,the junction of any two walls of the preparation,the margin closest to the pulpal floor of the preparation,the margin in closest proximity to the pulp,none of the above,A,
Which phase of the amalgam reaction is prone to corrosion in clinical restorations?,Gamma,Gamma-one,Gamma-two,Gamma-three,,C,
You are sitting in simlab and your handpiece is not working. What may you want to check before coming over to Dr. Erdfarb or Leody?,That there is nothing in the handpiece cradle,That your unit is turned on,That there is a bur in your handpiece,A and B,,D,
You have placed new teeth into your typodont. For some reason the teeth seem more occlusal than all the other teeth. What may be the cause?,The teeth are not in the appropriate numbered hole,The teeth were placed in the wrong arch,The teeth were placed in the typodont backwards,All of the above are viable possibilities,,D,
When restoring a Class II with amalgam it is important to:,Restore the proximal box up until the level of the pulpal floor and then restore the rest of the tooth all together,"Restore the pulpal floor first, since you should always restore the Class I portion first",It does not matter the order in which you restore as long as you compress your amalgam,"It does not matter the order in which you restore, as long as you make sure to overbuild your amalgam",,A,
