title,Periodontics I Midterm Exam (Fall 2021),perio1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is/are characteristic of healthy gingiva?,There is an absence of Junctional Epithelium rete pegs,The depth of the gingival sulcus is less than 3mm,There is an increase in gingival crevicular fluid flow rate,There are large numbers of PMNs in the Junctional Epithelium,,B,
What is true regarding Oral Sulcular Epithelium?,There is no cornification,It has no permeability barrier function,It is poorly stratified,All of the above,,D,
What is not a clinical sign of gingivitis?,exudate,swelling,bleeding,redness,tooth mobility,E,
A Periodontal pocket with attachment loss coronal to the alveolar crest is known as a/an:,Gingival pocket,Infrabony pocket,Suprabony pocket,Pseudopocket,,C,
Which is not true regarding Supragingival Calculus?,It acquires stain from gingival fluid,It absorbs pigments and tobacco stains,It is located coronal to the gingival margin,It is commonly associated with teeth that are adjacent to major salivary gland ducts,,A,
What is true regarding tooth mobility?,If a tooth has mobility that is just perceptible it is classified as Miller’s Class 1,It can be caused by hormonal changes,It can be due to a periapical abscess,All of the above,,D,
What is true about the mucogingival junction?,It separates alveolar mucosa from attached gingiva,It separates lining mucosa from masticatory mucosa,It does not remain stable throughout life in relation to the lower border of the mandible,all of the above,,A,
The Gingival Index (GI – Loe and Silness 1963) defined as “slight change in color without       bleeding on probing” has a score of?,0,1,2,3,,B,
What is true regarding Pathologic Tooth Migration?,It always occurs when there is periodontal disease,It is always an early sign of periodontal disease,It usually affects anterior teeth,It may occur due to oral habits alone,,C,
The mature tooth precementoblasts are derived from:,The Epithelial Restz of Mallassez,Stem cells in the PDL and/or bone marrow,Bone marrow only,Osteoblasts,,B,
What is true about Oral Gingival Epithelium?,it is poorly stratified,it has a permeability barrier,it is not cornified,has decreased specialization for attachment,,B,
The incidence of a disease is the number of people in the population with that disease.,True,False,,,,B,
Which of the following is true regarding denudation of alveolar bone?,A Fenestration defect includes marginal bone loss,A thick facial cortical plate is a cause of denudation of alveolar bone,A Dehiscence defect includes marginal bone loss,Prominent root contour is unrelated to denudation of alveolar bone,,C,
The cortical plate of mandibular bone is?,Thinnest along the anterior labial surface,Thinnest along the lingual surface,Thinnest along the posterior buccal surface,Always of uniform thickness,,A,
Which of the following is first to form on a recently polished tooth?,Bacterial Plaque,Food Debris,Materia Alba,Acquired Pellicle,,D,
The mucogingival junction is:,Present facially and palatally in the maxillary arch,Absent facially but present palatally in the maxillary arch,Present facially but absent lingually in the mandible,Absent facially and palatally in the maxillary arch,Present facially and but absent palatally in the maxillary arch,E,
Which of the following is true regarding the texture of the gingiva?,Stippling is always present,In health marginal gingiva may be stippled,Stippling is produced by protuberances and depressions in the gingiva,Does not vary with age,,C,
Which of the following is/are characteristic(s) of biofilms?,They do not have a circulatory system,They have no metabolic cooperativity,They protect bacteria from antimicrobial agents or phagocytosis,All of the above are characteristics of biofilms,,C,
Which of the following is a biologic risk factor for periodontitis?,Smoking cigarettes,Genetics,Stress,Oral Hygiene,All of the above are biologic risk factors,B,
Which of the following statements about gingival CT is not true?,It is derived from neural crest ectomesenchyme,"It contains well organized, functionally oriented collagen bundles","It contains Types I, III, IV, V, VI, and VII collagen",It has a high rate of turnover,,A,
Which of the following statements is characteristic of the Periodontal Ligament?,There are three groups of principal fibers,There is a decrease in width with increasing age,Has an average width of 2.0mm,Is narrower at the crest of bone,,B,
What is false regarding Epidemiologic Indices?,They overestimate the true clinical condition,They are used for statistical analysis,They need to define clinical conditions objectively,They must be reproducible,,A,
Which of the following are contents of a periodontal pocket?,GCF,Desquamated epithelial cells,PMN’s,a and c,All of the above,E,
What is true regarding Junctional Epithelium?,it develops from the enamel organ,attaches to tooth surface via hemi-desmosomes and internal basal lamina,it is a permeability barrier,it is a pathway for transmigration of PMN’s to sulcus,All of the above,E,
Which is a characteristic of the interdental “col”?,It exists only in health,The shape is function of the contact point,Composed of alveolar bone only,It exists when a diastema is present,,B,
Which of the following is not a Pathway of Inflammation in the Periodontium?,Gingiva to PDL,Gingiva to Bone,PDL to Bone,Bone to PDL,,C,
In what way does deepening of the gingival sulcus occur?,Apical migration of the epithelial and connective tissue attachment,Recession of the gingival margin,Combination of a. and b.,None of the above,,A,
Can horizontal bone loss result in an Infrabony Pocket?,True,False,,,,B,
What is true regarding Purulent Exudate?,Exudate is seen in shallow and deep pockets,Exudate is an indication of severity of loss of attachment,All patient’s with severe periodontitis present with exudate,All of the above are true,,A,
Periodontal disease follows a linear progression over time.,True,False,,,,B,
Which of the principle fibers of the PDL run at right angles to the long axis of the tooth and are roughly parallel to the occlusal plain?,Apical Fibers,Oblique Fibers,Horizontal Fibers,Alveolar Crest Fibers,,C,
Altered Passive Eruption is when epithelial attachment is on enamel and results in a short clinical crown.,True,False,,,,A,
Periodontal Disease presents when periods of activity alternate with periods of remission.,True,False,,,,A,
Two primary processes involved in the formation of dental plaque are:,Aggregation and matrix formation,Adherence and Growth,Aggregation and environmental factors,Interbacterial and host nutritional intake,Pellicle formation and environmental forces,B,
Which of the following are host cells in Dental Plaque?,Leukocytes,Epithelial Cells,Macrophages,All of the above,,D,
