title,Intro to Implants Exam 2 (Spring 2018),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
A one stage implant placement implies?,a cover screw is placed at the time of surgery,The implant has access to the oral cavity thru a healing abutment or a temporary prosthesis,has a regenerative procedure placed simultaneously,none of the above,,B,
A two stage implant placement is often used when,soft tissue grafting is required,hard tissue grafting is required,esthetic concerns are importance,the patient has a removable prosthesis,all of the above,E,
Guided surgery has certain drawbacks. They include:,need to graft hard or soft tissue,operative tactile feel,need to place consecutive implants,A &B,,D,
guided surgery has the advantage of use for:,proximity to anatomical structures,operator experience,placement of consecutive implants,all of the above,,D,
Non-guided surgery can lead to:,malposed implants,ideal implant placement,implants placed too shallow,implant placed to deep,A &C &D,E,
Drill stops prevent:,overheating the bone,drilling to shallow,drilling too deep,incorrect angulations,,C,
"If during implant placement the implant is touched or dropped, the implant should be",continued to be used,abort the surgery,replace with a new implant body,,,C,
depth gauges are used radiographicaly to measure,implant width,osteotomy depth,parallelism of implants,B &C,,D,
Flapless surgery can be considered if:,done with a surgical guide,there is enough keratinized gingiva,bone grafting is needed,A &B,,D,
Drill sequence:,is used to avoid over drilling the site,is used to correct angulation of the osteotomy,is used to avoid temperature threshold,is used when using a flap design,,C,
The critical temperature threshold when bone necrosis will occur is,58 degrees C/ 136.4 degrees F,59 degrees C/ 138.2 degrees F,56 degrees C/ 132.8 degrees F,60 degrees C/ 140 degrees F,,C,
Severe pain 2-3 days after implant placement is usually related to,difficulty of the surgical procedure,bone necrosis,flap management,infection,,D,
"H, H, H, P in post-op instructions refer to",Hard Healing Heavy Pressure,Hard Happy Hot Pressure,Hard Heavy Hot Proud,Hard Hot Heavy Pressure,,D,
The first 2-3 days one should use,ice,heat,both,either,,A,
A cover screw is meant to be placed:,Below the gingiva,Above the gingiva,At the second stage surgery,,,A,
A patient presents with a perfectly placed implant (by Dr Rubin) in site #18 ready to be restored. He has a very limited vertical opening. Which would be the best type of impression method to use of the choices below?,Open tray,Closed tray,,,,B,
An advantage of the closed tray transfer technique versus the open tray method is:,More accurate indexing of the implant platform,The transfer coping stays in the impression to allow for a more precise impression,Easier to manipulate,Need for customized impression trays,,C,
Which of the following cases would a scanbody not be ideally indicated for:,Implant is very subcrestal,Implant is placed correctly but hex isn't flat towards the buccal,There is a lot of blood and saliva that is difficult to control,A and C,,D,
A patent presents with an internal hex implant in site #14 with a healing abutment in place ready to be restored. The inter-arch clearance is 4.5mm from the crest of the ridge to the opposing arch. What type of crown restoration should be fabricated?,A screw retained crown,A cement retained crown,Whatever is cheapest,,,A,
A major disadvantage of cement retained crowns as opposed to screw retained crowns is:,Higher incidence of porcelain failure,Higher incidence of screw loosening,Access hole may interfere with occlusal table,Excess cement which can lead to peri-implantitis,,D,
"Mrs. Smith presents with an implant in site #8 that is angled to the buccal. While not ideal, the implant can still be restored with a good outcome. To help improve the aesthetics and manage the tissue, what would be the best restoration to use in this scenario?",A stock abutment and PFM crown,A screw retained PFM crown,A custom abutment and PFM crown,,,C,
Which of the following are true regarding implant over-dentures?,The denture will not ‘rock',Ridge preservation in the sites where the implants are placed,"Once the locator nylon inserts are installed, they never need to be changed",They allow for an increase in biting force,B and D,E,
"When drilling the osteotomy, one should be aware that the drills will drill the osteotomy to an additional length of",0.1 mm,0.5 mm,0.75 mm,1.0 mm,,B,
"When drilling an osteotomy, one should always check",that that bur is locked in the handpiece,that the correct speed is chosen,that the irrigation is on,all of the above,,D,
Drilling at high speed is at:,2000 RPM,1750 RPM,1500 RPM,1000 RPM,,C,
Drilling at low speed is at,25 RPM,20 rpm,15 RPM,10 RPM,,C,
The torque at high speed is at,25 Ncm,20 Ncm,15 Ncm,10 Ncm,,C,
The torque at high speed is at,70 Ncm,60 Ncm,50 Ncm,40 Ncm,,C,
"If when placing the implant with the implant unit the implant does not completely seat, one should",reverse the implant out and re-drill,abort the surgery,leave the implant where it is,switch to the hand torque wrench and complete the implant installation,,D,
Using a scan body is beneficial when,the patient is a gagger,when there are multiple unparalleled implants,the patient has limited opening,all of the above,,D,
The guided surgery kit follows which sequence,if flap or flapless,if soft or hard tissue grafting is required,from initial osteotomy thru installation of the implant body,from implant body placement thru prosthetic complete,,C,
In the MIS implant size,yellow is 3.3,Purple is 3.75 &4.2,green is 5.0 &6.0,all of the above,,D,
The only major factor leading to a successful result with dental implants is developing the highest level of surgical technical skill.,True,False,,,,B,
