title,DAO Quiz 11 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following features would be of greatest value in distinguishing between a primary mandibular second molar and a permanent mandibular first molar:,number of roots,number of cusps,comparative size of distal cusps,arrangement of grooves on occlusal surfaces,,C,
The cusp divides the incisal edge of a primary canine into mesial and distal cusp slopes. A primary maxillary canine has:,a longer mesial cusp slope than distal cusp slope,a shorter mesial cusp slope than distal cusp slope,mesial and distal cusp slopes are equal,,,A,
The occlusal anatomy of the primary mandibular first molar resembles that of the:,primary mandibular second molar,permanent mandibular first molar,mandibular second premolar,maxillary first molar,none of the above,E,
Which of the following primary teeth has a crown somewhat resembling a permanent premolar but the root form is typical of a permanent molar?,maxillary second molar,mandibular first molar,mandibular second molar,maxillary first molar,,D,
The highest and sharpest cusp of the primary mandibular first molar is the:,Mesiolingual cusp,Distolingual cusp,Mesiobuccal cusp,Distobuccal cusp,,A,
"Among the major differences between teeth in the primary and secondary dentitions, is that:",buccal surfaces of the permanent molars are flatter,cervical ridges are more pronounced in permanent molars,root trunks of the deciduous molars are larger compared with their overall root lengths,roots of permanent teeth are longer and more slender compared with the overall size of the teeth,crowns of deciduous incisors are wider mesiodistally compared with their cervico-incisal lengths.,E,
"Which primary molar typically has an oblique ridge, a transverse ridge, and a distolingual groove?",maxillary first,maxillary second,mandibular first,mandibular second,,B,
Primary teeth appear to be whiter than permanent teeth.,True,False,,,,A,
"Primary molars have a ""thicker necks"" than do permanent molars.",True,False,,,,B,
The CEJs of primary teeth are less pronounced than those of permanent teeth.,True,False,,,,A,
