title,Oral Radiology Final Exam (Fall 2018),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
Cementum is radiographically indistinguishable from dentin.,True,False,,,A,
The white arrows point to which anatomical structure?,Restorative material,Alveolar crest,Floor of the maxillary sinus,Mandibular canal,C,images/oralrad-final-fall-2018/fig2.jpeg
The diagonal line indicated by the white arrows refers to what structure?,Incisive foramen,Lateral fossa,Floor of the nose,Nasolabial fold,D,images/oralrad-final-fall-2018/fig3.jpeg
The white arrows are pointing to which structure?,Inferior border of the mandible,Mandibular canal,Mental foramen,Lingual foramen,A,images/oralrad-final-fall-2018/fig4.jpeg
Which of the following structures is indicated by the white arrows?,Periapical cyst,Incisive foramen,Calculus,Mandibular tori,D,images/oralrad-final-fall-2018/fig5.jpeg
Which of the following structures is indicated by the white arrows?,Mandibular canal,Mental Foramen,Mylohyoid ridge,Inferior mandibular cortex,A,images/oralrad-final-fall-2018/fig6.jpeg
Each of the following is a purpose of quality assurance EXCEPT for one. Which is the EXCEPTION?,Minimize radiation dose,Optimize image quality,Optimize diagnostic yield,Minimize spatial resolution,D,
What will happen if you touch one of Dr. Steinberg's radiology monitors?,Lighting will strike you from the heavens,You will not graduate,You will be forced to take physiology exams every week for the rest of dental school,You will realize your mistake and then clean your dirty finger smudges off the monitor,D,
Which of the following is the best definition of a testing phantom?,An object you take a radiograph of to measure image quality,A ghost image that appears in panoramic radiographs,An artifact seen in MRI studies,A procedure in which you take repeated radiographs on your patient in order to run quality tests,A,
"A patient has the periapical radiograph below taken to evaluate mandibular incisors. The patient is in pain, and the teeth are tested as non-vital. Which of the following is the most likely diagnosis?",Caries,Apical periodontitis,Cemento-osseous dysplasia,Osteomyelitis,B,images/oralrad-final-fall-2018/fig10.jpeg
The radiopaque border surrounding the extraction socket is known as the ________?,PDL space,Lamina dura,Enamel,Dentin,B,images/oralrad-final-fall-2018/fig11.jpeg
"Regarding the radiolucent entity pointed to by the white arrow, all of the following possible diagnoses should be considered EXCEPT for one. Which is the EXCEPTION?",Mental foramen,Periapical lesion,Cemento-osseous dysplasia,Dental caries,D,images/oralrad-final-fall-2018/fig12.jpeg
"In a panoramic radiograph, any structures located in front of (buccal to) the focal trough are closer to the image receptor. Therefore, they would appear:",Enlarged in size,Reduced in size,Flipped upside down,Normal but will also have a ghost image,B,
Which is the anatomical structure outlined by red?,Mandibular condyle,Airway,Maxillary sinus,Spine,B,images/oralrad-final-fall-2018/fig14.jpeg
Which is the anatomical structure outlined by red?,Mandibular condyle,Lateral border of maxillary sinus,Pterygomaxillary fissure,Articular eminence,D,images/oralrad-final-fall-2018/fig15.jpeg
Ghost images normally project on the image receptor as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",B,
