title,PCOD I Final Exam (Fall 2017),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Line angles are composed of the intersection of how many surfaces?,1,2,3,4,5,B,
Point angles are composed of the intersection of how many surfaces?,1,2,3,4,5,C,
The reason(s) for bonding a composite restoration to a cavity preparation is:,it increasing esthetics,it increases retention of the restoration,it seals the interface between the restoration and tooth structure,all of the above,none of the above,D,
The primary factor in determining the clinical outline form of a Class V restoration is:,the restorative material used,the extent of the carious lesion,the height of the crown of the tooth,all of the above,none of the above,B,
Which tooth requires special attention to the pulpal floor during preparation of a Class I or Class II?,Tooth #4,Tooth #14,Tooth # 29,Tooth #21,Tooth #12,D,
The superficial layer of dentin created by a carbide fissure bur when cutting a cavity preparation is called:,the smear layer,the dentin-rich layer,the isomer layer,the resin rich layer,the hybrid layer,A,
The shape of the cavity preparation that allows for access and ease of removal of decay is which step in cavity preparation?,outline form,resistance form,retention form,prevention form,convenience form,E,
The buccal and lingual walls of the proximal box of a Class II amalgam preparation should be:,slightly divergent in a pulpal-occlusal direction,slightly convergent in a pulpal-occlusal direction,parallel to one another and perpendicular to the occlusal plane,parallel to one another at a 100-degree angle to the occlusal plane,none of the above,B,
The reason for placing a reverse curve in a Class II preparation is:,to produce a 90° angle with the external surface,to avoid creating unsupported enamel rods at the cavosurface margin,to avoid falling off the chair,a and b,all of the above,D,
Which of the following may lead to excess mercury remaining in an amalgam restoration?,Over mixing in the amalgamator,Under mixing in the amalgamator,Taking too long to condense the amalgam,Failure to over fill the preparation,All of the above,E,
Removing an amalgam restoration will lead to greater initial amount of mercury in the urine than placing an amalgam restoration of the same size.,True,False,,,,A,
Amalgam gamma-2 phase refers to:,Ag-Sn,Ag-Hg,Sn-Hg,Cu-Sn,Cu-Hg,C,
Bunched-up rubber dam found between the teeth is usually due to the holes being:,too small for the tooth,too large for the tooth,punched too far apart,punched too close together,None of the above,C,
The location of the gingival margin of a Class II preparation is determined by:,the location of the free gingival margin,the location of the proximal gingival contact,the gingival extent of the carious lesion,b and c,all of the above,D,
Under trituration (mixing) of the dental amalgam will display which of the following characteristics?,dry,crumbly,sets slowly,all of the above,none of the above,D,
The enamel hatchet with a formula of 10-7-14 has a blade length of:,1.0 mm,10.0 mm,0.7 mm,7.0 mm,14.0 mm,D,
The reason(s) for placing bevel in enamel on the facial margin of a Class IV preparation include:,provides for a stronger micromechanical bond for the restoration,better esthetics of the restoration,decreases post-operative sensitivity,a and b,all of the above,D,
"For an upper first molar, the transverse (oblique) ridge may be crossed only when:",there is decay present in both the mesial occlusal pit and the distal occlusal pit,there is decay present that undermines the transverse ridge,there is decay present in both the mesial and distal proximal surfaces,a and c,none of the above,B,
The concentration of phosphoric acid used for etching tooth structure in the bonding procedure is approximately:,15%,25%,35%,50%,75%,C,
The best ergonomic position for a right-handed operator performing an occlusal preparation and restoration on tooth #3 is:,patient in supine position with maxilla perpendicular to the floor and operator at 11 - 12 o'clock position,patient in semi-supine position with maxilla at 45 degrees to the floor and operator at 11 - 12 o'clock position,patient in supine position with maxilla perpendicular to the floor and operator at 7 - 8 o'clock position,all of the above,none of the above,A,
The density of dentin tubules is greatest located:,below the CEJ,above the pulp horn,at the DEJ,below the central pit,none of the above,B,
Which of the following is/are characteristics of the ideal Class V composite cavity preparation for tooth #6?,The outline form is kidney shaped,The axial wall is concave,"Bevels are placed on the occlusal, mesial, distal and gingival margins",a and c,All of the above,A,
"During the bonding procedure, the “hybrid layer” refers to:",the zone of bonding agent penetrating the smear layer in dentin,the zone of bonding agent penetrating the collagen in dentin,the zone of bonding agent penetrating the etched enamel,the zone of bonding agent bonding to the composite,none of the above,B,
The cutting end of the carbide bur is composed of:,carbon steel,tungsten carbide,boron carbide,titanium carbide,none of the above,B,
