title,DAO Final Exam (Summer 2017),dao,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following teeth is most likely to have a lingual groove that extends from the enamel onto the Cementum?,Maxillary canine,Maxillary central incisor,Maxillary lateral incisor,Maxillary first premolar,,C,
From the facial view teeth #24 and 25 have their contacts located in,The middle third,The junction of the middle third and the incisal third,In the incisal third,48 months,,C,
Which jaw position is determined by tooth to tooth contact?,Centric relation,Terminal hinge,MI,Postural position,,C,
Anterior guidance is the result of:,Terminal hinge,Centric relation,Condylar guidance,Horizontal and vertical overlap,,D,
Eruption sequence of the primary teeth is:,"Central, lateral, first molar, canine, second molar","Central, lateral , canine, first molar, second molar","Central, first molar , lateral, canine, second molar",,,A,
Which premolar has a mesial marginal ridge that is shorter and less prominent that the distal marginal ridge?,Maxillary first,Maxillary second,Mandibular first,Mandibular second,,C,
"In an ideal, class I occlusion all of the following are correct except: 1. Only the mandibular centrals and the maxillary third molars will occlude with only one tooth 2. The Buccal cusps of the maxillary teeth and the lingual cusps of the mandibular teeth, displace and protect the soft tissues 3. The Buccal cusps of the upper teeth and the lingual cusps of the lower teeth contact on their occlusal sides in centric occlusion 4. Mandibular posterior teeth occlude anterior to the maxillary posterior teeth.",1 only,1 and 2,3 only,All are correct,All are false,C,
"On the mesial surface of an anterior tooth, the cervical line curves incisally_____________ than the distal surface.",Greater,Less,Same as,,,A,
Which tooth has the longest root?,#9,#3,#22,#11,,D,
The sequence of cusp size from the largest to the smallest on the maxillary first molar is: 1. MB 2. ML 3. DB 4. DL,"1,2,3,4","2,1,3,4","2,3,1,4",,,B,
Which primary tooth has the most unique anatomy? (i.e. doesn't resemble a permanent tooth),Lower second molar,Lower first molar,Upper first molar,Upper second molar,,B,
In an intercuspal position the distolingual cusp of the mandibular first molar opposes:,The embrasure between the maxillary first and second molars,Mesial fossa of the maxillary second molar,Distal pit of the maxillary first molar,Distolingual groove of the maxillary first molar,,D,
In protrusive movement the facial surfaces of the maxillary centrals contact?,The incisal edges of the mandibular centrals only,The incisal edges of the mandibular centrals and laterals,The facial surfaces of the mandibular centrals and laterals,None of the above,,D,
The first and second mandibular molars erupt respectively at:,5 and 10 years,6 and 12 years,8 and 16 years,,,B,
"In MI, the cusp tip of the maxillary canine is in direct alignment with which anatomic feature of the mandibular teeth? (class I occlusion)",Facial embrasure,Incisal embrasure,Distal ridge of the cusp of the mandibular canine,Mesial ridge of the facial cusp of the mandibular first premolar,,A,
"On the mandibular first molar, the distofacial groove serves as an escape way for the mesiolingual cusp of the maxillary first molar during which mandibular movement?",Protrusive,Centric slide,Working,Non-working,,C,
The primary second mandibular molar will differ from the permanent first mandibular molar In that the second primary molar:,Is darker in color,Is larger in size,has roots that are more divergent,Has a form peculiar to itself,,C,
"The non-working condyle, in function, will perform which of the following movements?",Straight forward,"Downward, forward, and lateral","Downward, forward, and medial","Downward, backward, and medial",,C,
The first premolar replaces which primary tooth?,Canine,First molar,Second molar,,,B,
"When compared to the first maxillary premolar, the central groove of the second maxillary premolar is:","Longer, with less supplementary grooves","Shorter, with less supplementary grooves","Longer, with multiple supplementary grooves","Shorter, with multiple supplementary grooves",,D,
The first succedaneous tooth to erupt is?,Maxillary central,Mandibular central,Mandibular lateral,Mandibular first molar,,B,
Which of the following represents the geometric form of the anterior teeth when viewed from the proximal:,Square,Rhomboidal,Triangular,Trapezoidal,,C,
"From a Buccal view, the maxillary first molar has its palatal root apex in line with which of the following?",Buccal groove,DB line angle,DB cusp tip,MB cusp tip,,A,
The mesiodistal measurement of the crown is greater than the buccolingual measurement in which of the following teeth? 1. Maxillary first and second molars 2. Mandibular first and second molars 3. Maxillary canine 4. Maxillary central and lateral,1 and 2,"1,3,4","2,3","2,4",,D,
"In the universal numbering system, tooth #15",Upper right second molar,Upper left first molar,Upper left second molar,,,C,
