title,Fixed Prosthodontics Midterm Exam 2 (Fall 2020),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"When treatment planning a Fixed prosthesis for teeth # 18- # 21, on a patient with a narrow alveolar ridge, the pontic of choice would be:",Ridge Lap,Ovate,Saddle,None of the answer choices,,,D,
"When placing depth grooves, a tooth that is mesially tipped will have the same depth of cut on the mesial as on the buccal and lingual:",True,False,,,,,B,
"The purpose of smooth, complete gingival margins on a provisional restoration is/are:",Minimize gingival inflammation resulting in bleeding gingiva upon provisional removal.,Prevent tooth sensitivity from inadequate margins.,Establish a matrix for proper tissue contour (i.e. Ovate pontic).,"Maximize potential for an ideal, accurate impression.",All of the answer choices.,,E,
A post-core is necessary in ALL endodontically treated teeth:,True,False,,,,,B,
The incisal or occlusal surface prepared for a PFM crown should be:,1 mm,2 mm,3 mm,Any of the answer choices,,,B,
The margins of a ceramic inlay should be placed close to a centric contact:,True,False,,,,,B,
You are asked to place a stainless-steel crown on an eight year old boy on tooth # 3. The tooth anterior to # 3 would be:,#4,#B,#2,None of the answer choices,,,D,
"Statement One: Posterior teeth are subject to greater loading than anterior teeth because they are closer to the transverse horizontal axis (hinge). Statement Two: Morphologically, posterior teeth have cusps, and are therefore susceptible to fracture due to wedging. This tells us that endodontically treated posterior teeth should be restored with full cuspal coverage.",Both statements are true.,Both statements are false.,"Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,A,
A ceramic inlay preparation with deep mesial and distal subgingival margins are:,Difficult to obtain a dry field.,Impression making is difficult.,Require bonding to dentin and cementum which is a stronger bond than a bond to enamel.,All of the answer choices are true.,All of the answer choices are false.,There is one false statement.,F,
"Statement One: Inlays, Onlays and Veneers are examples of direct restorations. Statement Two: Amalgam, composite, glass ionomer and resin are examples of indirect restorative materials",Both Statements are true.,Both Statements are false.,"Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,B,
Posterior teeth having divergent or curved roots should be restored with two or more short posts rather than one long post to minimize root perforation during post preparation.,True,False,,,,,A,
Statement One: Ceramic Inlay preparations should be reduced at least 1 mm in the central fossa. Statement Two: Ceramic inlay preparations should have a faciolingual width of less than 2.0mm.,Both statements are true,Both statements are false,"Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,B,
Mrs. Bluestein had endodontic therapy on tooth #5 ten years ago restored with a cast post core and a PFM crown. Last week she developed a palatal swelling and a radiograph revealed a lesion on the palatal root. The presence of this cast post core makes endodontic retreatment easier to accomplish.,True,False,,,,,B,
A Saddle pontic replaces all contours of a missing tooth and is very comfortable and esthetic.,True,False,,,,,A,
"Statement One: As post length increases, so does post retention. Statement Two: A 3-5 mm gutta percha apical seal should remain after post preparation.",Both statements are true.,Both statements are false.,"Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,A,
You are preparing an MODBL gold onlay. The margin of choice is:,Chamfer,Shoulder,Bevel,,,,C,
"When preparing an all cast crown, in general, which of the following  is NOT true:",A minimum of 1.0 mm reduction is recommended on the Non-Functional cusp.,A minimum of 1.5 mm reduction is recommended on the Functional cusp,Occlusal reduction should be follow anatomic contours.,Axial reduction should be parallel to the occlusal surface of the tooth,All of the answer choices are true,,D,
A saddle pontic is convex and has minimal tissue contact.,True,False,,,,,B,
"When fabricating a PFM crown, the Coefficient of Thermal Expansion (COTE) of porcelain must be higher than the COTE of the metal coping.",True,False,,,,,B,
A functional cusp bevel is placed on the Functional cusp and is 90  degrees to the long axis of the tooth:,True,False,,,,,B,
Statement One: The placement of a post following endodontic therapy requires removal of additional tooth structure. Statement Two: The removal of this additional tooth structure and placement of a post strengthens the tooth.,Both Statements are true,Both Statements are false,"Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true",,,C,
An ovate pontic is often used for anterior maxillary fixed prostheses because of excellent pontic esthetics.,True,False,,,,,A,
Statement One: Reduction refers to the amount of space between a completed preparation and the opposing tooth. Statement Two: Clearance refers to the amount of tooth structure that is removed to properly prepare a tooth.,Both Statements are true.,Both Statements are false.,"Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,B,
The cavosurface margin of an inlay preparation should be 45 degrees:,True,False,,,,,B,
"When preparing a ceramic laminate veneer, you should:",Place margin on an existing composite restoration.,Place margin on palatal contact point.,Reduce incisal surface 1.5 mm – 2.0 mm.,None of the answer choices.,,,C,
Statement One: A round post preparation should have an anti-rotational keyway to prevent dislodgement. Statement Two: The bulkiest portion of most roots is on the buccal surface.,Both Statements are true,Both Statements are false.,"Statement One is true, Statement Two is false.","Statement One is false, Statement two is true.",,,C,
"When treatment planning a ceramic crown to replace an old restoration on tooth # 8, you realize teeth # 7 and # 9 have various shades, craze lines and different incisal translucencies. You consider fabricating a PFM crown, a pressable ceramic crown or a feldspathic porcelain crown. You should select _______ for maximal esthetics:",PFM,Pressable ceramic,Feldspathic porcelain,Any of the answer choices,,,C,
When preparing an MODBL gold onlay: Statement One: Veneering (shoeing) of a cusp is placed on the Functional Cusp. Statement Two: Full coverage of a cusp (capping) is placed on the Non-Functional Cusp,Both statements are true,Both Statements are false,"Statement One is true, Statement Two is false","Statement One is false, Statement Two is true",,,B,
A Modified Ridge Lap pontic is recommended for most maxillary and mandibular fixed prostheses:,True,False,,,,,A,
