title,Pathomedicine Exam 5 (Fall 2019),patho,exam5
question,option_a,option_b,option_c,option_d,option_e,correct,image
A fat embolism is a life-threatening potential complication of bone fracture.,True,False,,,,A,
Adrenal insufficiency resulting from damage to the hypothalamus will:,Not cause hyperpigmentation of the cutaneous and mucosal tissues,Cause hyperpigmentation of the cutaneous and mucosal tissues,,,,A,
"All of the following are features of Cushing syndrome, EXCEPT one. Which one is the EXCEPTION?",Peripheral hypertrophy,Hyperglycemia,Moon facies and buffalo hump,Cutaneous striae,Osteoporosis,A,
"All of the following are possible causes of hyperaldosteronism, EXCEPT one. Which one is the EXCEPTION?",Arterial hypovolemia caused by congestive heart failure,Decreased renal perfusion caused by arteriolar nephroslceorosis,Waterhouse-Friderichsen syndrome,Conn syndrome,Bilateral nodular hyperplasia of the adrenal glands,C,
"All of the following are dental considerations based on a history of stroke, EXCEPT one. Which one is the EXCEPTION?",Monitor blood pressure,Limit use of epinephrine,Consult with primary care physician if recent,Avoid acetaminophen for postoperative pain due to risk of increased bleeding,Consider deferral of elective treatment for 6 months,D,
"All of the following are appropriate in caring for a patient experiencing a grand mal seizure in the dental chair, EXCEPT one. Which one is the EXCEPTION?",Removal of instruments from the patient's mouth,Restrain the patient's extremities with help of office staff,Position chair so patient is in a supine position,,,B,
Anti-Ro (anti-SS A) and and-La (anti-SS B) are specific antibodies that may be identified in Sjogren syndrome.,True,False,,,,A,
Behcet syndrome is associated with:,HLA-B51,HLA-B27,HLA-B47,HLA-DR2,HLA-DR4,A,
Daily endogenous cortisol release is equivalent to about:,1 mg of prednisone,2 mg of prednisone,3 mg of prednisone,4 mg of prednisone,5 mg of prednisone,E,
Ehlers-Danlos Syndrome is a syndrome with a mutation in what protein or tissue?,Enamel,Collagen,Hemaglobin,Lysosome,,B,
Fibrous dysplasia is a component of:,McCune-Albright syndrome,Osteogenesis imperfecta,Dentinogenesis imperfecta,Reactive arthritis,Behcet disease,A,
"If you told a patient “you sound sad”, what interview technique would you be employing?",Active Listening,Validation,Naming,Re-direction,,C,
"In regards to cerebrovascular accidents (stroke), which of the following is NOT part of the FAST acronym?",F- face drooping,A- arm weakness,S- speech difficulty,T- time to administer aspirin,,D,
"Opalescent teeth, blue sclera and soft bones are most consistent with:",Fibrous dysplasia,Primary Sjogren syndrome,Secondary Sjogren syndrome,Osteogenesis imperfecta,Dentinogenesis imperfecta,D,
Parathyroid hormone is secreted in response to:,Elevated serum calcium,Low serum vitamin D,Low serum calcium,Elevated serum potassium,Low serum potassium,C,
Postpartum necrosis of the anterior pituitary results in Sheehan syndrome.,True,False,,,,A,
Seroconversion following an occupational exposure is most likely with:,HIV,HBV,HCV,,,B,
"Sialography with technetium-99 pertechnetate demonstrates a “fruit-laiden, branchless tree” pattern in:",Sjogren syndrome,Aphthous stomatitis,Behcet disease,Reactive arthritis,Raynaud phenomenon,A,
Statement 1: Cretinism is a disease of childhood. Statement 2: Thyroid stimulating hormone levels are low in patients with untreated cretinism.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,C,
"Statement 1: Patients with end-stage liver requiring oral surgery disease may require vitamin K, platelet or clotting factor replacement. Statement 2: Patients with end-stage liver who are prescribed medications may require adjusted dosing.",Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,A,
Thrombotic and embolic are types of:,Ischemic stroke,Hemorrhagic stroke,,,,A,
True or false: A synonymous mutation is a type of frameshift mutation that does not result in a different protein product.,True,False,,,,B,
True or False: Asking about suicidal thoughts mildly increases the risk of suicide and should generally be avoided:,True,False,,,,B,
"True or false: Neurofibromatosis type 2 is a mutation in the merlin gene, resulting in vestibular schwannomas.",True,False,,,,A,
Valproic acid may lead to hemostatic abnormalities due to a(n):,Elevated platelet count,Elevated platelet aggregation,Decreased platelet count,Decreased platelet aggregation,Induction of von Willebrand disease,D,
What distinguishes Panic Disorder from another anxiety disorder with panic attacks?,Frequency of panic attacks,Fear of future panic attacks,Severity of panic attacks,Duration of panic attacks,,B,
What form of hallucination is most commonly seen in psychotic disorders?,Visual,Gustatory,Auditory,Olfactory,,C,
What is a dental/radiographic finding in patients with mucopolysaccharidosis?,Enlarged dental follicles,Macrodontia,Microglossia,Cleft lip and palate,,A,
What is a significant clinical feature of alkaptonuria?,Brittle bones,Steep mandibular plane angle,Black bones and cartilage,Macroglossia,,C,
