title,Intro to Implants Exam 2 (Spring 2021),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following is a contraindication of using a surgical guide?,Time,Patient has Limited opening,Lack of bone,Lack of soft tissue,,,B,
"When making a vertical incision such as in a case where patient needs bone grafting at time of implant placement, to where does one make the incision?",Into the keratinized tissue,Mid-crestally,Either to the Mucogingival junction or into the non attached tissue (past the mucogingival junction,To the depth of the vestible,,,C,
After how many days is one most likely to have the most pain post implant placement?,Day of surgery,1 week post surgery,2-3 days post surgery,5 days post surgery,,,C,
What is the likely cause of post implant placement pain?,To large of a flap,Overheating of the bone,Immediate loading of implant,To large of an implant,,,B,
What is the purpose of the window on the surgical guide?,Confirm complete seating of the guide,Save surgical guide material,Quicker to print the guide,"Confirm complete seating of the guide, and save surgical guide material",,,A,
When is the punch technique contra-indicated?,When enough bone,When not enough keratinized tissue,When enough Keratinized tissue,When not enough bone,When enough bone & when not enough keratinized tissue,When not enough keratinized tissue & when not enough bone,F,
"When placing a dental implant, the dot on the implant carrier should be facing?",Distal,Buccal,Lingual,Palatal,,,B,
What’s the letter that describes the  incision that should be made when placing a implant?,B,H,G,F,K,,B,
Which of the following is an example of a mechanical complication?,Abutment Screw fracture,Implant frcture,Non-passive fit,Excessive cement,,,A,
Excessive cement is one of the possible casues of peri-implantits?,True,False,,,,,A,
Implants that violate the 3mm rule (Tarnow) is known as what type of complication?,Mechanical,Technical,Surgical,Biological,,,C,
How much restorative space does one need for a bar and clip restoration?,8-10mm,7mm,14-18mm,12-16mm,,,D,
One way to minimize complications is to?,Use the most expensive implant,Evaluate the occlusion,Charge a lower fee,Being a cowboy,,,B,
"When a implant fails to integrate, that is known as a __________ complication?",Surgical,Technical,Biological,Mechanical,All of the answers,,A,
Which of the following is a possible consequence of placing a mispositioned implant?,Easier to restore,Paresthesia,Quicker healing time,Better esthetics,,,B,
Adhering to the standard of care is one way to?,Increase your overhead,Get sued,Reduce complication rate,Keep your patients happy,,,C,
"Based on this persons landmark article in 1993, Dental implant surgery no longer needed to be done in a hospital operating room?",Rubin,Buser,Tarnow,El-Chaar,,,C,
Implant planning software allows us to?,Maximize profits,Decrease proficiency,Decrease complication risk,Eliminates all possible complications,,,C,
Can all complications be prevented?,Yes,No,,,,,B,
"When suturing, where should one place their suture bites?",In movable tissue,At the incision line,2-3mm from the incision line,At the base of the flap,,,C,
Improper torqueing of an abutment screw can lead to?,A stronger restoration,Less likely to loosen,Screw fracture,Increase patient pain,,,C,
"When placing a healing abutment, either at stage one or at second stage, the keratinized tissue should be placed towards the?",Lingual,Distal,Mesial,Buccal,,,D,
"The final restoration isn’t seating passively, forcing it down can lead to?",Fracture of the implant,Fracture of the prosthesis,Makes no difference,None of the answers,,,B,
Digital implant surgical planning allows you to custom design a dental implant that will be placed the right position.,TRUE,FALSE,,,,,B,
What team members approve the final digital surgical implant position(s)?,The surgeon,The restorative dentist,An implant planning service,The lab,The surgeon and the restorative dentist,All of the answers,E,
What are the benefits of Implant Studio software?,The entire process can be totally outsourced,It allows for fabrication of presurgical prosthetics,It’s a open system that creates one common blueprint everyone works off of,"It allows for fabrication of presurgical prosthetics, and it’s a open system that creates one common blueprint everyone works off of",,,D,
