title,Intro to Implants Exam 1 (Spring 2019),implants,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following is not one of the critical aspects of wound healing?,Cellular response,Clot formation,Cellular activation,Growth,,,D,
"According to Amler, how many days post extraction do we start to see the formation of Connective tissue",7 days,2 days,20 days,4 days,,,D,
"P.I. Branemark, known as the father of Implant dentistry, discovered the origins of osseointegraion by accident by studying blood flow in which species?",Dogs,Rabbits,Monkeys,None of the above,,,B,
"Root form implants fall into the category of endoosteal implant, which of the following are also considered endosteal implants?",Frame implants,Metal pins implant,Blade implants,U-shaped implants,,,C,
"According to Branemark, what percentage of maxillary and mandibular implants integrated respectfully?","81%, 91%","65%, 68%","93%, 97%","75%, 82%",,,A,
The goal of implant dentistry is to?,Place an implant,Restore function and esthetics,Improve the lives of our patients,B &C,,,D,
The normal probing depth around a tooth and a dental implant are respectfully?,"2-3mm,4mm","3-4mm,5mm","4-5mm,6mm","5-6mm,7mm",,,A,
"One key aspect with implant dentistry is to picture the final restoration while planning your cases, this is known as?",Surgery driven,Patient driven,Prosthetically driver,Technology driven,,,C,
Which of the following is NOT a component of a Dental implant,Implant,Surgical guide,Abutments,Restoration,,,B,
Bone to implant contact is the percentage of the implant surface in contact with bone on a?,Cellular level,Microscopic level,Clinical level,Radiographic level,,,B,
All of the following are benefits of a U-shape prosthesis (palateless maxillay prosthesis) except?,Better taste,No posterior palatal seal,Better sensory,Better esthetics,,,D,
Which of the following is one of the reasons Hydroyapatite (HA)coated implants fell out of favor?,Strong bone to implant interface,Expense,HA can separate from the surface of the implant leading to implant failure,Highly esthetics,,,C,
The fiber attachment around dental implants are?,Perpendicular,Parallel,lattice,All of the above,,,B,
Which of the following implants is a combination of both a sandblasted AND acid-etched surface?,Straumann SLActive,MIS,Branemark,Biohorizon,,,B,
Roughened surface implants became the surface of choice due to greater stability of the implant compared to smooth surfaced implants?,True,False,,,,,A,
Implant prosthetics can be?,Screw retained crown,Cement retained crown,Bar retained removable prostheses,Locator retained removalable prostheses,All of the above,,E,
"According to the article by Kan, the most common position of the root in the alveolus is?",Class 1 (against labial wall),Class 2 (centered in the alveolus),Class 3 (against the palatal wall),Class 4 (2/3 of root engaged both the labial and palatal walls),,,A,
Which of the following is Not one of the anatomical landmarks in the maxilla?,Maxilary Sinus,Inferior Alveloar nerve canal,Incisive canal,Greater palatine foramen,,,B,
"According to Panjnoush, the prevalence of the anterior loop is?",20%,45%,60 %,5%,,,C,
How much inter-arch space is required for a hybrid restoration?,6-10mm,14-18mm,12-16mm,18-22mm,,,B,
"According to Seibert, a ridge with normal buccal-lingual dimensions but a decreased apical-coronal height falls into which category?",Class 1,Class 2,Class 3,,,,B,
What is the minimum ideal amount of keratinized tissue surrounding a dental implant?,1mm,2mm,3mm,4mm,,,B,
How much space (bone) is required between natural teeth and dental implants and between 2 dental implants respecfully?,"1mm,2mm","2mm,4mm","1.5mm,3mm","2mm,2mm",,,C,
What can cause a life threatening episode when placing a dental implant?,Not attaining primary stability,Leaving threads exposed,Perforating the lingual plate,Placing a dental implant into the alveolar nerve canal,,,C,
What is the first and most important step when planning to place a dental implant?,Taking a complete medical history,Selecting the size of the implant,Ordering and taking the necessary imaging,Signing the treatment plan,,,A,
Which of the following medical conditions can lead to lower overall implant success rates?,Diabetes,Tobacco use,Bisphosphonate use,All of the above,,,D,
Which of the following radiographic exams is NOT useful for dental implant placement?,Panoramic,CBCT,Cephlometric,Bitewings and periapical radiographs,,,C,
Patients with a history of periodontal disease have a increase risk for peri-implant mucositis and peri-implantitis?,True,False,,,,,A,
What is the maximum distance from the crest of the bone to the tooth contact point to obtain a papilla 100% of the time?,3mm,4mm,5mm,6mm,,,C,
What are dental implants lacking which natural teeth have that makes having a balanced posterior occlusion so important?,Enamel,PDL,Pulp chamber,All of the above,,,B,
What is very important to take into account and manage when planning dental implant placement?,The manufacturer of the dental implant,The patient's expectations,Your fee,None of the above,,,B,
"According the Misch, where do we tend to find D4 quality bone?",Anterior maxilla,Anterior mandible,Posterior maxilla,Posterior mandible,,,C,
What are some of the reasons for using a surgical guide to place an implant?,Proximity to anatomic structures,Immediate placement,Placement of consecutive implants,Ideal 3D positioning of the implant,All of the above,,E,
"According to Albreksson, what is the temperature threshold at which one risks causing bone necrosis from overhearting the bone while drilling the osteotomy?",30 degrees C,34 degrees C,41 degrees C,47 degrees C,,,D,
Which of the following are some of the considerations taken into account which deciding whether to place a cover screw vs a Healing abutment?,Additional bone grafting,Amount of Keratinized tissue,Type of suture being used,A &B,All of the above,,D,
All of the following are some of the instructions we tell a patient after having a dental implant placement surgery except?,Avoid Spicy Food,Eat Hot food,Don't Brush the area,Ice on and off for 24 hours,Swelling peaks at 72 hours,,B,
What is the basic tenant to digital implant surgical planning?,Digital implant surgical planning is prosthetically driven to ensure proper placement of an implant based on the desired final restoration,Digital implant surgical planning visualizes the amount of bone available to determine the position of the final restoration,Digital implant surgical planning let's the surgeon know if he can achieve primary stability of the planned implants,,,,A,
Who can digitally plan an implant surgery and approve the final design?,The surgeon,The restorative dentist,An implant planning service,The lab,A and B,"A, B, C, and D",E,
What radioopaque markers were traditionally used in analog-style scanning appliances?,Gutta percha points,Amalgam,Barium sulfate,Composite,A and C,"A, B, C",E,
What data sets are needed for digital implant surgical planning?,PAN X-ray and CBCT scan,CBCT scan and intraoral surface scan,CBCT scan and 3D facial scan,,,,B,
