title,Removable Prosthodontics Quiz 1 (Fall 2017),rempros,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Anatomical landmarks of the Maxillary arch include all the following except.,Retromolar Pad,Limiting structures,Supporting areas,Relief areas,,A,
What anatomic landmark can be found in the middle of the hard palate.,Buccal Vestibule,Maxillary Tuberosity,Buccal Frenum,Mid Palatine Raphe,Lingual frenum,D,
The anatomic landmark located on the posterior maxilla that contains mucous glands is called.,Lingual frenum,Buccinator,Fovea Platina,Rugae,Genial tubercle,C,
The anatomic landmark located immediately posterior to the labial frenum is called.,Fovea Platina,Tuberosity,Incisive foramen,Buccal Frenum,None of the above,C,
What anatomic structure connects the buccal frenum to the maxillary tuberosity.,Buccal vestibule,Soft palate,Mid palatine raphe,Hamular notch,Labial vestibule,A,
The anatomic structure just anterior to the hamular notch is called.,Labial Frenum,Tuberosity,Labial frenum,Labial vestibule,Retromolar pad,B,
What portion of the maxillary denture must be made wide enough to accommodate the labial frenum.,Tuberosity,Soft palate,Retromolar pad,Labial notch,Vibrating line,D,
A “V” shaped notch captured when taking an impression is called the.,Mid palatine raphe,Soft palate,Rugae,Labial notch,Vibrating line,D,
The muscle that forms the outer surface of the labial vestibule is called,Obicularis oris,Buccinator,Mylohyoid,Soft palate,Hyoid,A,
The Obicularis Oris muscle pulls the buccal frenum in what direction.,Forward,Reverse,Downward,Upward,No effect,A,
The dividing line between the labial vestibule and the buccal vestibule is called.,Tori,Tuberosity,Buccal frenum,Labial frenum,Hamular notch,C,
The effect of the Buccinator muscle on the buccal frenum is.,Pulls the frenum forward,Pulls the frenum backward,Pulls the frenum downward,Has no effect,Pulls the frenum upward,B,
An imaginary line on the maxilla between the movable and non-movable mucosa of the soft palate is called:,Vibrating line,Lingual line,Hamular notch,Mid palatine raphe,None of these,A,
The following are supporting structures (either primary or secondary) of the maxilla except:,Maxillary tuberosity,Maxillary alveolus,Rugae,Incisive foramen,,D,
The portion of the maxilla and mandible that remains after teeth are extracted is called the.,Frenum,Tuberosity,Notch,Alveolus,Palate,D,
Application of a moldable material to the borders of an intentionally shortened tray to capture the tissue bearing area of a prosthesis is called.,Tissue conditioning,Border molding,Muscle molding,None of these,All of these,B,
The area that extends lingually from the retromolar pads is called the.,Retromylohyoid space,Tuberosity,Tori,Buccal Frenum,Genial Tubercle,A,
What term is used to describe the use of an impression material after border molding to take a final impression,Tissue conditioning,Wash,Muscle molding,Preliminary impression,None of the above,B,
What could result from an over-extended custom tray.,The tray would impinge on the tissue resulting in an inaccurate impression,The mucosa would become inflamed and appear reddened,The tray could possibly break resulting in a weak impression,Nothing would result in the accuracy of the impression,,A,
