title,Lasers in Dentistry Final Exam (Summer 2022),lasers,
question,option_a,option_b,option_c,option_d,option_e,correct,image
Photodynamic Therapy requires all of the following EXCEPT:,Light,Nanoparticles,Oxygen,Photosensitizer,,B,
"Using an Nd:YAG laser on a titanium implant may leave the implant surface melted and pitted and not available for titanium oxide deposition, which would decrease the chances of successful bone regeneration.",True,False,,,,A,
The role of the laser in removing biofilm on the root surface has much to do with clot stability because a blood clot will not adhere to a contaminated root surface.,True,False,,,,A,
Erbium lasers are absorbed into which of the following:,Water and pigment,Hydroxyapatite and pigment,Hydroxyapatite and water,Pigment only,Water only (hence the name Waterlase),C,
The most appropriate laser for removing biofilm from a titanium implant surface in a peri-implantitis case would be,Diode,Nd:YAG,Erbium,Photobiomodulation laser,Red light therapy,C,
"The first step in scheduling a patient appointment for a laser procedure is by communicating directly with your PCC, who will confirm the appointment with Dr. Walinski.",True,False,,,,B,
Using a laser to perform “closed” osseous crown lengthening is especially helpful when treating a full arch.,True,False,,,,B,
"Of all the various laser procedures we discussed, the most appropriate for the treatment of TMD would be",Laser Ablation,Laser Cavitation,Photo Dynamic Therapy,Photobiomodulation,Laser Welding,D,
A radial firing laser tip is especially effective for cutting deep cavity preparations because of its deep V beam profile.,True,False,,,,B,
"When using an erbium laser (Er:YAG or Er,Cr:YSGG), it is possible to damage the tooth structure when performing a gingivectomy.",True,False,,,,A,
"One of the benefits of using a diode laser for tissue retraction for a crown preparation is that it is appropriate in all cases, regardless of tissue health, tissue biotype or access.",True,False,,,,B,
"Generally speaking, diode lasers tend to be much larger in size than erbium lasers due to the complicated mechanisms required to create diode laser beams.",True,False,,,,B,
The least effective laser for creating an incision or full thickness flap would be a diode laser.,True,False,,,,A,
"The faster you move the laser handpiece, the faster the tissue is removed.",True,False,,,,B,
Which of the following would have the least effect on laser performance?,Pulses per second,Distance of the laser tip from the tissue,Length of the laser tip,Speed of movement over the tissue,Wavelength used,C,
"The Arndt-Schulz law tells us that the more laser energy you can deliver to a target site, the more effective the treatment will be.",True,False,,,,B,
"During Photobiomodulation (PBM) therapy, the total energy dose should be delivered to the target site in a quick, short burst, preferably lasting less than 2 seconds.",True,False,,,,B,
In what part of the cell does photobiomodulation (PBM) have the greatest effect?,Endoplasmic reticulum,Mitochondria,Cell membrane,Nucleus,Cytoplasm,B,
Laser cavitation is especially useful during photobiomodulation.,True,False,,,,B,
"When cutting a cavity preparation with an erbium laser, the intrapulpal temperature may decrease during preparation.",True,False,,,,A,
"During tissue retraction for a crown impression, it is preferable to carbonize the marginal tissue because it will decontaminate the sulcus and improve tissue response.",True,False,,,,B,
"When performing a maxillary labial frenectomy, one full carpule/cartridge of local anesthetic is recommended for patient comfort and to improve access to the surgical site.",True,False,,,,B,
"To improve hemostasis, one option would be to decrease the volume of water spray.",True,False,,,,A,
Erbium lasers can ablate (cut through) zirconia restorations.,True,False,,,,B,
"When using an erbium laser (Er:YAG or Er,Cr:YSGG), fiber initiation involves using a pigment to absorb photons, turning light energy into thermal energy, ie. Photothermal effect.",True,False,,,,B,
"Discussions about the Nominal Ocular Hazard Distance (NOHD) involve the MPE, which is:",Magnitude of Permissible Exposure,Maximum Permissible Exposure,Minimum Permissible Exposure,Multiple Permissible Exposures,,B,
"When using lasers in clinic, the Optical Density (OD) of laser safety goggles is more important than how thick the lenses are.",True,False,,,,A,
Dental lasers used for soft tissue ablation are categorized as:,Class I,Class II,Class III,Class IV,,D,
Coherent and incoherent light cannot be of the same wavelength.,True,False,,,,B,
"When a laser hits target tissue, several things can happen. Which of the following is not a normal occurrence?",Absorption,Refraction,Transmission,Reflection,Stimulated Emission,E,
"Dental lasers are typically delivered by way of a Gaussian beam, which is equally powerful across its entire surface.",True,False,,,,B,
Power density is represented by,Watts/mm2,Watts/cm2,Watts/mJ2,Watts/J2,,B,
"A 1.0 Watt laser emits 1,000 mJ at 1 pulse per second (Hz). How many mJ will be emitted in each pulse at 100 pulses per second at the same power setting?",1000 mJ per pulse,100 mJ per pulse,10 mJ per pulse,1 mJ per pulse,,C,
"A laser is operating in pulsed mode at a 25% duty cycle. If 12.0 Watts is the peak power, what is the average power?",8.0 Watts,6.0 Watts,4.0 Watts,3.0 Watts,Cannot be determined from the information given,D,
"By definition, which of the following is NOT a property of lasers?",Collimation,Dissipation,Coherence,Monochromatic,,B,
Lasers used in dentistry are found in which area(s) of the electromagnetic spectrum?,Ultraviolet and visible,Visible only,Infrared and ultraviolet,Ultraviolet only,None of the above,E,
Average power is usually higher than Peak power.,True,False,,,,B,
Stimulated emission of radiation was first presented by?,Niels Bohr,Leon Goldman,Thomas Edison,Theodore Maiman,Albert Einstein,E,
Which of the following is NOT an example of an active medium?,Photons,Gases,Crystals,Liquid Dyes,,A,
Risks of laser surgery include all of the following EXCEPT:,Pain,Hyperpigmentation,Oral mucositis,Infection,Bleeding,C,
