title,Endodontics Quiz 2 (Spring 2018),endo,quiz
question,option_a,option_b,option_c,option_d,correct,image
Digital x-rays,generated are limited to two dimensional images that can then be manipulated for greater contrast.,are defined by pixels that render two and three dimensional images,may be rendered in two and three dimensions via pixels and voxels respectively,voxels is a term that allows the dentist to add voice to the images,C,
The CBCT images that demonstrate horizontal slices through the tooth are know as being taken in,the saggital plane,the axial plane,the coronal plane,the cross-sectional plane,B,
Which statement is not true regarding digital x-rays,reduced radiation exposure,faster image generation,"slower, but sharper image generation",manipulation of the image,C,
Which statement is correct?,cracked and fractured cusps always show up on x-ray,cracked and split teeth always show up on x-ray,vertical root fractures always show up on x-ray,none of the above necessarily show up on x-ray,D,
A crack below the CEJ and going across the floor of the pulp chamber means,the tooth needs immediate treatment to prevent an extension of the crack,the absolute need for a full coverage crown,the tooth is not salvageable,a sedative dressing should be placed to prevent discomfort,C,
Which statement is not true regarding the diagnosis of cracked teeth?,generalized pain upon chewing,typically the pain is dull,pain most often limited to one cusp,the tooth responds positively to cold,B,
An endodontic emergency is defined as,a loose tooth that is unpredictably coming out at some point,a highly nervous patient who is anticipating going to the dentist,a patient with a serious health history,pain and/or swelling caused by various stages of inflammation or infection of the pulpal or periapical tissues,D,
The most serious endodontic emergency is,"necrotic pulp, fluctuant swelling with no drainage through the canal",irreversible pulpitis with symptomatic apical periodontitis,"necrotic pulp, diffuse facial swelling with no drainage through the canal","necrotic pulp, diffuse facial swelling with draingage through the canal",C,
Which protocol is not employed in the treatment of a patient with an endodontic emergency?,immediate imposition of treatment due to its emergency nature,informing the patient of the recommended treatment plan,informing the patient of the risks and benefits of the treatment plan,informing the patient of the expected prognosis,A,
The differences between reversible and irreversible pulpitis is,"reversible hurts to cold, but not to heat",irreversible reacts to cold more intensely and prolonged,irreversible hurts to percussion,reversible hurts to cold and is relieved by heat,B,
