title,DAO Quiz 2 (Summer 2017),dao,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The height of contour on the lingual surface on anterior teeth is also called?,Cingulum,Mesial Marginal ridge,Incisal edge,Distal Marginal ridge,,A,
Marginal Ridges are _______ to long axis of tooth?,Parallel,Perpendicular,,,,A,
The Cingulum of the maxillary right central incisor is usually?,Offset towards the distal,Centered,Offset toward the mesial,,,A,
Tooth #8 will usually erupt at what age?,7-8 years,10 years,4-5 years,11 years,,A,
Tooth #10 will usually complete root formation at what age?,11 years,8-9 years,4-5 years,6-7years,,A,
The Cingulum of Tooth#10 is usually,Centered,Offset towards the distal,Offset toward the mesial,,,A,
The maxillary lateral incisor has the most pronounced lingual fossa of all anterior teeth?,True,False,,,,A,
How many cusps does a central incisor have?,0,3,4,1,,A,
"Viewing from the facial, the maxillary central Incisor is usually shaped as a?",Rectangle,Oval,Circle,Trapezoid,,A,
The cervical line of an anterior tooth curves incisally on which surfaces?,Mesial and Distal,Buccal and Lingual,Mesial and Buccal,Distal and Lingual,,A,
Mamelons are seen,on anterior teeth that just erupted,on anterior teeth that do not occlude,on a 30 year old patient with proper occlusion,A and B,All of the above,D,
