title,DAO Quiz 2 (Summer 2018),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
Who is known as the father of CAD/CAM dentistry and was the first person to complete a digital impression?,Dr. Francois Duret,Dr. G.V. Black,Dr. Edward Farkas,Dr. Dre,A,
One of the major reasons why a dentist would want to go digital is to avoid the distortion that is possible with conventional impressioning techniques.,True,False,,,A,
The lateral incisor has all the following characteristics except:,Has a unique lingual developmental groove,The deepest lingual fossa,One of the most variable shapes,Longest crown of all anterior teeth,D,
The Height of Contour of all anterior teeth are located in the:,Incisal 1/3,Middle 1/3,Gingival 1/3,,C,
The cingulum of the central incisor is different than the lateral incisor since the cingulum on the central is ________ and the cingulum on the lateral is __________.,"Offset to the distal, centered","Centered, offset to the distal","Offset to the mesial, centered","Centered, offset to mesial",A,
The maxillary lateral incisor's root completion is at age:,7-8,9-10,11-12,13-14,C,
The function of incisor teeth is all of the following except:,Cutting,Phonetics,Esthetics,Grinding,D,
As a general rule contact points:,Are located more incisally on the mesial than on the distal.,Are located more incisally on the anterior teeth as compared to the posterior teeth.,Both answers are correct,Neither answer is correct,C,
Maxillary Central Incisors erupt at age:,3-4,5-6,7-8,9-10,C,
The mandibular movement associated with the terminal hinge position is:,Translation,Resistance,Protrusion,Rotation,D,
Posselt's envelope:,Describes the movements that a mandible makes in normal function,Defined by the extreme potential movements of the mandible,Is what your Dental Diploma will be delivered in,Can be fully described by viewing the movements of the mandible in the sagittal plane,B,
The clinical importance of Centric Relation (CR) is:,The condyles are at the most anterior portion of the articular eminence,It tells us exactly how a patients' teeth fit together,"It is a clinically useful, repeatable reference position",Its position gives the dentist the functional age of the patient,C,
