title,Pathomedicine Exam 3 (Fall 2023),patho,exam3
question,option_a,option_b,option_c,option_d,correct,image
Which of the following best describes a sarcoma?,Malignancy that arises from epithelium,"Malignancy that arises from solid mesenchymal tissues (e.g., bone, muscle, cartilage)",Benign tumor that arises from epithelium,"Benign tumor that arises from solid mesenchymal tissues (e.g., bone, muscle, cartilage)",B,
"True or false: Lifestyle choices, including tobacco use and obesity, are significant risk factors for many adult cancers.",True,False,,,A,
Which term refers to the process by which malignant tumors spread to distant sites?,Angiogenesis,Differentiation,Metastasis,Hyperplasia,C,
Dysplasia in epithelial tissue is characterized by:,Normal cell maturation and organization,Disorganized cell growth with increased risk of malignancy,Decreased number of cells due to cell death,Benign growth that resembles glandular structures,B,
"Among men and women in the United States, most cancer deaths are from cancer of the:",Lung and bronchus,Colon and rectum,Pancreas,Oral cavity,A,
What genes are mutated in 1/3 of women with hereditary breast cancer?,PTEN and TP53,APC and MLH1,BRCA1 and BRCA2,RET and NF1,C,
Which of the following is the most common type of skin cancer?,Melanoma,Squamous cell carcinoma,Merkel cell carcinoma,Basal cell carcinoma,D,
Actinic keratosis is often a precursor of which of the following skin cancers?,Melanoma,Squamous cell carcinoma,Merkel cell carcinoma,Basal cell carcinoma,B,
Which of the following is the most common childhood cancer?,Leukemia,Lymphoma,Neuroblastoma,Rhabdomyosarcoma,A,
"Mucocutaneous hyperpigmentation, characterized by dark spots on the lips, oral mucosa, and fingers, is a clinical hallmark of which of the following syndromes?",Marfan syndrome,Turner syndrome,Ehlers-Danlos syndrome,Peutz-Jeghers syndrome,D,
About 50% of individuals with which of the following syndromes exhibit Gorlin's sign (ability to touch the tongue to the nose)?,Marfan syndrome,Turner syndrome,Ehlers-Danlos syndrome,Peutz-Jeghers syndrome,C,
Axillary and inguinal freckling is a characteristic feature of which of the following?,Neurofibromatosis type 1 (NF1),Von Hippel-Lindau Disease,Gaucher disease,Edward's syndrome,A,
Anemia is best defined as:,A decrease in the number of white blood cells in circulation,An increase in the number of platelets in circulation,A decrease in the oxygen-carrying capacity of the blood,An excessive production of red blood cells,C,
What organ secretes erythropoietin in response to hypoxia?,Liver,Kidney,Bone marrow,Spleen,B,
Heavy menstrual bleeding is a common cause of which type of anemia?,Hemolytic anemia,Pernicious anemia,Aplastic anemia,Iron-deficiency anemia,D,
Plummer-Vinson syndrome is characterized by all of the following EXCEPT:,Dysphagia,Iron-deficiency anemia,Depapillated tongue,Hyperthyroidism,D,
"In a patient diagnosed with pernicious anemia, under which of the following conditions should elective dental treatment be deferred?",Hemoglobin is less than 11 g/dL,Oxygen saturation is less than 91%,Patient experiences shortness of breath,All of the above,D,
Which of the following is the main reason for Vitamin B12 deficiency in pernicious anemia?,Poor dietary intake of animal products,Destruction of gastric parietal cells,Malabsorption in the distal ileum,Overconsumption of antacid medications,B,
What mutation is responsible for sickle cell anemia?,Deletion of a base pair in the beta globin gene,Insertion of a base pair in the beta globin gene,Substitution in the beta globin gene,Duplication of the entire beta globin gene,C,
What rapid screening test might you use if you suspect one of your patients may have sickle cell anemia based on their family and personal medical history?,Sickledex test,Complete blood count (CBC),Hemoglobin A1c,Coombs test,A,
Which of the following is most commonly associated with the “hair on end” appearance on a radiographic image of the skull?,Iron-deficiency anemia,Pernicious anemia,Beta-thalassemia,Sickle cell anemia,C,
Which of the following drugs should be avoided in a patient with glucose-6-phosphate dehydrogenase (G6PD) deficiency?,Aspirin,Ibuprofen,Amoxicillin,Metformin,A,
What is the primary site of gas exchange in the lungs?,Bronchi,Bronchioles,Terminal bronchioles,Alveoli,D,
Which of the following best describes atelectasis?,Over-inflation of the alveoli,Chronic inflammation of the bronchi,Loss of lung volume due to inadequate expansion of air spaces,Formation of cavities in the lung tissue,C,
Emphysema is characterized by:,Chronic bronchial inflammation and mucus production,Permanent enlargement of air spaces,Acute inflammation of alveoli,Narrowing of the upper airways due to muscle spasm,B,
"What is the most common clinically relevant subtype of emphysema, particularly prevalent among smokers?",Centriacinar (centrilobular),Panacinar,Distal acinar,Irregular,A,
What is the primary feature of chronic bronchitis?,Permanent enlargement of air spaces,Narrowing of the bronchioles due to inflammation,Rapid breakdown of alveolar walls,Hypersecretion of mucus,D,
Diagnostic criteria for chronic bronchitis includes a persistent productive cough for at least:,1 month each year for 2 years,3 consecutive months each year for 2 years,6 consecutive months each year for 3 years,2 consecutive months each year for 4 years,B,
True or false: Administration of nitrous oxide is recommended in patients with emphysema or severe chronic obstructive pulmonary disease (COPD).,True,False,,,B,
Why should narcotics and barbiturates be avoided in patients with chronic obstructive pulmonary disease (COPD)?,Potential for increased mucus secretion,Potential for respiratory depression,Negative interaction with bronchodilators,Potential for dental staining,B,
Which of the following changes are associated with airway remodeling in chronic asthma?,Smooth muscle hypertrophy,Mucus gland hyperplasia,Increased vascularity,All of the above,D,
Atopic asthma is most commonly triggered by:,Physical exertion,Cold air,"Allergens (pollen, dust mites)",Emotional distress,C,
"Compared to atopic asthma, non-atopic asthma is:",Always triggered by allergens,Less likely to have a family history,Associated with elevated IgE levels,Typically present in early childhood,B,
What should be administered at first sign of an asthma attack in a dental office setting?,Beta-2-adrenergic agonist,Systemic corticosteroids,Long-acting muscarinic antagonist,Leukotriene receptor antagonist,A,
Which of the following measures is NOT recommended during an asthma attack in a dental office setting?,Administration of a beta-2 adrenergic agonist,Administration of supplemental oxygen,Administration of an epinephrine subcutaneous injection,Administration of aspirin and other NSAIDs,D,
What is the most common cause of community-acquired acute pneumonia?,Streptococcus pneumoniae,Haemophilus influenzae,Staphylococcus aureus,Klebsiella pneumoniae,A,
"All of the following are typical symptom of pneumonia, EXCEPT one. Which one is the EXCEPTION?",Productive mucopurulent cough,Consistent dry cough without sputum,High fever,Pleuritic chest pain,B,
Which of the following lesions or manifestations is classically associated with primary tuberculosis?,Ghon complex,Simon focus,Pott disease,Scrofula,A,
"Pott disease, a form of extrapulmonary tuberculosis, primarily affects which part of the body?",Liver,Cervical lymph nodes,Spine,Kidney,C,
"True or false: If a patient with active tuberculosis sees a primary care physician, receives an accurate diagnosis, and takes medication for 2-3 weeks, they can receive dental care in an outpatient setting with universal precautions.",True,False,,,A,
Which of the following statements regarding a positive purified protein derivative (PPD) test is true?,Confirms active tuberculosis,"Indicates exposure to Mycobacterium tuberculosis, but not necessarily active disease",Can differentiate between latent tuberculosis infection and active disease,Signifies immunity against tuberculosis,B,
What is a common initial event leading to the development of acute respiratory distress syndrome (ARDS)?,Chronic obstructive pulmonary disease (COPD),Excessive intake of oxygen,Severe trauma,Chronic tobacco use,C,
"A premature male newborn, delivered via cesarean section to a mother with gestational diabetes, presents with rapid, shallow breathing. Examination reveals his lungs are having difficulty inflating. What is the most likely cause of this condition?",Primary deficiency of surfactant,Atopic asthma,Edward's syndrome,Pneumonia,A,
A non-smoking female with a peripheral lung mass is most likely to be diagnosed with which of the following lung cancers?,Squamous cell carcinoma,Adenocarcinoma,Small cell carcinoma,Large cell carcinoma,B,
Virchow's node is an enlarged lymph node located at the:,Base of the neck,Left supraclavicular region,Axillary region,Inguinal region,B,
"Which of the following diseases classically produces well-defined, punched-out radiolucencies on a radiograph?",Cyclic neutropenia,Infectious mononucleosis,Sjogren syndrome,Multiple myeloma,D,
Which hypersensitivity mechanism is most likely involved in a penicillin allergy resulting in widespread urticaria?,Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type IV hypersensitivity,A,
What is the leading cause of death in patient with systemic lupus erythematosus (SLE)?,Liman-Sacks endocarditis,Thrombocytopenia,Gingival bleeding,Renal failure,D,
"All of the following are major players in the adaptive/acquired immune response, EXCEPT one. Which one is the EXCEPTION?",Antibodies,Macrophages,Lymphocytes,Neutrophils,D,
