title,Pain & Anxiety Control Exam 1 (Spring 2021),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
You need to perform an extraction of tooth #10.  Which one of the following techniques will provide rapid and reliable local anesthesia?,Infiltration to apex of tooth #10 alone,Right Infraorbital nerve block,Infiltration apex of #10 and palatal infiltration at apex of #10.,Nasopalatine nerve block,,,C,
"You plan to perform deep scaling and root planing of teeth #s 3, 4 & 5.  Which of the following techniques will provide rapid and reliable local anesthesia?","Right posterior superior alveolar nerve block, greater palatine nerve block","Right buccal and palatal infiltrations #s 3,4,5","Right infraorbital nerve block and buccal infiltration of the apices of #s 3, 4 & 5.",Right posterior superior nerve block and greater palatine nerve block.,,,B,
Statement #1:  A #30 gauge needle has a smaller inner and outer diameter than a #27 gauge needle. Statement #2:  A #27 gauge needle has less deflection and provides easier aspiration than a #30 gauge needle.,"Statement #1 is true, statement #2 is true.","Statement #1 is true, statement #2 is false.","Statement #1 is false, statement #2 is true.","Statement #1 is false, statement #2 is false.",,,A,
"Statement #1:  The harpoon of a dental syringe is designed to engage the rubber diaphragm of the local anesthetic cartridge to permit aspiration prior to injection. Statement #2:  Aspiration prior to injection of local anesthesia is necessary to prevent intravascular injection, which will result in a rapid rise in blood levels of the drug increasing the potential for undesirable systemic effects.","Statement #1 is true, statement #2 is true.","Statement #1 is true, statement #2 is false.","Statement #1 is false, statement #2 is true.","Statement #1 is false, statement #2 is false.",,,C,
"Four cartridges of 4% Articaine with Epinephrine 1:200,000 is administered to a patient.  The amount of drug given is:","Articaine 288mg, Epinephrine 0.036 mg","Articaine 144mg, Epinephrine 0.072 mg","Articaine 216 mg, Epinephrine 0.036 mg","Articaine 72 mg, Epinephrine 0.009 mg",,,A,
"A healthy 100 lb. female undergoes a lengthy dental procedure.  What is the maximum dose of Lidocaine and number of dental cartridges of 2% Lidocaine with Epinephrine 1:100,000 you can safely administer to her in one session?",Lidocaine 300mg and 8 cartridges,Lidocaine 360 mg and 10 cartridges,Lidocaine 72 mg and 2 cartridges,Lidocaine 144 mg and 4 cartridges,,,A,
Myelinated axons transmit impulses faster than unmyelinated axons due to which one of the following?,Impulse propagation due to change in polarity jumps from one node of Ranvier to the next node of Ranvier.,The sodium channels are blocked much faster in myelinated nerves.,Both the sodium and potassium channels are blocked at the same time.,Myelinated nerves permit diffusion across the nerve membrane with both charged NH4+ and uncharged NH3 forms of the local anesthetic.,,,A,
Why is it more difficult to obtain adequate anesthesia in a region where there is an acute infection with abscess formation?,Local anesthetic salts become ineffective when given in a patient who may have a fever.,The charged NH4+ form of the local anesthetic is increased due to the low pH of the infected region.,The charged NH4+ form of the local anesthetic is not able to diffuse across nerve membranes to allow the anesthetic to reach the axons.,All of the answer choices are correct.,"The charged NH4+ form of the local anesthetic is increased due to the low pH of the infected region, and the charged NH4+ form of the local anesthetic is not able to diffuse across nerve membranes to allow the anesthetic to reach the axons.",,E,
Which of the following local anesthetics provides the longest duration of pulpal and soft tissue anesthesia?,3% Mepivacaine,"2% Lidocaine with Epinephrine 1:50,000","0.5% Marcaine with Epinephrine 1:200,000","4% Articaine with Epinephrine 1:200,000",,,C,
Your patient requires an endodontic procedure on the mandibular right canine #27.  Which one of the following techniques WILL NOT provide adequate pulpal anesthesia?,Right inferior alveolar nerve block,Right lingual nerve block with supplemental anesthesia to the right mylohyoid nerve.,Right Vazirani-Akinosi nerve block,Right buccal infiltration to apex of #27 with supplemental periodontal ligament injections (PDL),All of the answer choices will provide adequate and reliable pulpal anesthesia when performed correctly.,,B,
