title,GDA Quiz 2 (Summer 2020),gda,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Match the appropriate pharyngeal arch and the adult derivative of Meckel’s cartilage from the list below.,Pharyngeal Arch 1; Maxilla,Pharyngeal Arch 2; Mandible,Pharyngeal Arch 1; Zygomatic arch,Pharyngeal Arch 1; Mandible,Pharyngeal Arch 2; Maxilla,D,
Match the correct name and function of Cranial Nerve X?,Hypoglossal; Taste on the posterior tongue,Vagus; Visceral Muscle Movement,Abducens; Sight,Trigeminal; Extraocular movements,Optic; Eyeball movement,B,
What is the fate of pharyngeal pouch 5?,Thymus,Parathyroid Gland,"Rudimentary, does not develop",Tympanic Membrane,,C,
Which of the following are possible clinical presentations of DiGeorge Syndrome?,Fish mouth deformity,Macrognathia,Bulging eyes,All of the above,,A,
Which Cranial Nerve innervates Pharyngeal Arch 3?,CN X,CN IX,CN VII,CN V,CN IV,B,
What does the frontal nasal process develop into on the face?,Chin,Cheeks,Ala of the nose,Lower lip,Forehead,E,
True or False: Neonatal teeth are present erupted about the gumline at birth.,True,False,,,,B,
Which of the following sutures is found at the back of the skull where the parietal and occipital bones meet?,Metopic Suture,Coronal Suture,Lamboid Suture,Sagital Suture,,C,
True or False: Endochondral ossification occurs with a cartilage precursor.,True,False,,,,A,
Which of the following is true of Crouzon’s Syndrome?,Crouzon’s is Autosomal Recessive,Individuals with Crouzon’s have very good vision,Patient’s with Crouzon’s often have severe underbite,Patient’s with Crouzon’s may present with enlarged upper jaw,,C,
