title,Practice Management I Final Exam (Spring 2020),pmgmt1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Referred to as administrative law in many jurisdictions this term outlines the legal requirements and the scope of the practice of Dentistry.,Credentialing,OSHA,Licensure,Dental Practice Act,None of answer choices,D,
Sexual harassment in the workplace is a form of,Professional misconduct,Fraud,Sexual discrimination,“Professional misconduct” & “Sexual discrimination”,All of the answer choices,D,
Legal Obligation for a Dentist include,Impaired colleague,Human trafficking,Child abuse,All of answer choices,,D,
The Dental Practitioner has the autonomy to not provide a service if that service conflicts with the standard of patient care,True,b. False,,,,A,
"When one takes the “Hippocratic Oath” to promote to avoid actions that produce bad consequences, this is called:",Professional conduct,Nonmaleficence,Autonomy,Justice,None of answer choices,B,
The action that requires the health care provider to take all appropriate actions to restore patients to a healthy state is called,Beneficence,Autonomy,Harassment,Principals,None of answer choices,A,
The obligation that a dentist has to treat patients who have similar needs in a similar or identical manner is called:,Autonomy,Justice,Maleficence,Beneficence,None of answer choices,B,
The practice of withholding information due to the clinician’s’ belief that the information may harm the patient is an example of:,Autonomy,Justice,Benevolent Deception,Harassment,None of answer choices,C,
A person’s ability to understand his or her health care conditions and ability to make informed consent is called:,Veracity,Autonomy,Maleficence,Capacity,None of answer choices,D,
In which business model are almost all Operating costs publicly funded,Private practice,Corporate,FQHC,Being an Associate,None of answer choices,C,
What classification represents the easiest business entity to form?,Sole proprietorship,Corporation,Schedule C,S Corp,None of answer choices,A,
When purchasing a practice with the existing real estate what factor is of most importance?,Modern Equipment,Number of operatories,Friendly staff,Location,None of answer choices,D,
In a “C corp” the practicing dentist will receive a W-2.,True,b. False,,,,A,
Dental School loan payments are deductible,True.,false,,,,B,
All of the following are examples of types of dental practices except:,Limited Liability Corporation,Sole proprietorship,LLC,JD,None of answer choices,D,
Private Practice Owner   ________,Guaranteed salary,Paid Continuing Education,Based on profits after employees are paid,Generally based on percentage,May be a non-profit agency,C,
Private Practice Associate ________,Guaranteed salary,Paid Continuing Education,Based on profits after employees are paid,Generally based on percentage,May be a non-profit agency,D,
Military Service ________,Guaranteed salary,Paid Continuing Education,Based on profits after employees are paid,Generally based on percentage,May be a non-profit agency,B,
Employee FQHC __________,Guaranteed salary,Paid Continuing Education,Based on profits after employees are paid,Generally based on percentage,May be a non-profit agency,E,
Federal / State ___________,Guaranteed salary,Paid Continuing Education,Based on profits after employees are paid,Generally based on percentage,May be a non-profit agency,A,
Which one of the following is the most important factor in determining the value of the practice?,Gross revenue,Profitability,The number of staff members,Computer expertise of the practice,,B,
`Advantages of working in Dental Education are:,Variety of “work”-creativity,Salaried with benefits,Work with exceptional people,All of the answer choices,,D,
Which model generally provides retirement benefits?,Private Practice,Being an Associate,Federal Service,None of answer choices,,C,
Advantages of Corporate Dental Practice is:,Established protocols,Economies of scale,Less up-front investment than private practice,All of the answer choices,,D,
A major advantage of being in a group practice is:,Easily consulting about cases with professional colleagues,Shared risk,Shared responsibility,All of the answer choices,,D,
