title,Preclinical Pediatric Dentistry Exam 1 (Spring 2020),pedo,exam1
question,option_a,option_b,option_c,option_d,correct,image
The name given to the modified rubber dam technique used in pediatric dentistry:,Quadrant,Slit/spilt,Palmer,Raincoat,B,
The child who goes to sleep with a sweetened beverage in a non-spill/sippy cup has a lower risk for developing caries than a child who sleeps with a sweetened beverage in a bottle.,True,False,,,B,
Fluorosis is a type of _______________ staining.,EXTRINSIC,INTRINSIC,,,B,
All of the following are benefits of rubberdam isolation except:,soft tissue protection,airway protection,time management,hemostasis control,D,
Use of rubber dam may not be practical in all of the following except:,partially or newly erupted tooth,presence of orthodontic brackets,an anxious or nervous child,a congested or claustrophobic child,C,
Sealants should always be applied on teeth,with well coalesced grooves,erupted more than 4 years,with radiographic evidence of occlusal /interproximal caries,with deep retentive occlusal grooves,D,
"Untreated ECC can lead to a decline in a child's general health, specifically failure to thrive, which describes a child('s)",dental pain,socioeconomic status,whose body weight or rate of weight gain falls below average,Failing more than one subject in school,C,
All of the following terms classify caries by location except for:,smooth surface caries,root caries,secondary caries,pit and fissure caries,C,
The AAPD caries risk assessment tool is based upon,social/biological factors,protective factors,clinical factors,all of the above,D,
If a 3 month old infant presents with oral candidiasis it is recommended to treat _______ with an appropriate antifungal,the infant only,the mother only,the infant and the mother,none of the above,C,
A 4 year old patient who does not live in an area with any fluoridated water should:,take a 1 mg fluoride supplement daily,take a 0.75 mg fluoride supplement,take a 0.5 mg fluoride supplement daily,take a 0.25 mg fluoride supplement daily,C,
Which of the following sedation drugs was widely used in pediatric dentistry however had a bitter taste and caused gastric distress?,Meperedine,Chloral Hydrate,Midazolam,Hydroxyzine,B,
All of the following are relative contraindications for the use of nitrous oxide except:,Asthma,Wheezing,Acute otitis media,Nasopharyngeal obstruction,A,
All of the following are true of congenital epulis of the newborn except:,Requires resection,Is usually a recurrent lesion,Can interfere with feeding,Usually occurs in the anterior portion of the maxilla,B,
The following teeth are the primary canines:,"D,G,N,Q","B,I,L,S","C,H,M,R","A,J,K,T",C,
"In primary teeth, enamel rods in the gingival third of the crown extend in the cervical direction. Primary teeth have broad, flat proximal contacts in comparison to permanent teeth.","The first statement is true, the second statement is false.","The first statement is false, the second statement is true.",Both statements are true.,Both statements are false.,B,
"During a sedation, a capnograph measures:",Carbon Dioxide,Nitrous Oxide,Oxygen,Nitrogen,A,
Gently shaking a child's cheek is a form of:,Positive reinforcement,Modeling,Tell/ Show/ Do,Distraction,D,
Evidence of development of the human tooth can be observed as early as the:,second week of embryonic life,sixth week of embryonic life,second trimester of embryonic life,first month following birth,B,
Which of the following primary molars does not resemble any of the permanent teeth?,Primary maxillary first molar,Primary maxillary second molar,Primary mandibular first molar,Primary mandibular second molar,C,
The permanent _________ develop from the buds of their primary predecessors:,"incisors, canines, premolars, and molars","incisors, canines and premolars, but not molars","incisors and canines, but neither premolars nor molars","incisors, but neither canines, premolars, nor molars",B,
The American Academy of Pediatric Dentistry recommends that parents or caregivers establish a dental home for infants by ________year of age:,1,3,6,12,A,
Which of the following types of teeth are usually least affected by severe early childhood caries (S- ECC)?,Maxillary anterior teeth,Maxillary and mandibular first primary molars,Mandibular incisors,Mandibular canines,C,
Which of the following statements is true concerning the application of topical fluorides in the dental office:,Professional topical fluoride applications are not routinely recommended for children and adolescents in the absence of dental caries activity.,Measurable benefits continue to accrue to approximately 4 minutes if the topical preparation remains in contact with the teeth.,The trays should be about one-third full for application foam,The patient's head should be tilted back so fluoride will flow towards molars.,B,
The recommended technique for achieving profound anesthesia with minimal pain in the palatal area is to:,chill the anesthetic before the injection,"utilize interdental infiltration following buccal infiltration, with slow injection of the anesthetic solution as the needle penetrates the papilla towards the palatal tissue (Walking the Anesthesia)",penetrate the incisive and greater palatine foramina to a depth of 10mm with the needle.,use a 25-guage needle,B,
The procedure that produces the greatest negative response in children is:,Intra-oral exam,Bitewing radiographs,Injection,Topical fluoride,C,
Which of the following preparations are probably best suited for topicalanesthesia in dentistry:,Butacaine sulfate,Ethyl aminobenzoate (Benzocaine),Tetracaine,Lidocaine,B,
Which of the following statements is true about Articaine (Septocaine),it is not currently available in the United States,can be used on a two -year old for buccal infiltration,is recommended to use for Inferior alveolar nerve block in children older than 4,it has a high bone penetrating ability.,D,
OraVerse is a/an:,computer-controlled local anesthetic delivery system,oral pre-anesthetic sedative,pharmaceutical agent for the reversal of soft tissue anesthesia,supplemental device that shakes the patient's cheek.,C,
The most commonly used local anesthetic in children is,2 % lidocaine,4% Articaine,Bupivacaine,"2% lidocaine with 1:100,00 epinephrine",D,
"The maximum dose of 2% lidocaine with 1:100,000 epinephrine in children is calculated at______mg/kg",7.0 mg/kg,4.4 mg/kg,2.2 mg/kg,3.4 mg/kg,B,
"How many cartridges of 2% lidocaine with 1:000,00 epinephrine can be safely administered to a 64-pound patient. (29kg)",5,7,3,9,C,
Behavior_____ is the phrase currently used to describe the process of leading a child through a dental appointment.,management,guidance,modification,justification,B,
"According to the most recent studies, which of the following behavior guidance techniques had the greatest parental acceptance:",nitrous oxide sedation,General Anesthesia,tell show do,hand over the mouth,C,
"According to the Frankl behavioral rating scale , a child who demonstrates acceptance of treatment ; cautious behavior at times: willingness to comply with the dentist, at times with reservation, but the patient follows the dentist's direction cooperatively would merit the rating____",1,2,3,4,C,
Bohn's nodules are:,formed along the midpalatine raphe,formed along the buccal and lingual aspects of the dental ridges,found on the crest of maxillary and mandibular dental ridges,surgically removed,B,
Teething is associated with:,increased incidence of infection,rise in temperature and white blood cell count,"daytime restlessness, increase of finger sucking, rubbing of gums, increase in drooling, possible loss of appetite,","diarrhea, cough, sleep disturbances.",C,
Which of the following is true of natal teeth,the prevalence is high: they are quite common,most are mandibular primary canines,a large percentage are supernumerary teeth,90% are the patient's primary teeth,D,
A fifteen-month-old child would normally have all of the primary teeth erupted except:,primary lateral incisors and canines,primary canines and first molars,primary central and lateral incisors,primary canines and second molars,D,
"In the primary dentition, the mandibular foramen is located where in relation to the plane of occlusion?",higher than the plane of occlusion,much higher than the plane of occlusion,lower than the plane of occlusion,the same level as the plane of occlusion,C,
