title,Clinical Oral Radiology Exam 2 (Fall 2020),coralrad,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"The radiodensity of healthy, clean maxillary sinuses is:",Hypodense / dark,HYPERdense / bright,The same radiodensity as soft tissue,Unknown,,,A,
The normal shape of the mandibular condylar head is:,Rounded,Triangular,Flattened,Pointy,,,A,
Which of the following is TRUE regarding a CT-Panoramic reconstruction / pseudopan / tru-pan?,It provides a quick overview of the teeth and jaws,It has a better spatial resolution than a traditional panoramic radiograph,It can be used to screen for caries,It avoids the issue of beam-hardening artifacts.,,,A,
What are the ramifications of beam-hardening artifacts in CBCT?,HYPERdense entities cause streak artifacts,Beam-hardening artifacts make caries detection easier,Hypodense entities cause smear artifacts,All of the answer choices are true,,,A,
Measurements taken in the coronal plane are always true buccal-lingual measurements,True,False,,,,,B,
"When evaluating a CBCT, each structure should be evaluated in each plane.",True,False,,,,,A,
"When obtaining a CBCT to evaluate for mandibular wisdom tooth extraction, all of the following should be examined EXCEPT one. Which is the EXCEPTION?",Proximity to the buccal and lingual plates,Proximity to the mandibular canal,Proximity to the mental foramen,The amount the roots are dilacerated,,,C,
Which of the following phrases BEST explains what a dentist is responsible for when interpreting a CBCT?,“Focus on the teeth to avoid going outside of your scope of practice.”,"“If you irradiate it, you are responsible for interpreting it.”",,,,,B,
Beam hardening artifacts MOST COMMONLY hinder interpretation of what condition?,Dental caries,Periapical cyst,Periodontal bone loss,Maxillary sinusitis,,,A,
The DISC of the temporomandibular joint cannot be seen on a CBCT.,True,False,,,,,A,
Periodontal bone loss can occur around teeth in which of the following locations? Choose the BEST answer.,Buccal,Lingual,Mesial,Distal,Both mesial and distal,"Mesial, distal, buccal, and lingual",F,
Which of the following BEST describes the typical appearance of the mandibular canal?,Completely HYPERdense,Completely hypodense,HYPERdense internal structure surrounded by hypodense borders,Hypodense internal structure surrounded by HYPERdense borders,,,D,
Which of the following is NOT an indication to take a CBCT?,Implant planning,Evaluation of crown margins,Evaluate maxillary first molar to see if a second mesiobuccal root canal is present,Evaluate bony lesion discovered on panoramic radiograph For following 2 questions:,,,B,images/coralrad-exam2-fall-2020/fig13.jpeg
What plane is this?,Axial,Coronal/Frontal,Sagittal,,,,A,
Which term most accurately describes the “black area” indicated by the arrows?,Intraosseous carcinoma,Beam-hardening artifacts,Peri-implantitis,Hypodense bone For following 6 questions:,,,B,images/coralrad-exam2-fall-2020/fig15.jpeg
