title,Preclinical Pediatric Dentistry Exam 1 (Spring 2022),pedo,exam1
question,option_a,option_b,option_c,option_d,correct,image
All of the following are examples of anticipatory guidance except:,Discussing a child's speech and language development,Discussing the proper way to place a child in a car seat,Discussing nonnutritive sucking habits,Discussing the patient's insurance,D,
An infant whose primary caregiver has active dental caries is considered to be:,High caries risk,Moderate caries risk,Low caries risk,Caregiver caries has no correlation with child's caries risk,A,
Permanent maxillary and mandibular first molars are the first permanent teeth to begin calcifying. Permanent maxillary and mandibular first molars begin to develop at birth.,Both statements are true.,Both statements are false.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,C,
The arrows in the following picture are pointing to:,Eruption hematomas,Bohn's nodules,Dental lamina cysts,Electrical burns,A,images/pedo-exam1-spring-2022/fig4.jpeg
"At the age of 19 months, how many teeth would typically be found in an infant's mouth and which ones would they be?","12; Central incisors, lateral incisors, canines","12; Central incisors, lateral incisors, primary first molars","16; Central incisors, lateral incisors, canines, primary first molars","16; Central incisors, lateral incisors, canines, primary second molars",B,
All of the following are important goals of motivational interviewing except:,Expressing empathy for a patient,Setting oral health goals,Making the patient sign the treatment plan,Evaluating and discussing current behaviors,C,
In the Palmer notation the D tooth represents:,The primary lateral incisor,The primary first molar,The primary second molar,The permanent first molar,B,
Which of the following is true of the permanent dentition in relation to the primary dentition?,Permanent teeth have a more prominent cervical contour,"Permanent teeth have broader, flatter proximal contacts",Permanent teeth pulps are further from the outer surface of the tooth,Permanent teeth have thinner enamel and dentin,C,
How many premolars are in the primary dentition?,0,2,4,8,A,
A parent who makes all of the choices for their children and has a lot of rules and gives no choices to their children is practicing which style of parenting?,Neglectful,Permissive,Authoritarian,Authoritative,C,
"A child who is cautious at times, accepts treatment and follows the dentist's direction would receive which score on the Frankl behavior scale?",1,2,3,4,C,
Which of the following is true about nitrous oxide:,Can be written as NO2,Provides profound analgesia,Can not be used while using a rubber dam,Causes CNS depression,D,
A little brother watches his sister cooperate at the dentist. This is an example of which technique:,Modeling,Tell Show Do,Ask Tell Ask,Distraction,A,
Which of the following drugs used for sedation can be reversed using Flumazenil?,Meperidine,Nitrous Oxide,Chloral Hydrate,Midazolam,D,
A 6-year-old child with spina bifida who has had multiple surgical interventions:,Should always be placed in protective stabilization,Should automatically have sealants placed,Will have Bohn's nodules,Is at a higher risk for pain,D,
Jean Piaget was a scientist who developed a theory of how a child's cognition develops. He believed children were “little adults” and had 4 main stages.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,A,
Which of the following is an example of active protective stabilization?,“papoose” board,Mom and assistant holding patient,Shoulder roll,Arm straps,B,
What teeth are circled in red in the panoramic radiograph below?,A; K,4; K,13; T,4; 20,B,images/pedo-exam1-spring-2022/fig18.jpeg
"Vasoconstrictors, such as epinephrine, are added to local anesthetics to constrict blood vessels. The vasonstrictor increases the rate of absorption of the local anesthetic into the blood stream.",Both statements are true.,Both statements are flase.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,C,
A successfully administered inferior alveolar nerve block will anesthetize:,mandibular teeth to the midline,anterior two- thirds of the tongue,floor of the mouth,All of the above,D,
"A main anatomical variation in children is the location of the mandibular foramen. Before the eruption of the permanent six year molars, the mandibular foramen is located at the height of the occlusal plane.",Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true.,C,
The following local anesthetic(s) is/are not recommended in a 3 year old patient?,4% Articaine,"2% Lidocaine with 1:100,000 epinephrine",Bupivacaine,A and C,D,
The most common self -induced post-operative complication after administering local anesthesia to a child is:,Dizziness,Rapid heart beat,Lip biting/sucking,Crying,C,
"How many milligrams of lidocaine can be found in one 1.7 ml cartridge of 2% lidocaine with 1:100,000 epinephrine?",0.34 mg,0.36 mg,34 mg,36 mg,C,
"How many cartridges of 2% lidocaine with 1:100,000 epinephrine can safely be administered to a 64 pound patient?",5,3,7,1,B,
All the following are protective factors against caries formation except:,Saliva,Fluoride,Nitrous oxide,Antimicrobials,C,
"The type of caries, classified by location, that is least commonly found in children or adolescents is:",smooth surface caries,root caries,pit and fissure caries,interproximal caries,B,
Cavernous Sinus Thrombosis or Ludwig's Angina are examples of a well localized infection. Both infections can be caused by untreated caries which leads to pulpal necrosis.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,Both statements are true,Both statements are false,B,
"Untreated ECC can lead to a decline in a child's general health, specifically failure to thrive, which describes:",A child's dental pain,A child's socioeconomic status,A child whose body weight or rate of weight gain falls below average,A child who is failing more than one subject in school,C,
The American Academy of Pediatric Dentistry (AAPD) defines Severe Early Childhood Caries (S-ECC) as any sign of ____________ caries in a child younger than 3 years of age.,smooth surface,occlusal,interproximal,root,A,
All are true regarding the beginning stages of decay except:,"may present as chalky, white spot lesion",always painful,can be reversible,commonly found at the cervical and interproximal areas of the maxillary incisors,B,
You have a 5 year old patient whose well water doesn't contain any fluoride. As part of a caries management plan you should prescribe _________mg fluoride supplementation per day.,0.25mg/day,no supplementation required,0.50 mg/day,1.0 mg/day,C,
Which is the pattern of decay found in Early Childhood Caries (ECC)?,"Maxillary incisors, maxillary posterior teeth, mandibular posterior teeth, mandibular incisors","Maxillary incisors, mandibular incisors, maxillary posterior teeth, mandibular posterior teeth","Maxillary incisors, mandibular posterior teeth, maxillary posterior teeth, mandibular incisors","Maxillary incisors, maxillary posterior teeth, mandibular incisors, mandibular posterior teeth.",A,
All of the following are reasons to restore primary teeth except:,prevent pain and infection,prevent proper articulation,prevent infection and systemic disease,prevent spread of cavities to permanent teeth,B,
The AAPD guideline on Pediatric Restorative Dentistry states that contemporary management of dental caries always requires restorative intervention.,True,False,,,B,
What is the name of the dental material that is a combination of mainly resin (composite) with added glass ionomer?,Resin-Modified Glass Ionomer,Sealant,Compomer,Icon Infiltrate,C,
Which of the following statements is true regarding amalgam as a pediatric restorative dental material?,"Due to concerns regarding mercury vapor and toxicity, amalgam is no longer used to restore primary teeth.","It is a mixture of silver, copper, stainless steel, and mercury.",The success of an amalgam restoration is highly dependent on both preparation and moisture control (isolation).,"Due to environmental concerns, dental offices that place or remove amalgam must install, operate, and maintain an amalgam separator.",D,
Which is NOT an indication for restoring a primary tooth with a preformed stainless-steel crown?,a primary tooth with multiple surface caries,a primary tooth with a pulpotomy,a child who is unable to cooperate for taking an impression for a lab fabricated crown,a primary tooth with developmental defects,C,
Atraumatic Restorative Treatment (ART) is different from an Interim Therapeutic Restoration (ITR) because:,it requires a different restorative technique,it requires a different level of patient cooperation,it functions as a definitive treatment,they are not different at all,C,
The operating time is increased and overall efficiency decreased with use of a rubber dam on a pediatric patient. The effect of nitrous oxide is decreased with the use of a rubber dam on a pediatric patient.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,D,
Which clamps are recommended for permanent first molars?,14/14A,12A/13A,2A,Both A and B,D,
The name given to the modified rubber dam technique used in pediatric dentistry is:,Quadrant,Slit/split,Raincoat,Interseptal,B,
