title,GDA Midterm Exam (Summer 2020),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is NOT true regarding gametogenesis?,The first meiotic division is a reduction division because the chromosome number is reduced from diploid to haploid.,During meiosis division occurs and chromosome number is reduced from 43 to 26.,The only haploid cells in the body are the egg and the sperm and they each contain 23 chromosomes.,Gametogenesis is important because it ensures the same number of chromosomes from one generation to the next.,,B,
"Each pair of chromosomes consists of one chromosome from the mother and one from the father. During meiosis, the sex cells divide to produce gametes which contain two sets of chromosomes (2n).",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,C,
In what part of the uterus does fertilization occur?,Infundibulum,Ampulla,Isthmus,Mesosalpinx,Ovarian ligament,B,
What structure degenerates as the embryo moves through the uterine tube to allow increased size of the blastocyst in the uterus?,Zona Pellucida,Cortical granules,Pronucleus,Synctiotrophoblast,Blastomere,A,
Spermatogenesis occurs in the testes. Oogenesis occurs in the uterus.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,C,
The most frequent site for an ectopic pregnancy to occur is which of the following?,Isthmus of the uterine tube,Ampulla of the uterine tube,Abdomen,Ovary,Cervix,B,
Which of the following is not a risk factor for ectopic pregnancy?,Tobacco use,Use of an IUD as birth control,Sexually transmitted disease,Previous ectopic pregnancy,Pregnancy of twins,E,
Mitochondrial DNA is only inherited from the father.,True,False,,,,B,
True or False: Meckel’s Cartilage is a derivative of pharyngeal arch 1 and contributes to the formation of the maxilla.,True,False,,,,B,
True or False: The frontal nasal process develops into the lower lip.,True,False,,,,B,
Which of the following hormones is detected in a positive pregnancy test?,Somatotropin,Human chorionic gonadotropin,Testosterone,Estrogen,Androgens,B,
Which germ layer gives rise to connective tissue?,Endoderm,Mesoderm,Ectoderm,,,B,
During meiosis the chromosome number is preserved. In mitosis the chromosome number is divided in half.,Both statements are true.,Both statements are false.,Statment 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
The sperm can live in the female genital tract for up to 48 hours thus why conception can occur even if ovulation is delayed.,True,False,,,,A,
Which medication is used for termination of an early detected ectopic pregnancy?,Metformin,Estradiol,Plan B,Methotrexate,Methamphetamine,D,
