title,Clinical Oral Radiology Exam 1 (Fall 2022),coralrad,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What are the names of Dr. Steinberg's cats? (Any answer will receive full credit as long as you guess!),Tiger and Tully,Maxilla and Mandible,Opaque and Lucent,Carrie and Sealant,Scatter and Artifact,,E,
All of the following are reasonable entities to consider for the well-defined irregularly-shaped radiopacity near the left mandibular angle EXCEPT one. Which of the following is the EXCEPTION?,Sialolith,Calcified lymph node,Calcified thyroid cartilage,,,,C,images/coralrad-exam1-fall-2022/fig2.jpg
"Multiple vertical radiopacities are projected over the bilateral mandibular rami, consistent with:",the patient's hair,The spine,Stylohyoid ligaments,Carotid calcifications,,,A,images/coralrad-exam1-fall-2022/fig3.jpg
Tooth #5 has a periapical radiolucency.,True,False,,,,,A,images/coralrad-exam1-fall-2022/fig4.jpg
Tooth #3 has been root canal treated.,True,False,,,,,B,images/coralrad-exam1-fall-2022/fig5.jpg
The right mandibular condylar head appears flattened.,True,False,,,,,A,images/coralrad-exam1-fall-2022/fig6.jpg
Which of the following is the best impression of the lesion in the right posterior inferior mandible?,Dentigerous cyst,Stafne defect,Hyoid bone,Sialolith,,,B,images/coralrad-exam1-fall-2022/fig7.jpg
Which of the following best describes the effects on adjacent structures caused by the lesion in the right posterior inferior mandible?,None,Root resorption,Thinning of the inferior border of the mandible,Destruction of the mandibular canal,,,C,images/coralrad-exam1-fall-2022/fig8.jpg
Which of the following best describes the internal structure of the lesion in the right posterior inferior mandible?,Radiopaque,Radiolucent,50% radiolucent and 50% radiopaque,,,,B,images/coralrad-exam1-fall-2022/fig9.jpg
Which of the following best describes the borders of the lesion in the right posterior inferior mandible?,Non corticated,Well-corticated,,,,,B,images/coralrad-exam1-fall-2022/fig10.jpg
Which of the following best describes the borders of the lesion in the right posterior inferior mandible?,Poorly-defined,Well-defined,,,,,B,images/coralrad-exam1-fall-2022/fig11.jpg
*Please see attachment* All of the following are likely to be dental caries EXCEPT one. Which of the following is the EXCEPTION?,#E mesial,#K distal,#L distal,#I distal,,,B,images/coralrad-exam1-fall-2022/fig12.jpg
There are a few entities inferior to the alveolar crest in the #2 region. Which would be the most logical impression of these entities?,Artifacts,Accidentally retained surgical instruments,Retained root fragments,Broken burs,,,C,images/coralrad-exam1-fall-2022/fig13.jpg
There are a few entities inferior to the alveolar crest in the #2 region. Which of the following best describes their borders/edges?,Well-defined,Poorly-defined,Their borders cannot be visualized,,,,A,images/coralrad-exam1-fall-2022/fig14.jpg
There are a few entities inferior to the alveolar crest in the #2 region. Which of the following best describes their internal structure?,Radiolucent,Radiopaque,Metallic radiodensity,,,,B,images/coralrad-exam1-fall-2022/fig15.jpg
There is an intrabony radiolucency in the #3 region. Which is most likely the diagnosis?,Extraction socket,Maxillary sinus,Root canal treatment,Retained roots,,,A,images/coralrad-exam1-fall-2022/fig16.jpg
There is an intrabony radiolucency in the #3 region. Which of the following BEST describes its borders?,Moderately well-defined,Poorly-defined,,,,,A,images/coralrad-exam1-fall-2022/fig17.jpg
