title,Pathomedicine Exam 4 (Fall 2023),patho,exam4
question,option_a,option_b,option_c,option_d,correct,image
Which condition is associated with both oral and genital ulcerations?,Behcet's syndrome,Sjogren syndrome,Reactive arthritis,Temporal arteritis,A,
Oral aphthous ulcers can typically be distinguished from intraoral herpetic ulcers because they:,Present in elderly patients,Present primarily in male patients,Occur on unattached (lining) mucosa,Are accompanied by a fever,C,
Increased prevalence of which condition is associated with Sjogren syndrome?,Caries,Periodontal disease,Candidiasis,All of the above,D,
Opalescent primary teeth are characteristic of which disorder?,Fibrous dysplasia,Osteogenesis imperfecta,Paget's disease of bone,Osteopetrosis,B,
Which of the following conditions is associated with a ground glass radiographic appearance?,Fibrous dysplasia,Osteogenesis imperfecta,Paget's disease of bone,Osteopetrosis,A,
Which of the following conditions presents with a mixed (radiolucent and radiopaque) cotton-wool radiographic appearance?,Fibrous dysplasia,Osteogenesis imperfecta,Paget's disease of bone,Osteopetrosis,C,
Which of the following is the appropriate classification for a bone fracture with splintering of bone?,Greenstick,Compound,Comminuted,Pathologic,C,
"In the context of disruptions to healing, what condition results from inadequate immobilization of a fracture, where a bony callus is unable to form?",Fibrous dysplasia,Osteomyelitis,Pseudoarthrosis,Osteopetrosis,C,
True/False: Bone healing after a fracture is much more predictable in adults than it is in children.,True,False,,,B,
All of the following are recommended as prevention strategies for osteoporosis EXCEPT one. Which one is the EXCEPTION?,Adequate calcium intake,Regular exercise,Corticosteroid therapy,Vitamin D supplementation,C,
What is a common consequence of thoracic and lumbar vertebral fractures in osteoporosis patients?,Osteomyelitis,Kyphoscoliosis,Avascular necrosis,Osgood-Schlatter disease,B,
Which of the following explains the higher incidence of osteoporosis among women?,Women have larger bone mass than men on average,"Menopause leads to decreased estrogen and increased IL-1, IL-6 and TNF",Women are less likely to consume adequate calcium and vitamin D,Women engage in more physical activity than men on average,B,
Suppurative arthritis as a complication of osteomyelitis is more commonly seen in which demographic?,Adults with diabetes,Elderly patients with prosthetic implants,Teenagers with traumatic injuries,Infants with epiphyseal infection,D,
Which of the following radiographic findings is most typical of osteomyelitis?,Destructive lytic focus with poorly defined margins,Well-defined lytic focus with a sclerotic rim,"Dense, reactive bone formation around a periapical lesion",Thinning of inferior mandibular cortex,A,
