title,DAO Quiz 6 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
The lower molar crowns are:,Tilted mesially and lingually,Tilted distally and lingually,Straight up.,Tilted mesially and buccally,A,
The height of contour of the lower molars:,Is the same on the buccal and lingual,Is more occlusal on the buccal than the lingual,Is more occlusal on the lingual than the buccal,,C,
From a buccal view of the 2nd molar:,The lingual cusps are visible,The lingual cusps are not visible,,,A,
On tooth #18:,The buccal cusps are wider than the lingual mesiodistally,The lingual are wider than the buccal mesiodistally,All cusp are about the same size mesiodistally,,C,
"From an occlusal view, if the lower molar is divided mesiodistally through the central developmental groove:",The lingual portion is wider than the buccal portion,The buccal portion is wider than lingual portion,Both portions are the same width,,B,
Which is the largest cusp for tooth #30,Mesiobuccal,Distobuccal,Mesiolingual,Distolingual,A,
How many roots and root canals do the mandibular molars have,3 roots and 3 root canals,2 roots and 2 root canals,2 roots and 3 root canals,,C,
When do the 1st and 2nd lower molars erupt,5 and 9 years respectively,7 and 9 years respectively,6 and 12 years respectively,,C,
From how many lobes does the mandibular first molar develop,4,5,3,,B,
The root trunk is :,The same size for first and second molars,The second molar root trunk is larger than the first molar,The first molar root trunk is larger than the second molar,,B,
