title,Cariology Final Exam (Spring 2018),cario,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
NovaMin is also known as:,CSP,CPP,ACP,TCP,,,,A,
CAMBRA stands for:,CAries Management by Reversing Acid,CAries Management by Remineralization Agents,Cavitation Acid Management By Radical Alternatives,CAries Assessment Management By Revitalizing Amoeba,CAries Management By Risk Assessment,,,E,
Placing a restoration to ‘restore' a carious lesion:,Increases the number of bacteria present in the oral cavity,Guarantees that the tooth will never have another carious exposure,Does not address the disease in total as there still can be cariogenic bacteria present in the rest of the oral cavity,Is a waste of time,,,,C,
Secondary/Recurrent Caries:,Are carious lesions on an unrestored tooth surface,Are lesions that develop adjacent to a restoration,Are lesions that demineralized and then remineralized on an untouched tooth,Are similar to primary caries,,,,B,
Fluorapatite does not demineralize until the pH drops below:,6.5,5.5,3.5,4.5,,,,D,
The following is/are Bioactive material:,Bioglass,Glass-Ceramic,Calcium Phosphate Ceramic,All the above,,,,D,
Pit and Fissure Enamel Caries:,Are Inverted V-Shaped,Are V-Shaped,Predominantly S. Sanguis,Both A and C,,,,D,
The body zone in the enamel carious lesion:,Is the smallest of the zones,Is the largest of the zones,Is unable to be remineralized,Is the area of greatest demineralization,Both B and D,,,E,
Which of the following is not an indication for Silver Diamine Fluoride?,Patients with high caries risk,Patients with low caries risk or no carious lesions,Patients with xerostomia,Patients with early childhood caries,,,,B,
"If a patient presents with two active carious lesions, a history of frequent snacking, and had restorations placed within the last three years; his caries risk would be:",Low,Moderate,High,Between a Tall and a Venti,,,,C,
Which cartoon character appeared in almost every slideshow?,Scooby Doo,Donald Duck,SpongeBob SquarePants,Mickey Mouse,,,,C,
Mutans Streptococcus are:,Gram Negative Bacteria,"Gram Positive, Strictly Aerobic Bacteria",Gram Negative Viruses,"Gram Positive, Facultative Anaerobic Bacteria",,,,D,
"When there is a limited supply of glucose/sucrose, Mutans Streptococcus produce:",Acetic Acid,Lactic Acid,Formic Acid,Carbonic Acid,Both A and C,,,E,
Fluoride can enter the bacterial cell by binding with:,Hydrogen,Calcium,Phosphate,Magnesium,,,,A,
Root Caries:,Are unable to be remineralized,Are U-Shaped lesions,Initial demineralization follows Sharpey's fibers,Are V Shaped lesions,Both B and C,Both A and D,,E,
The radiographic appearance of a carious lesion that is in the inner half of enamel is characterized as a:,E1 Lesion,E2 Lesion,E3 Lesion,D1 Lesion,D2 Lesion,,,B,
Hyposalivation can be caused by:,Medications,Systemic Diseases,Radiation Therapy To The Salivary Glands,Aging,All the above,,,E,
Four basic components of a biofilm are:,"Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Advanced Communication System","Bacteria micro-colonies, Intra-polysaccharide structure, Fluid Nutrient Channel, Primitive Communication System",,,,A,
Which remineralization agent should be avoided in patients with a milk allergy?,ACP,CSP,MI Paste with Recaldent,Remin Pro,Fluoride,,,C,
The direct function of a bioactive material is to:,Enhance demineralization,Induce growth factors,Stimulate natural mineralization,B and C,A and C,,,D,
"The caries infection, as it relates to Stephen's Curve is:",Due to a lack of fluoride,A pH dependent disease,Not treatable,Only due to one type of bacteria,,,,B,
Statement 1: Dentin demineralizes at a pH of about 6.5. Statement 2: Enamel demineralizes at a pH of about 5.5.,"The first statement is true, the second statement is false",Both statements are false,"The first statement is false, the second statement is true",Both statements are true.,,,,D,
Which of the following statements about the Salivary Pellicle are true?,It's main role is protective in nature,It protects the enamel from abrasion and attrition,Bacteria are present in the pellicle,It lubricates the tooth surface to facilitate chewing and speech,All the above,All the above except for C.,,F,
"In the development of the oral biofilm, the stage which is irreversible without a professional cleaning is known as what?",Pellicle Formation,Initial Adhesion,Maturation,Dispersion,,,,C,
The critical pH is the pH at which saliva cease to be saturated with:,Fluoride and Calcium,Calcium and Phosphate,"Calcium, Phosphate and Fluoride",Fluoride and Phosphate,,,,B,
Dentin Caries are radiographically seen as:,U-Shaped lesions,Inverted V Shaped lesions,V Shaped lesions with broad area by DEJ and apex towards the pulp,V Shaped lesions with broad area by pulp and apex towards the DEJ,Hexagonal shaped lesions,,,C,
Saliva provides buffering against acids by:,Binding Bicarbonate with Hydrogen to form Acetic Acid,Binding Bicarbonate with Hydrogen to form Carbonic Acid,Binding Bicarbonate with Hydrogen to form Lactic Acid,Binding Bicarbonate with Hydrogen to form Hydroxyapatite,,,,B,
Silver Diamine Fluoride will discolor:,Sound tooth surface by turning the area white,Only infected dentin by turning the lesion brown,Only affected dentin by turning the lesion black,Both infected and affected dentin by turning the lesion black or brown,Only enamel caries will become discolored,,,D,
Mutans Streptococci can:,Colonize the mouth of predentate infants,Can be acquired by horizontal transmission,Can be acquired by vertical transmission,Only A and C,"A, B and C",,,E,
Adverse effect(s) to the prolonged use of Chlorhexidine may be:,Bad breath,Staining of teeth,Excessive Fluoride buildup,Emergence of more virulent S. Mutans species,B and C,B and D,,F,
Fluorapatite is created by:,Fluoride binding to Hydrogen on the tooth surface,Fluoride binding to Calcium on the layer of the tooth surface,Fluoride binding to Calcium inside the hydroxyapatite,Fluoride binding to Magnesium in the dentin,,,,B,
Average amount of Fluoride needed in saliva to enhance remineralization is:,0.04-0.1 ppm,1-2 ppm,10-15 ppm,100 - 150 ppm,,,,A,
Downside of Stannous Fluoride:,It is only available in bubble gum flavor,Metallic taste,Superficial tooth stains,Unable to be incorporated in Fluorapatite,B and C,C and D,,E,
Affected Dentin is:,Unable to be remineralized,Closer to the pulp than infected dentin,Teeming with bacteria,Has very little or no bacteria,Is able to be remineralized,"B, D, E","A, B, C",F,
Fluorapatite contains the following ions:,"Calcium, Carbonate, Fluoride","Calcium, Hydroxyl, Fluoride","Calcium, Sodium, Fluoride","Calcium, Phosphate, Fluoride",,,,D,
Fluorapatite has the following effect(s):,Inhibits demineralization by making a less soluble mineral,Improves remineralization by speeding up the reuptake of Ca and P,Inhibits demineralization by making a more soluble mineral,Improves remineralization by slowing down the reuptake of Ca and P,A and B,C and D,,E,
