title,Removable Prosthodontics Final Exam (Spring 2022),rempros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
The above picture displays:,Post,Analog,Locator abutment,Metal housing,,C,images/rempros-final-spring-2022/fig1.jpeg
Factors associated with bone loss include ____.,Excessive occlusal force,Inadequate hygiene,Inadequate prosthesis fit,All of the above,,D,
The surveyor is used to ____.,Evaluate soft tissue undercuts,Delineate survey lines,Measure a specific depth of an undercut,All of the above,A and B,D,
What is(are) the effect(s) of tilting the cast table:,Aligns potential guiding plane areas,Relocates the height of contour,Develops symmetrical gingival embrasure spaces,Eliminates soft tissue interferences,All of the above,E,images/rempros-final-spring-2022/fig4.jpeg
The characteristics of a major connector that contribute to health and well-being include which of the following?,It is rigid and provides unification of the arch stability,It does not substantially alter the natural contour of the lingual surface of the mandibular alveolar ridge or the palatal vault,It contributes to the support of the prosthesis,All of the above,Only A and B,D,
Which component of an RPD is spoon-shaped and slightly inclined apically from the marginal ridge of a tooth?,Indirect retainer,Minor connector,Rest,Lingual bar,,C,
Which of the following is the most likely cause of an occlusal rest fracture?,Inadequate rest-seat preparation,Improper rest location,Structural metal defects,Occluding against the antagonist tooth,,A,
The main function of the direct retainer of a removable partial denture is ____.,Occlusion,Retention,Add contouring,Add strength to the major connector,,B,
Lack of reciprocation of a removable partial denture (RPD) clasp is likely to cause ____.,Tissue recession,Fracture of the rest,Fracture of the retentive clasp,Abutment tooth displacement during removal and insertion,,D,
The denture base of a mandibular distal extension removable partial denture (RPD) should cover ____.,The retromolar pads,All undercut areas and engage them for retention,The hamular notch,The pterygomandibular raphe,,A,
A good landmark for anterior-posterior positioning of the anterior maxillary teeth in a complete denture is the ____.,Residual ridge,Incisive papilla,Incisal foramen,Mandibular wax rim,,B,
The ____ is used as a guide to verify the occlusal plane.,Ala-tragus line,Interpupillary line,Camper's line or plane,All of the above,,D,
Teeth come together every time a patient swallows. This can dislodge dentures secondary to breaking the denture seal.,True,False,,,,A,
Inadequate rest-seat preparation for a removable partial prosthesis can cause ____.,Tooth mobility,Ligament widening,Occlusal rest fracture,Occlusal rest distortion,,C,
"For an alloy to be considered noble metal, it should ____.",Contain at least 25% silver,Contain at least 25% platinum or palladium,Contain 40% gold,Contain at least 80% gold,,B,
"A minor connector should be located in the interdental embrasure where it does not disturb the tongue and should be thickest in the lingual surface, tapering toward the contact area but not located on a convex surface.",True,False,,,,A,
Which of the following is a main function of a guide plane surface contacted by a minor connector of a removable partial denture (RPD)?,Provides a positive path of placement and removal for the RPD,Can provide additional retention,None of the above,All of the above,,D,
Which of the following components of a removable partial denture (RPD) must be rigid?,"Major connector, minor connector, wrought wire clasp","Wrought wire clasp, rests, and minor connector","Minor connector, rest, and major connector",,,C,
Cast circumferential clasps are more rigid than combination clasps?,True,False,,,,A,
The distance between the major connector on a maxillary removable partial denture framework and the gingival margins should be at least ____.,3 mm,2 mm,6 mm,15 mm,,C,
The ____ is the component that is responsible for connecting the major connector with the rest and clasp assembly.,Bar,Minor connector,Proximal plate,Guide plane,,B,
The above picture displays:,Crown,Analog,Extended Range Male,Implant Driver,,B,images/rempros-final-spring-2022/fig22.png
"Regarding extracoronal retainers in a removable partial denture (RPD), which one originates above the survey line?",Circumferential clasp,I bar,T bar,None of the above,,A,
What is the function of the Mentalis muscle?,Elevates and protrudes lower lip,Raises the Upper Lip,Raises angle of mouth,None of the above,,A,
In the photo above the arrow points to what surface?,Cameo surface,Intaglio surface,Impression surface,All of the above,,A,images/rempros-final-spring-2022/fig25.jpeg
The __________ is an imaginary line running from the inferior border of the ala of the nose to the superior border of the tragus of the ear.,Frankfort Horizontal Plane,Camper's Plane,Occlusal Plane,All of the above,,B,
The I bar and T bar engage the undercuts of teeth by way of a gingival approach.,True,False,,,,A,
In the photo above the yellow line demarcates what?,Buccal Sulcus,Crest of alveolar ridge,Vibrating Line,None of the above,,C,images/rempros-final-spring-2022/fig28.jpeg
The width of the Land Area must be,10-12 mm,2-3 mm,4-6 mm,5-10 mm,,C,
The ________ aids in the measurement of occlusal plane and allows you to establish parallelism to the interpupillary line and the ala-tragus line,Retromolar pad,Crest of alveolar ridge,Fox plane,Incisive papilla,,C,
In the photo above the arrow points to what?,Palatal Tori,Incisive papilla,Pendulous tuberosities,Fovea Palatinae,,C,images/rempros-final-spring-2022/fig31.jpeg
The depth of the Peripheral Roll must be,10-12 mm,4-6 mm,2-3 mm,5-10 mm,,C,
Which arch increases in radius as it resorbs?,Maxilla,Mandible,Both,Neither,,B,
"In the photo above, what is Kennedy Classification?",Class I,Class II,Class III,Class IV,,C,images/rempros-final-spring-2022/fig34.jpeg
"In the photo above, what type is the Major Connector?",Anterior palatal strap,Full palatal coverage,anterior-posterior palatal strap,lingual plate,,C,images/rempros-final-spring-2022/fig35.jpeg
"In the above picture, the arrow indicates what part of the RDP framework?",I bar,Full palatal coverage,Guide plate,T bar,,C,images/rempros-final-spring-2022/fig36.jpeg
The above picture displays:,Crown,Analog,Impression Coping,Male Retention Nylon Cap,,C,images/rempros-final-spring-2022/fig37.jpeg
"In the above picture, the arrow indicates what part of the RDP framework?",Clasp,Tissue stop,Abutment,Direct retainer,,B,images/rempros-final-spring-2022/fig38.jpeg
"The ___________ consists of a Rest, Cast reciprocal arm and a Retentive Wrought Wire Clasp.",I bar,Combination claps,Cast circumferential clasp,T bar,,B,
"In the above picture, which Indicating Medium was utilized to try in the RDP framework fit?",Silicone,Occlude,Light bodied PVS,Disclosing Wax,,B,images/rempros-final-spring-2022/fig40.jpeg
