title,PCOD I Quiz 1 (Fall 2017),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The difference between carbide burs used for tooth preparations and carbide finishing burs is:,the diameter of the bur,the length of the bur,the length of the flutes on the bur,the shape of the bur,none of the above,E,
Dental hand instruments used for examination include:,condenser,explorer,straight handpiece,spoon excavator,cleoid - discoid,B,
A hatchet with designation of 10-7-14 has a blade width of:,0.7 millimeter,1.0 millimeter,14 millimeters,0.14 millimeters,10 millimeters,B,
The reason for establishing secure finger rests when using handpieces and hand instruments is:,to increase the accuracy of the work,to prevent the operator from accidentally injuring the soft tissue adjacent to the tooth,to increase control of the handpiece or hand instrument,all of the above,none of the above,D,
The 330 carbide bur is generally used to create:,convergent walls,parallel walls,divergent walls,a smooth pulpal floor,a deep pulpal floor,A,
The cutting end (head) of the carbide bur is composed of:,carbon steel,silicon carbide,boron carbide,titanium carbide,none of the above,E,
Markings on the periodontal probe represent depths in as measured in:,inches,tenths of inches,tenths of millimeters,millimeters,none of the above,D,
The correct way to hold a handpiece is:,using modified pen grasp,so that the bur is perpendicular to the surface being treated,approximately 1.5 to 2 inches from the working end of the handpiece,a and b,all of the above,E,
Which of the following statements is (are) true for the Operative Preclinic I Lecture and Lab courses?,Students are required to be in their seats ON TIME before the lecture session is scheduled to start.,No cell phone use is permitted unless otherwise instructed by the lecturer.,Students are expected to clean their work areas including inside the manikin shroud (face) in the sim lab before leaving for the day.,"Lab units are to be turned off, and the electric motor is to be left on the hose when leaving the sim lab at the end of the lab session.",Definitely ALL of the above.,E,
A restoration that includes the incisal edge and a proximal surface of an anterior tooth is a:,Class I restoration,Class II restoration,Class III restoration,Class IV restoration,Class V restoration,D,
The length and diameter of the head of a #56 bur are respectively:,3.0 mm and 0.8 mm,4.0 mm and 0.5 mm,3.0 mm and 0.5 mm,4.0 mm and 0.8 mm,none of the above,D,
The “convenience form” of a tooth preparation is defined as:,the shape of the tooth preparation that prevents dislodgement of the restoration during function.,the shape of the tooth preparation that insures that the remaining tooth structure and restoration can resist fracturing during function.,the shape of the tooth preparation beyond ideal that allows complete access to a carious lesion.,all of the above,none of the above,C,
A point line angle is:,the junction of three walls of the tooth preparation,the junction of two walls of the tooth preparation,the junction of the internal wall with the external enamel or cementum surface,the angle that a #330 bur makes with the external surface of the tooth,the angle that the cutting blade of the bur makes with the shaft,A,
Ergonomics in dentistry involves:,the dentist's seating position,the patient's head position,the arrangement of dental instruments and equipment,a and b only,all of the above,E,
"Using loupes, the focal distance should be:",8 to 12 inches,12 to 20 inches,14 to 18 inches,15 to 24 inches,none of the above,C,
