title,Pathomedicine Exam 5 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Please refer to case 1. This patient is at an increased risk for developing chronic kidney disease. Which of his diseases is least related to this risk?,Gastroesophageal reflux disease,Diabetes,HTN,,,,A,
Please refer to case 1. What type of diabetes does this patient have?,Type 1 DM,Type 2 DM,,,,,B,
"Please refer to case 1. You will need to use local anesthesia for your planned scaling and root planing. What is the greatest number of carpules containing 2% lidocaine with 1:100,000 epinephrine that are considered safe for use during the procedure with this patient?",1 carpule,2 carpules,3 carpules,4 carpules,5 carpules,,B,
Please refer to case 1. You anticipate that the patient will experience some degree of sensitivity or pain following the scaling and root planing. Which medication is safest to recommend given his medical history?,Acetaminophen,Ibuprofen,Aspirin,,,,A,
Please refer to case 1. During upper endoscopy a velvety area was identified in the esophagus. The gastroenterologist biopsied this tissue. Under the microscope the tissue showed intestinal-like mucosa with columnar epithelium possessing goblet cells. What is the most likely diagnosis?,Barret esophagus,Mallory-Weiss tear,Esophageal varix,Eosinophilic esophagitis,Crohn disease,,A,
Which organism is most likley to be associated with achalasia?,Escherichia coli,Klebsiella pneumoniae,Enterobacter aerogenes,Candida albicans,Trypanosoma cruzi,,E,
Which organism is implicated in chronic gastritis?,Helicobacter pylori,Treponema denticola,Streptococcus mutans,Mycobacterium tuberculosis,None of the listed organisms have been implicated in chronic gastritis,,A,
Autoimmune gastritis is most likely to involve the:,Proximal esophagus,Antrum of the stomach,Body of the stomach,Distal ilium,Proximal jejunum,,C,
Zollinger-Ellison syndrome includes:,Multiple peptic ulcers,A gastrin-secreting tumor,High levels of acid production,All of the above,A and B only,,D,
A patient reports an epigastric burning sensation that occurs two hours after eating. The pain is relieved by consuming more food. What is the most likely diagnosis?,Achalasia,Eosinophilic esophagitis,Barret esophagus,Peptic ulcer disease,Crohn disease,,D,
Oral candidiasis is a potential complication related to antibiotic therapy for peptic ulcer disease. The preceding statement is:,True,False,,,,,A,
Peptic ulcer disease is most commonly associated with:,NSAID use,Ulcerative colitis,Hiatal hernia,Helicobacter pylori,Barret esophagus,,D,
A patient with frequent bouts of GI upset has a colonoscopy with a biopsy of an ulcerative lesion in the colon. The histopathology shows a mixed inflammatory infiltrate and granulomas. What is the most likely diagnosis?,Crohn disease,Ulcerative colitis,Peptic ulcer disease,Peripheral giant cell granuloma,Autoimmune gastritis,,A,
Which of the following is not a feature of Crohn disease?,Fistula formation,Transmural inflammation,Skip lesions,Thinned bowel appearance,Ulceration of GI mucosa,,D,
"A 19-year-old male patient presents with diffuse enlargement of the orofacial tissues, linear ulcerations and pebbly proliferations in the buccal vestibule. He reports frequent bouts of diarrhea and general GI upset. What category of disease should be first on your differential diagnosis?",Reactive-- infectious,Metabolic-- developmental,Neoplastic-- benign,Neoplastic-- malignant,Reactive-- inflammatory,,E,
Gallstones from a patient with an infectious process occurring in the intrahepatic and extrahepatic would be:,Yellow in color,Gray-white in color,Pink in color,Black in color,Brown in color,,E,
Cholangitis is best described as:,Acute inflammation of the gallbladder,Obstruction caused by absence of the extrahepatic bile ducts,Changes in the gallbladder due to excess cholesterol,Acute inflammation of the bile ducts,Polyp formation in the gallbladder,,D,
