title,Intro to Clinical Dentistry Exam 1 (Spring 2021),icd,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which elastic strap of the respirator must be placed over your head first?,Top strap,Bottom strap,It doesn't matter,They should be put on at the same time,There is only one elastic strap,A,
"If hands are visibly soiled, alcohol-based hand rub can be used.",True,False,,,,B,
How long after the completion of dental treatment of the patient do you wait to begin the room cleaning and disinfection process?,20 minutes,5 minutes,10 minutes,15 minutes,You don't have to wait,D,
"In regards to the spray-wipe-spray method, what information do you need to know about the cleaner?",Manufacturer name,Contact time,Barcode,Ingredients,Cost,B,
Where do you place barriers in the operatory?,Surfaces frequently touched with gloved hands,Areas likely to become contaminated with blood or body substances,Hard to clean surfaces,On the keyboard,All of the answer choices,E,
"If I leave the clinic, but am returning to the same patient, I can save my gown in the operatory.",True,False,,,,B,
How long do you wash your hands for?,10 seconds,20-30 seconds,1 minute,As long as it takes to sing Happy Birthday once,It doesn't matter as long as they look clean,B,
"When retrieving clean items, you are to reach into the cabinet:",Bare handed,With your blue gloves,With vinyl gloves,With vinyl gloves over blue gloves,Either vinyl or blue gloves,C,
CPL stands for:,Clinical policy leader,Clinical practice leader,Chief practice leader,Clinical patient liaison,Chief personnel leader,B,
The CPL is responsible for all the following except:,Comprehensive review of student activities as required,"Monitor treatment planning, progress, and performance",Patient assignment or distribution to student doctors,Review patient charts for clinical statistics,Provide guidance and direction in the care of patients,D,
Duties of the Dental Assistant at TCDM include all of the following except:,Clean and disinfect the operatory,Order supplies,Run suction solution at the end of the day,Change all red sharps containers,Change suction traps as needed,A,
"While scanning one must ""rock back and forth""",When scanning the occlusal of the molars,When scanning the occlusal of the pre-molars,When scanning the bite,When scanning the incisal of the incisors,"There is never a need to ""rock back and forth""",D,
All patients presenting to TCDM for treatment have their temperature taken as a screening for:,Prevention of a medical emergency,Infection,Covid 19 only,Determining their ASA classification,Determining if the patient should be referred to the emergency room,B,
