title,PCOD I Quiz 2 (Fall 2017),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
"In general, as the filler volume percent increases of the various types of composite restorative materials:",the strength of the composite decreases,the wear resistance of the composite decreases,the polymerization shrinkage of the composite increases,all of the above,none of the above,E,
"In general, as the filler particle size decreases of the various types of composite restorative materials:",the polishability of the composite increases,the translucency of the composite increases,the wear resistance the composite increases,all of the above,none of the above,A,
The type of composite that we are using in the Preclinic (JayFil) is a:,macrofilled composite,microfilled composite,hybrid composite,flowable composite,none of the above,C,
The primary reason that JayFil should not be built up in layers greater than 2 mm in thickness is:,the wear resistance will decrease if built up in thicker layers,the composite may shrink excessively if it is built up in thick layers,the composite may not cure thoroughly in thicker layers,the composite will be more difficulty to polish,all of the above,C,
Air bubbles incorporated In a composite restoration can lead to:,accelerated wear of the composite,an increase in the polymerization shrinkage,incomplete curing of the composite,all of the above,none of the above,A,
The purpose of polishing a dental restoration is to make it:,easier to clean plaque and stain accumulations,feel more comfortable to the tongue,more resistant to further roughening,a and b,all the above,E,
The most important step in obtaining a smooth and shiny surface of a composite restoration is:,the rough grinding and contouring step,the prepolishing step,the polishing step,a and c only,none of the above,B,
"When using a high speed handpiece to prepare a patient's tooth for a restoration, water must be used in order to:",flush away the abraded debris,keep the tooth from overheating,act as a lubricant during the cutting procedure,a and b,all of the above,E,
"In preparing a tooth for an MIFL Class IV restoration, the following cavosurface margins must be beveled:",facial,lingual,mesial,all of the above,none of the above,D,
"In preparing a tooth for a F Class V preparation, the following surfaces must be beveled:",gingival,lingual,incisal,all of the above,none of the above,C,
Which of the following cavity classifications does not involve the proximal surface of the involved tooth?,Class II,Class III,Class IV,Class V,none of the above,D,
The enamel layer of a central incisor is:,thicker in the incisal third and thinner at the cervical area,thinner in the middle third and thicker at the cervical area,"equally thick in the incisal, middle and cervical parts of the tooth",thicker at the middle third and thinner at in the incisal third,thinner in the incisal third and thicker in the cervical area,A,
The axial wall of a Class V preparation should:,penetrate 0.5 mm into dentin,follow the convex curvature of the external surface of the tooth,have rounded internal line angles,a and c,all of the above,E,
Silane is used in the composition of composites in order to:,reduce the polymerization shrinkage,enhance the polymerization in self-cured composites,chemically bond the filler to the resin matrix,increase the translucency of the composite,none of the above,C,
The intensity of the curing light reaching the surface of the composite restoration is dependent on:,the distance from the light rod to the composite,the cleanliness of the end of the light rod,the amber filter on the operator's loupes,a and b,all of the above,D,
