title,Oral & Maxillofacial Surgery Instrument Quiz (Spring 2020),omfs,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
What teeth is a cowhorn forceps used to extract?,"Mandibular anterior teeth (canines, lateral and central incisors)","Mandibular first, second and third molars",Mandibular premolars,Mandibular first and second molars,,D,
Which of these instruments is used to extract maxillary molars and premolars?,Image A,Image B,Image C,Image D,,A,images/omfs-quiz-spring-2020/fig2.jpeg
Which one of these instruments can be used for retracting?,Image A,Image B,Image C,All of the above,,D,images/omfs-quiz-spring-2020/fig3.jpeg
What is the name of this instrument?,Weider,301,#1,Seldin,,A,images/omfs-quiz-spring-2020/fig4.jpeg
What is the name of this instrument?,Periosteal elevator,301,34S,150,,B,images/omfs-quiz-spring-2020/fig5.jpeg
What is this instrument called?,13 blade,11 blade,15 blade,10 blade,,C,images/omfs-quiz-spring-2020/fig6.jpeg
Which of these instruments is the best one to to extract mandibular anterior teeth?,Image A,Image B,Image C,Image D,,B,images/omfs-quiz-spring-2020/fig7.jpeg
A rongeur is used to,Extract intact teeth,Elevate a tooth,Raise a flap,Debride tissue and bone,,D,
Which one of these shows the throat screen placed properly in an awake patient?,Image A,Image B,Image C,Image D,Image E,E,images/omfs-quiz-spring-2020/fig9.jpeg
Which one of these is used to hold a suture needle during suturing?,Image A,Image B,Image C,Image D,,A,images/omfs-quiz-spring-2020/fig10.jpeg
