title,Pathomedicine Exam 6 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Please see case 1. Which HLA type is this patient most likely to possess?,HLA-B52,HLA-B72,HLA-B27,HLA-B17,HLA-B51,,,,E,images/patho-legacy-fall-2017-6/fig1.jpeg
Please see case 1. Which of the following would be the most appropriate treatment for her condition?,Listerine rinse 3x/day,Peridex rinse 3x/day,Oral penicillin,Oral clindamycin,Oral prednisone,,,,E,images/patho-legacy-fall-2017-6/fig2.jpeg
Aphthous ulcers usually occur on the:,Attached mucosal surfaces in the oral cavity,Unattached mucosal surfaces in the oral cavity,,,,,,,B,
Which of the following is NOT a finding in Sjogren syndrome?,Hyposalivation,Hypolacrimation,Male predilection,Enlarged parotid glands,Heightened risk for lymphoma,,,,C,
The “fruit-laiden branchless tree” seen in Sjogren syndrome refers to findings based on:,Clinical examination,Sialography,Biopsy,Direct immunofluorescence,Serum studies,,,,B,
"A patient presents with blue sclerae, opalescent teeth and a history of multiple bone fractures. What is the most likely diagnosis?",Neurofibromatosis 1,Neurofibromatosis 2,Osteogenesis imperfecta,Dentinogenesis imperfecta,Fibrous dysplasia,,,,C,
"Characteristic findings in McCune-Albright syndrome may include all of the following, except:",Café au lait spots,Ground glass radiographic appearance of involved bone,Mutated COL1A1 in involved tissues,Precocious puberty,Hyperthyroidism,,,,C,
Which of the following diseases are known to cause deafness?,Osteopetrosis,Paget disease,Fibrous dysplasia,Two of the choices,All of the choices,,,,D,
"A 40-year-old female was found to have high levels of parathyroid hormone through a blood test ordered for other reasons. Further investigation revealed a parathyroid adenoma, the most common cause of primary hyperparathyroidism. Imaging studies demonstrated bone changes. In the setting of hyperparathyroidism, these changes are known as osteitis fibrosa cystica, also known as von-Recklinghausen disease of bone (not to be confused with von-Recklinghausen disease, the eponym for neurofibromatosis 1). The bone changes included a large radiolucency in the right posterior mandible. Biopsy revealed the histopathology of a central giant cell granuloma, which in this setting is referred to as a brown tumor. The radiolucency caused by the brown tumor left only a thin shell of cortex at the inferior border of the right posterior mandible. Her five-year-old son inadvertently hit her right face with minimal force while playing. This resulted in a fracture of the patient's right posterior mandible. The overlying tissue remained intact and the bone was still in one piece without splintering. What type of fracture occurred?",Greenstick fracture,Comminuted fracture,Pathologic fracture,Compound fracture,Complete fracture,,,,C,
Statement 1: The soft tissue callus holds the ends of a bone fracture in place. Statement 2: The soft tissue callus is able to bear weight.,Both statements are true.,Both statements are false.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,,,,,C,
