title,Cariology Final Exam (Spring 2023),cario,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Your patient suffers from xerostomia and you recommend a remineralizing toothpaste. Which of the following is the best one to prescribe since it is only activated by an acidic challenge?,ACP,CCP-ACP,CSP,TCP,,,,B,
CPP-ACPF is not recommended for which group(s) of people?,For patients with xerostomia and low salivary flow,During Pregnancy and for Children under age 6,For patients with white spot lesions or discoloration,It is safe for all types of patients and all ages,,,,B,
Which of the following remineralizing agents causes cell lysis due to an influx of sodium and calcium?,Novamin,Recaldent,ACP,TCP,,,,A,
Novamin is the common name for which remineralizing agent?,"Calcium Sodium Phosphosilicate, CSP","Casein Phosphopeptide, CPP","Casein Phosphopeptide Amorphous Calcium Phosphate, CPP-ACP","Tri-Calcium Phosphate, TCP",,,,A,
Fluorapatite does not demineralize until the pH drops below:,6.5,5.5,5.0,4.5,,,,D,
The translucent zone in the enamel carious lesion:,Is closest to the CEJ,Is closest to the DEJ,Is closest to the surface zone,Is the area of greatest demineralization,,,,B,
Which zone in an enamel carious lesion is considered the largest and has the greatest area of demineralization?,Translucent Zone,Body Zone,Dark Zone,Surface Zone,,,,B,
Root Caries:,Are mainly caused by Actinomyces viscosus,Are Inverted U-Shaped lesions,Initial demineralization follows Sharpey's fibers,Are U-Shaped Lesions,Are V Shaped lesions,"A, C, D","A, B, C",F,
Affected Dentin is:,Unable to be remineralized,Closer to the pulp than infected dentin,Teeming with bacteria,Has very little or no bacteria,Is able to be remineralized,"B, D, E","A, B, C",E,
Which of the following statements are true about CPP-ACP :,It maintains a state of super-saturation,It should not be used in patients under the age of 6,It has a 8-hour substantivity,It can be left on overnight,A and D,,,E,
The inner affected dentin of a carious lesion is comprised of which zones?,"Turbid, Transparent, and Normal","Infected, Transparent, and Normal","Subtransparent, Transparent, and Normal","Subnormal, Normal and Transparent",,,,C,
Which combination of agents will cause teeth staining?,"Cetylpyridinium Chloride, Chlorhexidine, Stannous Fluoride","Cetylpyridinium Chloride, Chlorhexidine, Sodium Monofluorophosphate","Cetrimide, Chlorhexidine, Stannous Fluoride","Cetrimide, Cetylpyridinium Chloride, Sodium Monofluorophosphate",,,,A,
The phase of oral biofilm development where different bacterial species co-aggregate is termed:,Growth,Initial Adhesion,Maturation,Dispersion,,,,C,
Which statement best describes Triclosan?,Triclosan interferes with lipid synthesis and is bactericidal at low concentrations.,Triclosan inhibits glucan synthesis and is bacteriostatic at low concentrations.,Triclosan interferes with lipid synthesis and is bacteriostatic at low concentrations.,Triclosan inhibits glucan synthesis and is bactericidal at low concentrations.,,,,C,
Quorum Sensing is part of which biofilm component?,Bacteria Micro-Colonies,Exopolysaccharide Structure,Primitive Communication System,Fluid Nutrient Channel,,,,C,
"Active, non-cavitated white spot lesions have the following trait(s):",Appear dull or chalky when air is directed at it,Are shiny when is air is directed at it,Should be immediately restored with a restoration,Usually are symptomatic,,,,A,
Displaying an inverted V-Shape and paralleling the enamel rods is which type of lesion?,Smooth Surface Caries,Root Caries,Dentin Caries,Pit and Fissure Caries,,,,D,
Which of the following statements are true? Statement 1: Dentin caries have a V-Shape radiographic appearance with broad area by DEJ and apex towards pulp Statement 2: Dentin caries have a V-Shape radiographic appearance with apex by DEJ and broad area towards pulp,Only statement 1,Only statement 2,Both statements,Neither statement,,,,A,
"Your patient has a ICDAS 5, RC 6, Extensive, Active Lesion. This can also be classified as a ______?",D1 Lesion,D3 Lesion,E1 Lesion,E0 Lesion,,,,B,
The radiographic appearance of a carious lesion that is in the inner half of enamel is characterized as a:,E1 Lesion,E0 Lesion,D3 Lesion,E2 Lesion,D2 Lesion,,,D,
Which of the following statements are true? Statement 1: CPP-ACPF penetrates about 30 microns (0.03mm) into healthy enamel Statement 2: ICON penetrates about 30 microns (0.03mm) into tooth structure Statement 3: Silver combined with fluoride penetrates about 25 microns (0.025mm) into healthy enamel,Statement 1 only,Statement 2 only,Statements 2 and 3,All 3 statements,Statement 1 and Statement 3,,,C,
"The mechanism of action of __?___ is to bind to free floating iron, thereby preventing uptake of the iron by bacterial cells:",Lactoferrin,Lysozyme,Statherins,Lactoperoxidase,,,,A,
What agent should be avoided in patients allergic to honey?,Propolis,Chlorhexidine,TCP,Fluoride,CSP,,,A,
Zinc salts found in a toothpaste work by _____?,Acting as a surfactant,Acting as a binder,Disrupting the nerve impulse,Inhibiting calcium phosphate deposits,Removing stain molecules to whiten the teeth,,,D,
Which of the following remineralizing agents are ‘activated' by saliva?,ACP,CPP-ACP,CSP,TCP,All of the above,"A, C, D",,F,
Arrested/Inactive carious lesions have which of the following traits?,Are hard to the touch,Are symptomatic,Are a black/brown discoloration,Are asymptomatic,Are smooth to the touch,"B, C, E","A, C, D",G,
Stannous fluoride decreases sensitivity by?,Forming insoluble metal salts that occlude dentinal tubules,"Increasing potassium concentrations at the nerve ending, removing the concentration gradient",Nerve depolarization,"Increasing sodium concentrations at the nerve ending, removing the concentration gradient",,,,A,
"Use the following information to answer the next three questions. See attached PDF for reference. You have a new patient that presents with the following upon examination: • Drinks 3 sodas per day • Multiple white spots lesions noted • Had 4 resin restorations done in the last two years • Positive saliva test result showing more than 500,000 cfu of S. Mutans • Diagnodent reading of 30 on tooth #20 • Is allergic to milk products Which caries risks is this patient?",Low,Moderate,High/Extreme,,,,,C,
"Use the following information to answer the next three questions. See attached PDF for reference. You have a new patient that presents with the following upon examination: • Drinks 3 sodas per day • Multiple white spots lesions noted • Had 4 resin restorations done in the last two years • Positive saliva test result showing more than 500,000 cfu of S. Mutans • Diagnodent reading of 30 on tooth #20 • Is allergic to milk products Which remineralizing agent should be avoided in this patient?",ACP,CPP-ACP,TCP,CSP,,,,B,
"Use the following information to answer the next three questions. See attached PDF for reference. You have a new patient that presents with the following upon examination: • Drinks 3 sodas per day • Multiple white spots lesions noted • Had 4 resin restorations done in the last two years • Positive saliva test result showing more than 500,000 cfu of S. Mutans • Diagnodent reading of 30 on tooth #20 • Is allergic to milk products The lesion on tooth #20 is described as an; Occlusal surface, pit and fissure origin, advanced extent, active lesion. Based on all the information presented, how would you best treat this lesion?",Monitor the lesion,Apply SDF,Treat with a restorative restoration,Apply ICON,,,,C,
