title,Fixed Prosthodontics Quiz 3 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Bis-Gma has a higher rate of polymerization shrinkage thanPMMA:,True,False,,,,B,
Statement 1: A Class I articulator is capable of vertical motion Statement 2: a Class I Articulator is adjustable:,"Statement 1 is false, Statement 2 is true.","Statement 1 is true, Statement 2 is false.",Both Statements are true.,Both Statements are false.,,B,
The IDEAL ratio of powder:liquid when using PMMA is:,1:1,1:3,3:1,1:4,,C,
The Protemp material we use in Sim Lab to fabricate provisionals is what type of material?,Bis-Acryl composite,Poly MethylMethacrylate,Neither,,,A,
The elevation of the mandible does NOT require the DIRECT involvement of which of these muscles:,Lateral pterygoid,Temporalis,Masseter,Medial Pterygoid,,A,
An Arcon articulator has its condylar elements placed on the lower member of the articulator.,True,False,,,,A,
Which of the following BEST describes the Temporomandibular Joint?,Pivot,Ball and Socket,Ginglymo-Arthodial,None of the above,,C,
The Coronoid process extends from the neck of the Mandible,True,False,,,,B,
"When using PMMA in the fabrication of a provisional, which of the following are true:",There is 20-30% polymerization shrinkage.,Exhibits excellent color stability over extended time.,Heat is released while setting occurs.,a and c,All of the above,D,
A Class III articulator is known as a fully adjustable articulator:,True,False,,,,B,
