title,GDA Midterm Exam (Summer 2019),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
"Oogenesis is the process that creates female gametes. Which of the following describes the DNA content of the female’s gametes, or ovum?",46 chromosomes,23 chromosomes,21 chromosomes,92 chromosomes,,B,
Oogenesis and spermatogenesis describe the process of gamete formation in females and males respectively. What statement about the two processes is true?,The result of both processes is a gamete with 2N number of chromosomes.,Both oogenesis and spermatogeneisis produce a gamete with 23 chromosomes through mitosis.,Oogenesis is a reduction division while spermatogenesis is an additive division.,Spermatids and occoytes produced by gametogenesis have 23 chromosomes (N).,,D,
"Malformation of the peripheral nervous system is linked to specific groups cell formed during neurulation, and these cells are derived from one of 3 embryonic germ layers. What is this specific group of cells, and which embryonic layers are they derived from?",Neural layer cells; mesoderm,Neural somatic cells; ectoderm,Neural crest cells; ectoderm,Neural fold cells; endoderm,,C,
"The gastrointestinal tract, central nervous system and skeletal muscles are derived from 3 different germ layers. Which of the following is the correct germ layer and derivative?",Endoderm; central nervous system,Mesoderm; skeletal muscle,Ectoderm; epithelial linings of the digestive tract,Mesoderm; central nervous system,,B,
What is the FIRST point in development that there is a significant increase of the size of embryo?,When the embryo reaches the uterus and becomes a blastula.,During oraganogenesis.,During fertilization.,During the first cleavage divisions.,,A,
Which embryological stage divides the embryo in two halves establishing bilateral symmetry?,Blastulation,Initial cleavage reaction,Development of the primitive streak,Organogenesis,,C,
What would be the correct order of the following events during fertilization? 1. Digestion of zona pellucida by acrosomal enzymes 2. Sperm bypasses corona radiata 3. Cortical granules release enzymes 4. Fusion of the pronuclei into a diploid cell,"2, 1, 3, 4","2, 4, 1, 3","1, 2, 4, 3","3, 4, 1, 2",,A,
A secondary oocyte is developing normally. At which of the following times does the second meiotic division occur?,In the ovary,During ovulation,At fertilization,When the blastocyst forms,During implantation,C,
An ovum is fertilized. After 3 weeks a blastocyst implanted on the endometrium has an inner embryoblast and an outer trophoblast. Which of the following is the next step in forming a 3-layered embryonic disk?,Gastrulation,Bilateralization,Neurulation,Implantation,,A,
"In the developing embryo, pharyngeal arches are formed. The second pharyngeal arch gives rise to the stapes, parts of the hyoid and posterior belly of the digastric. Which of the following cranial nerves is also derived from this arch?",CN X,CN VII,CN IX,CN III,,B,
An infant born at 30 weeks gestation develops respiratory distress soon after birth. What is the most likely cause of this respiratory distress at 30 weeks?,Lack of surfactant in the lungs,No terminal sacs are present,Adequate vascularization has not occurred,None of the above,,A,
"In the normally developing embryo, aortic arches are apparent by the end of the fourth week. Which of the following arteries is derived from the third pair of aortic arches?",Carotid,Stapedial,Subclavian,Umbilical,,A,
Identify the plane of reference shown in the figure indicated by the arrow.,Transverse,Coronal,Median,Sagittal,,B,images/gda-midterm-summer-2019/fig13.jpeg
The two superior and two inferior parathyroid glands are found adjacent to the posterior aspect of the thyroid gland. From which of the following are these parathyroid glands derived in embryologic development?,Pharyngeal pouches,Foramen cecum,Thyroglossal duct,Pharyngeal cleft,,A,
Which of the following is derived from ENDODERM?,Schwann cells of the peripheral nervous system,Endothelial lining of blood vessels,Epithelial lining of the respiratory tract,Placental cells,Amniotic membrane,C,
The bones of the adult skull form by:,Only intramembranous ossification,Only by endochondral ossification,Neither intramembranous or endochondral ossification,Both intramembranous and endochrondral ossification,,D,
The adult lung alveoli number is reached by:,Canilicular stage,Terminal sac stage,Alveolar stage,Newborn,Childhood around age 8,E,
The part of the sperm containing proteolytic enzymes to digest the zona pellucida is the capacitor.,True,False,,,,B,
The early stages of cell cleavage in the developing embryo before implantation are characterized by:,an increase in size of the cells,an increase in the number of cells,formation of multiple layers,formation of a zona pellucida,,B,
The most common site for the implantation of an ectopic pregnancy is the,uterine tube,ovary,mesentary,ovary,,A,
"During the second week of development, the trophoblast differentiates into this structure that invades the endometrial epithelium.",Synchtiotrophoblast,Ectoderm,Yolk Sac,Epiblast,,A,
The fact that general and special sensory information from the posterior part of the tongue is carried by the glossopharyngeal nerve indicates that this part of the tongue is associated with which pharyngeal arch?,Arch I,Arch II,Arch III,Arch IV,,C,
Which of the following structures is NOT part of the first pharyngeal arch?,Meckel's cartilage,Muscles of mastication,Muscles of facial expression,Malleus,,C,
Which of the following is NOT TRUE regarding Zika virus?,Zika virus can be spread between partners through unprotected sex.,There is a vaccination for Zika virus.,"Common symptoms of the Zika virus are fever, headache and muscle pain.","Birth defects related to the Zika virus inlcude microcephaly, vision problems and hearing problems.",,B,
Zika Virus has been linked to Guillain-Barre syndrome even though a small number of individuals infected with Zika have developed Guillain-Barre.,True,False,,,,A,
Which of the following is TRUE regarding Spina Bifida Occulta?,Failure of the embryonic halves of one or more neural arches fail to fuse in the median plane.,Individuals with Spina Bifida Occulta exhinit severe neurological deficits.,There are never any external signs of Spina Bifida Occulta.,None of the above are true.,,A,
"The alar plate is related to sensory and efferent signals, while the basal plate is related to motor and afferent signals.",True,False,,,,B,
The developing fetal brain has 3 primary vesicles and 6 secondary vesicles.,True,False,,,,B,
What is the adult analogue of aortic arch 6?,Maxillary artery,Stapedial artery,Ductus arteriosus,Right subclavian,,C,
"The colon is a derivative of the foregut, while the appendix is a derivative of the midgut.",True,False,,,,B,
Meckel's cartilage is the model for the mandible.,True,False,,,,A,
