title,Intro to Implants Exam 2 (Spring 2019),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
When both hard and soft tissue augmentation is required at time of implant placement one should?,Place a temporary prosthesis over the ridge,Bury the implant using a cover screw,Place a trans mucosal healing collar,Leave implant head exposed,,,B,
Placing an implant Freehand can lead to which of the following?,malposed implants,implant failure,implants placed too close to each other,implant placed to subcrestal,A &C &D,,E,
One of the benefits of using Drill stops when placing implants is that it may prevent:,over torquing the implant,drilling to buccal,accidentally hitting vital anatomical structures,incorrect angulations,,,C,
"If during implant placement the implant is not placed to the base of the osteotomy, one should be concerned that?",the site was over prepped,the site was underprepared,the implant will integrate faster,none of the above,,,B,
"In soft bone, one shouldthe speed of the drills?",increase,decrease,,,,,B,
the initial osteotomy speed and torque should. Be ?,1000 RPM and 20 NCM,1250 RPM and 25 NCM,1500 RPM and 15 NCM,2000 RPM and 10 NCM,,,C,
"WHEN inserting the implant fixture into the osteotomy, the correct speed and torque is?",25 RPM and 20 NCM,20 rpm and 30NCM,15 RPM and 50 NCM,10 RPM and 40 NCM,,,C,
"After placing the implant, the implant is still mobile and spins, one should?",leave it,remove and graft,place the next larger size implant,B and C,,,D,
To verify the seating of the impression coping one should?,use an explorer to check for voids,check for mobility of the coping,take a radiograph,check that the screw is tight,,,C,
"When inserting the prosthetic components, one should?",use a throatpack,place gauze in patient mouth,use a rubber damn,A and B,,,D,
Using a scan body is beneficial when,the patient has a gag reflex,when there are multiple unparalleled implants,the patient has limited occlusal opening,when there are multiple parallel implants,All of the Above,,E,
Open tray impression can be used in which of the following clinical scenarios?,single implant,multiple implants,full arch,non parallel implants,all of the above,,E,
What does one use to determine the height of the locator abutment in an over denture?,The color of the implant,The width of the implant,The height of the soft tissue,all of the above,,,C,
The black insert on the female housing is used for?,Processing,15 lb,10 lb,5lb,,,A,
Radiographs should be taken at which points during implant placement?,after 2mm twist drill,After fixture placement,After each sequential drill in the sequence,A and B,,,D,
"Before torquing the final abutment in place, one should?",Confirm complete seating on radiographs,Check occlusion,Check contacts,Check for soft tissue blanching,,,A,
A fractured prosthesis may be due to all of the following except,Poor fit of the bridge/prosthesis,Occlusal issues,Improper torque of screws,Material choice for the prosthesis,All of the above may contribute to fracture,,E,
The interarch space needed for a hybrid type prosthesis is,9 to 14 mm,3 to 5 mm,12- 18 mm,It is case dependent,,,A,
The most important person in a proper implant case's success is,The restorative dentist,The lab,The patient,The surgical specialist,They all contribute to a proper outcome,,E,
Standard of care in medicine,Doesn't apply to dentistry,Is important in decision making when treating patients,Only applies to specialists,Is only applicable to procedures that are not routine or standard,,,B,
Which is not considered a complication,Post operative paresthesia,Postoperative infection,Healing cap falling off during healing phase,Drill breaking during the surgery,They are all considered complications,,E,
Complications by definition are reversible and can be fixed,True,False,,,,,B,
All complications can be prevented when retrospectively evaluated,True,False,,,,,B,
Peri implantitis?,Is always a long term complication,Is always correctable,Is never correctable,Always means loss of the implant prosthesis,None of the above,,E,
The advantage of a custom healing abutment as compared to a standard healing abutment is:,Easier placement,Allows for better tissue adaptation similar to the final prosthesis,No differentiation between anterior or posterior teeth,,,,B,
Which of the following statements are false regarding the open tray transfer technique?,More accurate indexing of the implant platform,The transfer coping stays in the impression to allow for a more precise impression,Is easier to manipulate than a closed tray transfer,Need for customized impression trays,,,C,
"Preload, as it relates to implant dentistry, is defined as?",The application of a force acting along a radial distance and tending to cause rotation,"Stretching of the prosthetic screw as it's being tightened, providing enough force to hold the components together.",A twisting or turning motion around the axis of the implant,,,,B,
Which of the following cases would a scanbody not be ideally indicated for:,Implant is very subcrestal with a lot of blood and saliva that is difficult to control,Implant is placed correctly but hex isn't flat towards the buccal,A full arch implant case,A and C,,,D,
"A patent presents with an internal conical connection implant in site #3 with a healing abutment in place ready to be restored. The inter-arch clearance is 4.5mm from the crest of the ridge to the opposing arch. In addition, he has a very limited vertical opening. Which would be the best type of impression method and what type of crown should be fabricated?","Closed tray transfer, Screw retained crown","Open tray transfer, Screw retained crown","Closed tray transfer, Cement retained crown","Open tray transfer, Screw retained crown",,,A,
Multi Unit Abutments are primarily used for:,Implant Removable Overdentures,Full arch restorations to change the angulation and platform height,Single unit implant crowns,,,,B,
Which of the following are true for cement retained crowns?,Higher incidence of porcelain failure,Higher incidence of screw loosening,Better able to accommodate incorrectly angled implants,Need at least 5 mm of inter-occlusal clearance,C and D,,E,
"Mrs. Smith presents with an implant in site #8 that is angled to the buccal. While not ideal, the implant can still be restored with a good outcome. To help improve the aesthetics and manage the tissue, what would be the best restoration to use in this scenario?",A stock abutment and PFM crown,A screw retained PFM crown,A custom abutment and PFM crown,,,,C,
What materials can be printed for digital implant prosthetics?,Zirconia,Model Resin,Surgical Guide Resin,All of the above,,,D,
Why are screw-retained crowns preferred to cement-retained crowns?,Improved aesthetics,There is no chance for cement to be impacted subgingivally,Retrievability,B and C,,,D,
Why would you prescribe a cement-retained crown instead of a screw-retained crown?,Because the angulation of the implant resulted in the screw-access hole being in an unideal position,Because the lab bill costs less,Because it will last longer,"A, B, and C",,,A,
What fixed pre-surgical prosthetics can be manufactured when digitally planning an implant surgery?,Essix Appliance,Maryland Bridge,Screw-retained provisional,Provisional FPD,"A, B, C, and D","B, C, and D",F,
Why is the concept of a scan stream important in digital impressions for implant restorations?,Understanding scan streams allows you to build a digital implant impression in as few images as possible,The scan stream in a digital implant impression involves the scan flag scan being built off the emergence profile scan which is built off the pre-prep scan,Scan streams make sure the implant position is accurately recorded,A and B,,,D,
What is a scan flag?,It's a software icon you must choose when setting up the prescription for an implant impression,It's the component that gets screwed onto an implant to relate the position of the implant to the surrounding dentition in the design software,It's the flag you wave when you are lost and need help troubleshooting thescanning software,,,,B,
Which scan is optional in a TRIOS digital implant impression?,The pre-preparation scan,The emergence profile scan,The scan flag scan,The antagonist scan,The bite scan,A and B,F,
What factors must be considered when deciding to immediately provisionalize an implant?,If primary implant stability has been achieved,The diameter of the implant,Patient compliance with post-operative instructions,Patient's occlusion,"A, B, and C","A, C, and D",F,
