title,Pain & Anxiety Control Exam 4 (Spring 2019),painanx,exam4
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Statement #1: The stages of anesthesia are distinct. Statement #2: Those administering minimal sedation should be able to rescue patients who enter into moderate sedation.,The first statement is true; the second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,B,
An example of an enteral route is:,Rectal,Intramuscular,Subcutaneous,Intranasal,,,A,
Statement #1: A parenteral drug is absorbed indirectly from its site of administration into systemic circulation and bypasses the GI tract Statement #2: Administering sublingual nitroglycerin is an example of a parenteral route.,The first statement is true; The second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,B,
You administer an oral medication to your patient to sedate them. Your concerns are:,The degree of drug absorption,The increased duration of action,The inability to titrate drug effects,Both (a) and (c),All of the above,,E,
Statement #1: Nitrous Oxide is not a potent anesthetic and therefore not all patients will be affected; Statement #2: nitrous oxide can be titrated to effect.,The first statement is true; the second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,D,
Which of the following is the most predictable method of ensuring adequate sedation?,Inhalational,Intravenous,Intramuscular,Intranasal,,,B,
Blood oxygenation is measured by an oxygen analyzer,True,False,,,,,B,
Which of the following are ways in which you can monitor ventilation?,Chest rise,Reservoir breathing bag movement,Auscultation of breath sounds,End tidal carbon dioxide,Holding a hand or wrist in front of patient's mouth/nose to feel air during exhalation,All of the above,F,
"When looking at the patient monitor pictured, which of the following represents the patient's oxygen saturation?",Pink numbers (89),Orange numbers (108/68),Green numbers (99),Blue numbers (16),,,C,images/painanx-exam4-spring-2019/fig9.jpeg
"If you did not have a patient connected to a monitor, what would be the best place to manually access an adult patient's pulse?",Radial artery,Brachial artery,Carotid artery,Femoral artery,,,A,
"Statement #1: If you choose a blood pressure cuff that is too tight for your patient, you will get an inaccurately low blood pressure read. Statement #2: If you choose a blood pressure cuff that is too loose for your patient, you will get an inaccurately high blood pressure read.",The first statement is true; the second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,C,
Please indicate the color of the left arm (LA) lead,White,Black,Red,Green,,,B,images/painanx-exam4-spring-2019/fig12.jpeg
A patient with well-controlled asthma would represent which ASA Physical Status Classification?,Class 1,Class 2,Class 3,Class 4,,,B,
Statement #1: oxygen saturation assesses the amount of oxygen carried by hemoglobin; Statement #2: pink/red nail polish can affect the pulse oximeter from accurately measuring the oxygen saturation,The first statement is true; the second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,A,
Tachypnea is a an:,Overly rapid respiratory rate,Unusually slow respiratory rate,Overly rapid heart rate,Unusually slow heart rate,,,A,
"A child who is learning to represent objects with language and drawings, thinks egocentrically and has magical beliefs is in the ____________________ stage of development.",sensorimotor,pre-operative,concrete operational,formal operational,verbal-imaginative,,B,
"Of the four types of parenting styles, extremely strict parents who are uninterested in the opinions or feelings of their children are known as:",authoritarian,authoritative,stringent,draconian,neglectful,,A,
A child who refuses treatment should receive a Frankl behavior score rating of:,1,2,3,4,5,,A,
The “pediatric treatment triangle” consists of:,dentist-assistant-patient,mother-assistant-dentist,patient-father-dentist,mother-father-patient,,,C,
Fear of strangers is age appropriate for a:,1-2 year old child,3-4 year old child,5-6 year old child,A and B,B and C,,A,
"When using an immobilization device, the informed consent must include all the following except:",type,reason,length of time,effectiveness,manufacturer,,E,
A convenient position in which to thoroughly examine the oral cavity of an 18 month old child is known as (fill in the blanks: must be 100% correct to receive full credit - no partial credit given): ---- -----,knee to knee|Knee to Knee|KNEE TO KNEE,,,,,,FILL,
The behavior guidance technique involving a child who observes another young child cooperatively undergoing dental treatment is known as:,positive reinforcement,distraction,observational counseling,modeling,,,D,
Behavior is a function of:,attachment,cognitive ability,fears,temperament,all of the above,,E,
Which of the following is not considered a contraindication of Nitrous oxide and Oxygen administration:,5 year old with a stuffy nose due to the common cold,3 year old with an ear infection,8 year old who is a severe gagger,6 year old with chronic obstructive pulmonary disease,,,C,
