title,Periodontics II Final Exam (Spring 2021),perio2,final
question,option_a,option_b,option_c,option_d,correct,image
What is the Siebert Classification of a ridge defect where there is buccolingual loss of tissue with normal apico-coronal ridge height?,Class I,Class II,Class III,Class IV,A,
The Miller Classification of Marginal tissue recession which extends to or beyond the mucogingival junction without loss interdental bone or soft tissue is known as:,Class I,Class II,Class III,Class IV,B,
"According to PD Miller, total root coverage can not be achieved in which of the following class/es of gingival recession?",Class I,Class II,Class III,None of the answers,C,
"The following characteristics of: Through and through loss, bone not attached to the dome of the furcation, and evident radiolucency describes which Grade of the Modifies Hamp classification?",Grade I,Grade II,Grade III,Grade IV,C,
According to the Bower article (1979) regarding furcations what factor/s make furcation areas difficult to access?,81% of furcations have an opening of 1mm or less,The average curette width is 2mm,68% of furcations have openings of .75mm or less,All of the answers,A,
Which of the following is/are an indication for Root Resection/Amputation?,Roots which are endodontically treated without root resorption.,Fused Roots,Teeth with sufficient attachment remaining for function,None of the answers,C,
What is the rate of epithelial migration after a periodontal surgical procedure is performed?,1.0mm per day in every direction,0.5mm per day in every direction,1.5mm per day in every direction,None of the answers,B,
In the Gargiulo article about “Biologic Width” what was the average width of the Connective Tissue Attachment?,1.07mm,0.97mm,2.04mm,0.69mm,A,
When performing a Gingivectomy which of the following incisions is used?,Inverse Bevel incision,Horizontal incision,Sulcular incision,None of the answers,D,
According to Rosenberg (1980) what is the amount of sound supraosseous crest tooth structure needed to fulfill the total requirement for restorative dentistry?,2.5 to 3.5mm,1.5 to 3.0mm,3.5 to 4.0mm,5.0 to 6.0mm,C,
The pulsed Nd:YAG Laser has an affinity for which of the following?,Pigments,Connective Tissue,Water,None of the answers,A,
Periodontal sites with bleeding on probing during the past three maintenance visits had a 50% chance of losing attachment in the future. This statement is:,True,False,,,B,
Which of the following can occur when “Biologic Width” is violated?,Loss of alveolar bone,Chronic Gingival Inflammation,Chronic Pain,All of the answers,D,
"According to Hirschfeld and Wasserman (1978) paper, what percentage of the patients followed were in the “Downhill” group?",83.2%,12.6%,4.2%,None of the answers,B,
Widening the zone (width) of attached gingiva accomplishes:,Enhanced plaque removal,Improved esthetics,Reduced inflammation around restored teeth,All of the answers,D,
What is the definition of Secondary Prevention?,The correction of defects to prevent disease progression,Prevention of disease progression,To prevent disease initiation,None of the answers,B,
Healing of a Gingivectomy has the following characteristics:,The site heals by primary intention,Epithelialization usually takes 8-12 weeks,The connective tissue healing occurs prior to epithelialization,Healing is slower than that of a flap procedure,D,
Which of the following is an indication for Gingivectomy?,Infrabony Defect,Acutely inflamed tissue,Inadequate zone of attached gingiva,None of the answers,D,
"A Class I furcation lesion (Glickman classification) is suprabony.  Therefore, the following therapy is recommended for treatment:",Root Resection,Osseous Surgery,"Oral hygiene, scaling, and root planing",Bone regenerative therapy,C,
What did Dr. Beube (1947) show in his 12-year study regarding bone regeneration?,He showed that by splinting mobile teeth together you can have bone regeneration,He showed that Scaling and Root Planing can result in bone regeneration,He showed that by using a bone graft it is possible to maintain a tooth with advanced bone loss for many years,None of the answers,C,
Which of the following is an advantage of the Apically Advanced Flap without Osseous Resection over Modified Widman Flap?,Less Root Exposure,Better Esthetics,Increased flap adaptation in the presence of tori,None of the answers,D,
Which of the following is a disadvantage of the ENAP procedure vs Gingivectomy?,There is a potential loss of attachment,It is easier to perform,Ideal gingival architecture is easily achieved,None of the answers,A,
Where do Cervical Enamel Projections primarily occur?,Lingual surface of the maxillary molars,Buccal surface of the mandibular molars,Buccal surface of the maxillary premolars,None of the answers,B,
According to Bower (1979) which Molar root surface always has an internal concavity?,Distobuccal root of Maxillary 2nd Molar,Palatal root of Maxillary 1st Molar,Mesial root of Mandibular 1st Molar,None of the answers,C,
Which of the following are objectives of a Periodontal Maintenance visit?,To ascertain the need for additional treatment,To re-evaluate the results of active therapy,To reinforce Oral Hygiene,All of the answers,D,
"According to the 2018 Classification System of Periodontal Diseases, which Grade should a patient be initially assigned to?",Grade A,Grade B,Grade C,Grade D,B,
"According to the 2018 Classification System of Periodontal Diseases, which Stage should a patient be if they have lost 3 teeth due to periodontal disease?",Stage I,Stage II,Stage III,Stage IV,C,
"According to the 2018 Classification System of Periodontal Diseases, which Grade should a patient be assigned to if they smoke more than 10 cigarettes per day?",Grade A,Grade B,Grade C,Grade D,C,
What are factors that pertain to Acellular Dermal Matrix Allograft?,Patients must be informed of the donor source,Post-Op complications are similar,The tissue thickness is 1.5-2.0mm,It can not be used to augment keratinized tissue,A,
